Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abomination of Gudul	{3}{B}{G}{U}	None	Creature	Horror	Flying|Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.|Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	4
Abzan Ascendancy	{W}{B}{G}	None	Enchantment	None	When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.|Whenever a nontoken creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.		
Abzan Banner	{3}	None	Artifact	None	{T}: Add {W}, {B}, or {G} to your mana pool.|{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.		
Abzan Battle Priest	{3}{W}	None	Creature	Human,Cleric	Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)|Each creature you control with a +1/+1 counter on it has lifelink.	3	2
Abzan Charm	{W}{B}{G}	None	Instant	None	Choose one -|• Exile target creature with power 3 or greater.|• You draw two cards and you lose 2 life.|• Distribute two +1/+1 counters among one or two target creatures.		
Abzan Falconer	{2}{W}	None	Creature	Human,Soldier	Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)|Each creature you control with a +1/+1 counter on it has flying.	2	3
Abzan Guide	{3}{W}{B}{G}	None	Creature	Human,Warrior	Lifelink (Damage dealt by this creature also causes you to gain that much life.)|Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	4	4
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Ainok Bond-Kin	{1}{W}	None	Creature	Hound,Soldier	Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)|Each creature you control with a +1/+1 counter on it has first strike.	2	1
Ainok Tracker	{5}{R}	None	Creature	Hound,Scout	First strike|Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	3
Alabaster Kirin	{3}{W}	None	Creature	Kirin	Flying, vigilance	2	3
Alpine Grizzly	{2}{G}	None	Creature	Bear		4	2
Altar of the Brood	{1}	None	Artifact	None	Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.		
Anafenza, the Foremost	{W}{B}{G}	Legendary	Creature	Human,Soldier	Whenever Anafenza, the Foremost attacks, put a +1/+1 counter on another target tapped creature you control.|If a creature card would be put into an opponent's graveyard from anywhere, exile it instead.	4	4
Ankle Shanker	{2}{R}{W}{B}	None	Creature	Goblin,Berserker	Haste|Whenever Ankle Shanker attacks, creatures you control gain first strike and deathtouch until end of turn.	2	2
Arc Lightning	{2}{R}	None	Sorcery	None	Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.		
Archers' Parapet	{1}{G}	None	Creature	Wall	Defender|{1}{B}, {T}: Each opponent loses 1 life.	0	5
Armament Corps	{2}{W}{B}{G}	None	Creature	Human,Soldier	When Armament Corps enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control.	4	4
Arrow Storm	{3}{R}{R}	None	Sorcery	None	Arrow Storm deals 4 damage to target creature or player.|Raid - If you attacked with a creature this turn, instead Arrow Storm deals 5 damage to that creature or player and the damage can't be prevented.		
Ashcloud Phoenix	{2}{R}{R}	None	Creature	Phoenix	Flying|When Ashcloud Phoenix dies, return it to the battlefield face down under your control.|Morph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Ashcloud Phoenix is turned face up, it deals 2 damage to each player.	4	1
Avalanche Tusker	{2}{G}{U}{R}	None	Creature	Elephant,Warrior	Whenever Avalanche Tusker attacks, target creature defending player controls blocks it this combat if able.	6	4
Awaken the Bear	{2}{G}	None	Instant	None	Target creature gets +3/+3 and gains trample until end of turn.		
Barrage of Boulders	{2}{R}	None	Sorcery	None	Barrage of Boulders deals 1 damage to each creature you don't control.|Ferocious - If you control a creature with power 4 or greater, creatures can't block this turn.		
Bear's Companion	{2}{G}{U}{R}	None	Creature	Human,Warrior	When Bear's Companion enters the battlefield, put a 4/4 green Bear creature token onto the battlefield.	2	2
Become Immense	{5}{G}	None	Instant	None	Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)|Target creature gets +6/+6 until end of turn.		
Bellowing Saddlebrute	{3}{B}	None	Creature	Orc,Warrior	Raid - When Bellowing Saddlebrute enters the battlefield, you lose 4 life unless you attacked with a creature this turn.	4	5
Bitter Revelation	{3}{B}	None	Sorcery	None	Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard. You lose 2 life.		
