Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abomination	{3}{B}{B}		Creature	Horror	Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.	2	6
Acid Rain	{3}{U}		Sorcery		Destroy all Forests.		
Active Volcano	{R}		Instant		Choose one - Destroy target blue permanent; or return target Island to its owner's hand.		
Adun Oakenshield	{B}{R}{G}	Legendary	Creature	Human,Knight	{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.	1	2
Adventurers' Guildhouse			Land		Green legendary creatures you control have 'bands with other legendary creatures.' (Any legendary creatures can attack in a band as long as at least one has 'bands with other legendary creatures.' Bands are blocked as a group. If at least two legendary creatures you control, one of which has 'bands with other legendary creatures,' are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)		
rathi Berserker (Ærathi Berserker)	{2}{R}{R}{R}		Creature	Human,Berserker	Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)	2	4
Aisling Leprechaun	{G}		Creature	Faerie	Whenever Aisling Leprechaun blocks or becomes blocked by a creature, that creature becomes green. (This effect lasts indefinitely.)	1	1
Akron Legionnaire	{6}{W}{W}		Creature	Giant,Soldier	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	8	4
Al-abara's Carpet	{5}		Artifact		{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.		
Alabaster Potion	{X}{W}{W}		Instant		Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.		
Alchor's Tomb	{4}		Artifact		{2}, {T}: Target permanent you control becomes the color of your choice. (This effect lasts indefinitely.)		
All Hallow's Eve	{2}{B}{B}		Sorcery		Exile All Hallow's Eve with two scream counters on it.|At the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.		
Amrou Kithkin	{W}{W}		Creature	Kithkin	Amrou Kithkin can't be blocked by creatures with power 3 or greater.	1	1
Angelic Voices	{2}{W}{W}		Enchantment		Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.		
