Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akroma, Angel of Wrath	{5}{W}{W}{W}	Legendary	Creature	Angel	Flying, first strike, vigilance, trample, haste, protection from black and from red	6	6
Akroma's Devoted	{3}{W}		Creature	Human,Cleric	Cleric creatures have vigilance.	2	4
Aphetto Exterminator	{2}{B}		Creature	Human,Wizard	Morph {3}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Aphetto Exterminator is turned face up, target creature gets -3/-3 until end of turn.	3	1
Aven Envoy	{U}		Creature	Bird,Soldier	Flying	0	2
Aven Redeemer	{3}{W}		Creature	Bird,Cleric	Flying|{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.	2	2
Aven Warhawk	{4}{W}		Creature	Bird,Soldier	Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Bird and/or Soldier card you reveal in your hand.)|Flying	2	2
Bane of the Living	{2}{B}{B}		Creature	Insect	Morph {X}{B}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Bane of the Living is turned face up, all creatures get -X/-X until end of turn.	4	3
Beacon of Destiny	{1}{W}		Creature	Human,Cleric	{T}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to Beacon of Destiny instead.	1	3
Berserk Murlodont	{4}{G}		Creature	Beast	Whenever a Beast becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.	3	3
Blade Sliver	{2}{R}		Creature	Sliver	All Sliver creatures get +1/+0.	2	2
Blood Celebrant	{B}		Creature	Human,Cleric	{B}, Pay 1 life: Add one mana of any color to your mana pool.	1	1
Bloodstoke Howler	{5}{R}		Creature	Beast	Morph {6}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Bloodstoke Howler is turned face up, Beast creatures you control get +3/+0 until end of turn.	3	4
Branchsnap Lorian	{1}{G}{G}		Creature	Beast	Trample|Morph {G} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	4	1
Brontotherium	{4}{G}{G}		Creature	Beast	Trample|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able.)	5	3
Brood Sliver	{4}{G}		Creature	Sliver	Whenever a Sliver deals combat damage to a player, its controller may put a 1/1 colorless Sliver creature token onto the battlefield.	3	3
Caller of the Claw	{2}{G}		Creature	Elf	Flash|When Caller of the Claw enters the battlefield, put a 2/2 green Bear creature token onto the battlefield for each nontoken creature put into your graveyard from the battlefield this turn.	2	2
Canopy Crawler	{3}{G}		Creature	Beast	Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Beast card you reveal in your hand.)|{T}: Target creature gets +1/+1 until end of turn for each +1/+1 counter on Canopy Crawler.	2	2
Celestial Gatekeeper	{3}{W}{W}		Creature	Bird,Cleric	Flying|When Celestial Gatekeeper dies, exile it, then return up to two target Bird and/or Cleric permanent cards from your graveyard to the battlefield.	2	2
Cephalid Pathmage	{2}{U}		Creature	Cephalid,Wizard	Cephalid Pathmage can't be blocked.|{T}, Sacrifice Cephalid Pathmage: Target creature can't be blocked this turn.	1	2
Chromeshell Crab	{4}{U}		Creature	Crab,Beast	Morph {4}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Chromeshell Crab is turned face up, you may exchange control of target creature you control and target creature an opponent controls.	3	3
Clickslither	{1}{R}{R}{R}		Creature	Insect	Haste|Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.	3	3
Cloudreach Cavalry	{1}{W}		Creature	Human,Soldier	As long as you control a Bird, Cloudreach Cavalry gets +2/+2 and has flying.	1	1
Corpse Harvester	{3}{B}{B}		Creature	Zombie,Wizard	{1}{B}, {T}, Sacrifice a creature: Search your library for a Zombie card and a Swamp card, reveal them, and put them into your hand. Then shuffle your library.	3	3
Covert Operative	{4}{U}		Creature	Human,Wizard	Covert Operative can't be blocked.	3	2
Crested Craghorn	{4}{R}		Creature	Goat,Beast	Haste|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able.)	4	1
Crookclaw Elder	{5}{U}		Creature	Bird,Wizard	Flying|Tap two untapped Birds you control: Draw a card.|Tap two untapped Wizards you control: Target creature gains flying until end of turn.	3	2
Crypt Sliver	{1}{B}		Creature	Sliver	All Slivers have '{T}: Regenerate target Sliver.'	1	1
Dark Supplicant	{B}		Creature	Human,Cleric	{T}, Sacrifice three Clerics: Search your graveyard, hand, and/or library for a card named Scion of Darkness and put it onto the battlefield. If you search your library this way, shuffle it.	1	1
Daru Mender	{W}		Creature	Human,Cleric	Morph {W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Daru Mender is turned face up, regenerate target creature.	1	1
