Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Ancestral Recall	{U}		Instant		Target player draws three cards.		
Animate Artifact	{3}{U}		Enchantment	Aura	Enchant artifact|As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.		
Animate Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Aspect of Wolf	{1}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.		
Bad Moon	{1}{B}		Enchantment		Black creatures get +1/+1.		
Badlands			Land	Swamp,Mountain	Counts as both mountains and swamp and is affected by spells that affect either. Tap to add either oR or oB to your mana pool.		
Balance	{1}{W}		Sorcery		Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Basalt Monolith	{3}		Artifact		Basalt Monolith doesn't untap during your untap step.|{T}: Add {3} to your mana pool.|{3}: Untap Basalt Monolith.		
Bayou			Land	Swamp,Forest	Counts as both swamp and forest and is affected by spells that affect either. Tap to add either oB or oG to your mana pool.		
Benalish Hero	{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	1
Berserk	{G}		Instant		Cast Berserk only before the combat damage step.|Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.		
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Black Knight	{B}{B}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
Black Lotus	{0}		Artifact		{T}, Sacrifice Black Lotus: Add three mana of any one color to your mana pool.		
