Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adder-Staff Boggart	{1}{R}		Creature	Goblin,Warrior	When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)	2	1
Æthersnipe	{5}{U}		Creature	Elemental	When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.|Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	4	4
Ajani Goldmane	{2}{W}{W}		Planeswalker	Ajani	+1: You gain 2 life.|-1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.|-6: Put a white Avatar creature token onto the battlefield. It has 'This creature's power and toughness are each equal to your life total.'		
Amoeboid Changeling	{1}{U}		Creature	Shapeshifter	Changeling (This card is every creature type at all times.)|{T}: Target creature gains all creature types until end of turn.|{T}: Target creature loses all creature types until end of turn.	1	1
Ancient Amphitheater			Land		As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater enters the battlefield tapped.|{T}: Add {R} or {W} to your mana pool.		
Aquitect's Will	{U}		Tribal,Sorcery	Merfolk	Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.		
Arbiter of Knollridge	{6}{W}		Creature	Giant,Wizard	Vigilance|When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.	5	5
Ashling the Pilgrim	{1}{R}	Legendary	Creature	Elemental,Shaman	{1}{R}: Put a +1/+1 counter on Ashling the Pilgrim. If this is the third time this ability has resolved this turn, remove all +1/+1 counters from Ashling the Pilgrim, and it deals that much damage to each creature and each player.	1	1
Ashling's Prerogative	{1}{R}		Enchantment		As Ashling's Prerogative enters the battlefield, choose odd or even. (Zero is even.)|Each creature with converted mana cost of the chosen value has haste.|Each creature without converted mana cost of the chosen value enters the battlefield tapped.		
Auntie's Hovel			Land		As Auntie's Hovel enters the battlefield, you may reveal a Goblin card from your hand. If you don't, Auntie's Hovel enters the battlefield tapped.|{T}: Add {B} or {R} to your mana pool.		
Austere Command	{4}{W}{W}		Sorcery		Choose two - Destroy all artifacts; or destroy all enchantments; or destroy all creatures with converted mana cost 3 or less; or destroy all creatures with converted mana cost 4 or greater.		
Avian Changeling	{2}{W}		Creature	Shapeshifter	Changeling (This card is every creature type at all times.)|Flying	2	2
