Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Slime	{3}{G}{G}		Creature	Ooze	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.	2	2
Ajani, Caller of the Pride	{1}{W}{W}		Planeswalker	Ajani	+1: Put a +1/+1 counter on up to one target creature.|-3: Target creature gains flying and double strike until end of turn.|-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.		
Ajani's Sunstriker	{W}{W}		Creature	Cat,Cleric	Lifelink (Damage dealt by this creature also causes you to gain that much life.)	2	2
Akroma's Memorial	{7}	Legendary	Artifact		Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.		
Angelic Benediction	{3}{W}		Enchantment		Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, you may tap target creature.		
Angel's Mercy	{2}{W}{W}		Instant		You gain 7 life.		
Arbor Elf	{G}		Creature	Elf,Druid	{T}: Untap target Forest.	1	1
Archaeomancer	{2}{U}{U}		Creature	Human,Wizard	When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.	1	2
Arctic Aven	{2}{U}		Creature	Bird,Wizard	Flying|Arctic Aven gets +1/+1 as long as you control a Plains.|{W}: Arctic Aven gains lifelink until end of turn. (Damage dealt by this creature also causes you to gain that much life.)	2	1
Arms Dealer	{2}{R}		Creature	Goblin,Rogue	{1}{R}, Sacrifice a Goblin: Arms Dealer deals 4 damage to target creature.	1	1
Attended Knight	{2}{W}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|When Attended Knight enters the battlefield, put a 1/1 white Soldier creature token onto the battlefield.	2	2
Augur of Bolas	{1}{U}		Creature	Merfolk,Wizard	When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	1	3
Aven Squire	{1}{W}		Creature	Bird,Soldier	Flying|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	1	1
Battle of Wits	{3}{U}{U}		Enchantment		At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.		
Battleflight Eagle	{4}{W}		Creature	Bird	Flying|When Battleflight Eagle enters the battlefield, target creature gets +2/+2 and gains flying until end of turn.	2	2
Bladetusk Boar	{3}{R}		Creature	Boar	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	3	2
Blood Reckoning	{3}{B}		Enchantment		Whenever a creature attacks you or a planeswalker you control, that creature's controller loses 1 life.		
Bloodhunter Bat	{3}{B}		Creature	Bat	Flying|When Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.	2	2
