Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Academy Raider	{2}{R}	None	Creature	Human,Warrior	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)|Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.	1	1
Accorder's Shield	{0}	None	Artifact	Equipment	Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)|Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)		
Accursed Spirit	{3}{B}	None	Creature	Spirit	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	3	2
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Advocate of the Beast	{2}{G}	None	Creature	Elf,Shaman	At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.	2	3
Air Servant	{4}{U}	None	Creature	Elemental	Flying|{2}{U}: Tap target creature with flying.	4	3
Ajani, Caller of the Pride	{1}{W}{W}	None	Planeswalker	Ajani	+1: Put a +1/+1 counter on up to one target creature.|-3: Target creature gains flying and double strike until end of turn.|-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.		
Ajani's Chosen	{2}{W}{W}	None	Creature	Cat,Soldier	Whenever an enchantment enters the battlefield under your control, put a 2/2 white Cat creature token onto the battlefield. If that enchantment is an Aura, you may attach it to the token.	3	3
Altar's Reap	{1}{B}	None	Instant	None	As an additional cost to cast Altar's Reap, sacrifice a creature.|Draw two cards.		
Angelic Accord	{3}{W}	None	Enchantment	None	At the beginning of each end step, if you gained 4 or more life this turn, put a 4/4 white Angel creature token with flying onto the battlefield.		
Angelic Wall	{1}{W}	None	Creature	Wall	Defender (This creature can't attack.)|Flying	0	4
Archaeomancer	{2}{U}{U}	None	Creature	Human,Wizard	When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.	1	2
Archangel of Thune	{3}{W}{W}	None	Creature	Angel	Flying|Lifelink (Damage dealt by this creature also causes you to gain that much life.)|Whenever you gain life, put a +1/+1 counter on each creature you control.	3	4
Armored Cancrix	{4}{U}	None	Creature	Crab		2	5
Artificer's Hex	{B}	None	Enchantment	Aura	Enchant Equipment|At the beginning of your upkeep, if enchanted Equipment is attached to a creature, destroy that creature.		
Auramancer	{2}{W}	None	Creature	Human,Wizard	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.	2	2
Awaken the Ancient	{1}{R}{R}{R}	None	Enchantment	Aura	Enchant Mountain|Enchanted Mountain is a 7/7 red Giant creature with haste. It's still a land.		
Banisher Priest	{1}{W}{W}	None	Creature	Human,Cleric	When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. (That creature returns under its owner's control.)	2	2
Barrage of Expendables	{R}	None	Enchantment	None	{R}, Sacrifice a creature: Barrage of Expendables deals 1 damage to target creature or player.		
Battle Sliver	{4}{R}	None	Creature	Sliver	Sliver creatures you control get +2/+0.	3	3
Blessing	{W}{W}	None	Enchantment	Aura	Enchant creature|{W}: Enchanted creature gets +1/+1 until end of turn.		
