Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abbot of Keral Keep	{1}{R}	None	Creature	Human,Monk	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)|When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.	2	1
Acolyte of the Inferno	{2}{R}	None	Creature	Human,Monk	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)|Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.	3	1
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Aegis Angel	{4}{W}{W}	None	Creature	Angel	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say 'destroy' don't destroy it. A creature with indestructible can't be destroyed by damage.)	5	5
Aerial Volley	{G}	None	Instant	None	Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.		
Akroan Jailer	{W}	None	Creature	Human,Soldier	{2}{W}, {T}: Tap target creature.	1	1
Akroan Sergeant	{2}{R}	None	Creature	Human,Soldier	First strike (This creature deals combat damage before creatures without first strike.)|Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)	2	2
Alchemist's Vial	{2}	None	Artifact	None	When Alchemist's Vial enters the battlefield, draw a card.|{1}, {T}, Sacrifice Alchemist's Vial: Target creature can't attack or block this turn.		
Alhammarret, High Arbiter	{5}{U}{U}	Legendary	Creature	Sphinx	Flying|As Alhammarret, High Arbiter enters the battlefield, each opponent reveals his or her hand. You choose the name of a nonland card revealed this way.|Your opponents can't cast spells with the chosen name (as long as this creature is on the battlefield).	5	5
Alhammarret's Archive	{5}	Legendary	Artifact	None	If you would gain life, you gain twice that much life instead.|If you would draw a card except the first one you draw in each of your draw steps, draw two cards instead.		
Ampryn Tactician	{2}{W}{W}	None	Creature	Human,Soldier	When Ampryn Tactician enters the battlefield, creatures you control get +1/+1 until end of turn.	3	3
Anchor to the Æther	{2}{U}	None	Sorcery	None	Put target creature on top of its owner's library. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)		
Angel's Tomb	{3}	None	Artifact	None	Whenever a creature enters the battlefield under your control, you may have Angel's Tomb become a 3/3 white Angel artifact creature with flying until end of turn.		
Animist's Awakening	{X}{G}	None	Sorcery	None	Reveal the top X cards of your library. Put all land cards from among them onto the battlefield tapped and the rest on the bottom of your library in a random order.|Spell mastery - If there are two or more instant and/or sorcery cards in your graveyard, untap those lands.		
Anointer of Champions	{W}	None	Creature	Human,Cleric	{T}: Target attacking creature gets +1/+1 until end of turn.	1	1
Archangel of Tithes	{1}{W}{W}{W}	None	Creature	Angel	Flying|As long as Archangel of Tithes is untapped, creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures.|As long as Archangel of Tithes is attacking, creatures can't block unless their controller pays {1} for each of those creatures.	3	5
Artificer's Epiphany	{2}{U}	None	Instant	None	Draw two cards. If you control no artifacts, discard a card.		
Aspiring Aeronaut	{3}{U}	None	Creature	Human,Artificer	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aspiring Aeronaut enters the battlefield, put a 1/1 colorless Thopter artifact creature token with flying onto the battlefield.	1	2
Auramancer	{2}{W}	None	Creature	Human,Wizard	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.	2	2
Avaricious Dragon	{2}{R}{R}	None	Creature	Dragon	Flying|At the beginning of your draw step, draw an additional card.|At the beginning of your end step, discard your hand.	4	4
Aven Battle Priest	{5}{W}	None	Creature	Bird,Cleric	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Battle Priest enters the battlefield, you gain 3 life.	3	3
Battlefield Forge		None	Land	None	{T}: Add {1} to your mana pool.|{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.		
Bellows Lizard	{R}	None	Creature	Lizard	{1}{R}: Bellows Lizard gets +1/+0 until end of turn.	1	1
Blazing Hellhound	{2}{B}{R}	None	Creature	Elemental,Hound	{1}, Sacrifice another creature: Blazing Hellhound deals 1 damage to target creature or player.	4	3
Blessed Spirits	{2}{W}	None	Creature	Spirit	Flying|Whenever you cast an enchantment spell, put a +1/+1 counter on Blessed Spirits.	2	2
Blightcaster	{3}{B}	None	Creature	Human,Wizard	Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.	2	3
Blood-Cursed Knight	{1}{W}{B}	None	Creature	Vampire,Knight	As long as you control an enchantment, Blood-Cursed Knight gets +1/+1 and has lifelink. (Damage dealt by this creature also causes you to gain that much life.)	3	2
