Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Slime	{3}{G}{G}		Creature	Ooze	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.	2	2
Acorn Catapult	{4}		Artifact		{1}, {T}: Acorn Catapult deals 1 damage to target creature or player. That creature's controller or that player puts a 1/1 green Squirrel creature token onto the battlefield.		
Æthersnipe	{5}{U}		Creature	Elemental	When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.|Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	4	4
Afterlife	{2}{W}		Instant		Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.		
Akoum Refuge			Land		Akoum Refuge enters the battlefield tapped.|When Akoum Refuge enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Akroma, Angel of Fury	{5}{R}{R}{R}	Legendary	Creature	Angel	Akroma, Angel of Fury can't be countered.|Flying, trample, protection from white and from blue|{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.|Morph {3}{R}{R}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	6	6
Akroma's Vengeance	{4}{W}{W}		Sorcery		Destroy all artifacts, creatures, and enchantments.|Cycling {3} ({3}, Discard this card: Draw a card.)		
Alliance of Arms	{W}		Sorcery		Join forces - Starting with you, each player may pay any amount of mana. Each player puts X 1/1 white Soldier creature tokens onto the battlefield, where X is the total amount of mana paid this way.		
Angel of Despair	{3}{W}{W}{B}{B}		Creature	Angel	Flying|When Angel of Despair enters the battlefield, destroy target permanent.	5	5
Angelic Arbiter	{5}{W}{W}		Creature	Angel	Flying|Each opponent who cast a spell this turn can't attack with creatures.|Each opponent who attacked with a creature this turn can't cast spells.	5	6
Anger	{3}{R}		Creature	Incarnation	Haste|As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.	2	2
Animar, Soul of Elements	{U}{R}{G}	Legendary	Creature	Elemental	Protection from white and from black|Whenever you cast a creature spell, put a +1/+1 counter on Animar, Soul of Elements.|Creature spells you cast cost {1} less to cast for each +1/+1 counter on Animar.	1	1
Aquastrand Spider	{1}{G}		Creature	Spider,Mutant	Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)|{G}: Target creature with a +1/+1 counter on it gains reach until end of turn. (It can block creatures with flying.)	0	0
Arbiter of Knollridge	{6}{W}		Creature	Giant,Wizard	Vigilance|When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.	5	5
Archangel of Strife	{5}{W}{W}		Creature	Angel	Flying|As Archangel of Strife enters the battlefield, each player chooses war or peace.|Creatures controlled by players who chose war get +3/+0.|Creatures controlled by players who chose peace get +0/+3.	6	6
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Artisan of Kozilek	{9}		Creature	Eldrazi	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)	10	9
Attrition	{1}{B}{B}		Enchantment		{B}, Sacrifice a creature: Destroy target nonblack creature.		
Aura Shards	{1}{G}{W}		Enchantment		Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment.		
Austere Command	{4}{W}{W}		Sorcery		Choose two - Destroy all artifacts; or destroy all enchantments; or destroy all creatures with converted mana cost 3 or less; or destroy all creatures with converted mana cost 4 or greater.		
Avatar of Fury	{6}{R}{R}		Creature	Avatar	If an opponent controls seven or more lands, Avatar of Fury costs {6} less to cast.|Flying|{R}: Avatar of Fury gets +1/+0 until end of turn.	6	6
Avatar of Slaughter	{6}{R}{R}		Creature	Avatar	All creatures have double strike and attack each turn if able.	8	8
Avatar of Woe	{6}{B}{B}		Creature	Avatar	If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.|Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|{T}: Destroy target creature. It can't be regenerated.	6	5
Awakening Zone	{2}{G}		Enchantment		At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has 'Sacrifice this creature: Add {1} to your mana pool.'		
Azorius Chancery			Land		Azorius Chancery enters the battlefield tapped.|When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.|{T}: Add {W}{U} to your mana pool.		
Azorius Guildmage	{W/U}{W/U}		Creature	Vedalken,Wizard	{2}{W}: Tap target creature.|{2}{U}: Counter target activated ability. (Mana abilities can't be targeted.)	2	2
Baloth Woodcrasher	{4}{G}{G}		Creature	Beast	Landfall - Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.	4	4
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Basandra, Battle Seraph	{3}{R}{W}	Legendary	Creature	Angel	Flying|Players can't cast spells during combat.|{R}: Target creature attacks this turn if able.	4	4
Bathe in Light	{1}{W}		Instant		Radiance - Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.		
Bestial Menace	{3}{G}{G}		Sorcery		Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.		
Bladewing the Risen	{3}{B}{B}{R}{R}	Legendary	Creature	Zombie,Dragon	Flying|When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.|{B}{R}: Dragon creatures get +1/+1 until end of turn.	4	4
Bojuka Bog			Land		Bojuka Bog enters the battlefield tapped.|When Bojuka Bog enters the battlefield, exile all cards from target player's graveyard.|{T}: Add {B} to your mana pool.		
Boros Garrison			Land		Boros Garrison enters the battlefield tapped.|When Boros Garrison enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{W} to your mana pool.		
Boros Guildmage	{R/W}{R/W}		Creature	Human,Wizard	{1}{R}: Target creature gains haste until end of turn.|{1}{W}: Target creature gains first strike until end of turn.	2	2
Boros Signet	{2}		Artifact		{1}, {T}: Add {R}{W} to your mana pool.		
Brainstorm	{U}		Instant		Draw three cards, then put two cards from your hand on top of your library in any order.		
Brawn	{3}{G}		Creature	Incarnation	Trample|As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.	3	3
Breath of Darigaaz	{1}{R}		Sorcery		Kicker {2} (You may pay an additional {2} as you cast this spell.)|Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.		
Brion Stoutarm	{2}{R}{W}	Legendary	Creature	Giant,Warrior	Lifelink|{R}, {T}, Sacrifice a creature other than Brion Stoutarm: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player.	4	4
Buried Alive	{2}{B}		Sorcery		Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.		
Butcher of Malakir	{5}{B}{B}		Creature	Vampire,Warrior	Flying|Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.	5	4
Call the Skybreaker	{5}{U/R}{U/R}		Sorcery		Put a 5/5 blue and red Elemental creature token with flying onto the battlefield.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Celestial Force	{5}{W}{W}{W}		Creature	Elemental	At the beginning of each upkeep, you gain 3 life.	7	7
Chain Reaction	{2}{R}{R}		Sorcery		Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield.		
Champion's Helm	{3}		Artifact	Equipment	Equipped creature gets +2/+2.|As long as equipped creature is legendary, it has hexproof. (It can't be the target of spells or abilities your opponents control.)|Equip {1}		
