Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aether Vial (Æther Vial)	{1}	None	Artifact	None	At the beginning of your upkeep, you may put a charge counter on Aether Vial.|{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield.		
Cataclysmic Gearhulk	{3}{W}{W}	None	Artifact,Creature	Construct	Vigilance|When Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents he or she controls, then sacrifices the rest.	4	5
Champion's Helm	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2.|As long as equipped creature is legendary, it has hexproof. (It can't be the target of spells or abilities your opponents control.)|Equip {1}		
Chromatic Lantern	{3}	None	Artifact	None	Lands you control have '{T}: Add one mana of any color to your mana pool.'|{T}: Add one mana of any color to your mana pool.		
Chrome Mox	{0}	None	Artifact	None	Imprint - When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.|{T}: Add one mana of any of the exiled card's colors to your mana pool.		
Cloudstone Curio	{3}	None	Artifact	None	Whenever a nonartifact permanent enters the battlefield under your control, you may return another permanent you control that shares a permanent type with it to its owner's hand.		
Combustible Gearhulk	{4}{R}{R}	None	Artifact,Creature	Construct	First strike|When Combustible Gearhulk enters the battlefield, target opponent may have you draw three cards. If the player doesn't, put the top three cards of your library into your graveyard, then Combustible Gearhulk deals damage to that player equal to the total converted mana cost of those cards.	6	6
Crucible of Worlds	{3}	None	Artifact	None	You may play land cards from your graveyard.		
Gauntlet of Power	{5}	None	Artifact	None	As Gauntlet of Power enters the battlefield, choose a color.|Creatures of the chosen color get +1/+1.|Whenever a basic land is tapped for mana of the chosen color, its controller adds one mana of that color to his or her mana pool (in addition to the mana the land produces).		
Hangarback Walker	{X}{X}	None	Artifact,Creature	Construct	Hangarback Walker enters the battlefield with X +1/+1 counters on it.|When Hangarback Walker dies, create a 1/1 colorless Thopter artifact creature token with flying for each +1/+1 counter on Hangarback Walker.|{1}, {T}: Put a +1/+1 counter on Hangarback Walker.	0	0
Lightning Greaves	{2}	None	Artifact	Equipment	Equipped creature has haste and shroud. (It can't be the target of spells or abilities.)|Equip {0}		
Lotus Petal	{0}	None	Artifact	None	{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.		
Mana Crypt	{0}	None	Artifact	None	At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.|{T}: Add  to your mana pool.		
Mana Vault	{1}	None	Artifact	None	Mana Vault doesn't untap during your untap step.|At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.|At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.|{T}: Add  to your mana pool.		
Mind's Eye	{5}	None	Artifact	None	Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.		
Mox Opal	{0}	Legendary	Artifact	None	Metalcraft - {T}: Add one mana of any color to your mana pool. Activate this ability only if you control three or more artifacts.		
Noxious Gearhulk	{4}{B}{B}	None	Artifact,Creature	Construct	Menace|When Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.	5	4
Painter's Servant	{2}	None	Artifact,Creature	Scarecrow	As Painter's Servant enters the battlefield, choose a color.|All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors.	1	3
Rings of Brighthearth	{3}	None	Artifact	None	Whenever you activate an ability, if it isn't a mana ability, you may pay {2}. If you do, copy that ability. You may choose new targets for the copy.		
Scroll Rack	{2}	None	Artifact	None	{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.		
Sculpting Steel	{3}	None	Artifact	None	You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.		
Sol Ring	{1}	None	Artifact	None	{T}: Add  to your mana pool.		
Solemn Simulacrum	{4}	None	Artifact,Creature	Golem	When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.|When Solemn Simulacrum dies, you may draw a card.	2	2
Static Orb	{3}	None	Artifact	None	As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps.		
Steel Overseer	{2}	None	Artifact,Creature	Construct	{T}: Put a +1/+1 counter on each artifact creature you control.	1	1
Sword of Feast and Famine	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2 and has protection from black and from green.|Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.|Equip {2}		
Sword of Fire and Ice	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2 and has protection from red and from blue.|Whenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to target creature or player and you draw a card.|Equip {2}		
Sword of Light and Shadow	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2 and has protection from white and from black.|Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.|Equip {2}		
Torrential Gearhulk	{4}{U}{U}	None	Artifact,Creature	Construct	Flash|When Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead.	5	6
Verdurous Gearhulk	{3}{G}{G}	None	Artifact,Creature	Construct	Trample|When Verdurous Gearhulk enters the battlefield, distribute four +1/+1 counters among any number of target creatures you control.	4	4
