Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adun Oakenshield	{B}{R}{G}	Legendary	Creature	Human,Knight	{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.	1	2
Amnesia	{3}{U}{U}{U}		Sorcery		Target player reveals his or her hand and discards all nonland cards.		
Angry Mob	{2}{W}{W}		Creature	Human	Trample|As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.		
Animate Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Apprentice Wizard	{1}{U}{U}		Creature	Human,Wizard	{U}, {T}: Add {3} to your mana pool.	0	1
Arcane Denial	{1}{U}		Instant		Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.|You draw a card at the beginning of the next turn's upkeep.		
Argivian Archaeologist	{1}{W}{W}		Creature	Human,Artificer	{W}{W}, {T}: Return target artifact card from your graveyard to your hand.	1	1
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Artifact Blast	{R}		Instant		Counter target artifact spell.		
Ashnod's Transmogrant	{1}		Artifact		{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.		
Autumn Willow	{4}{G}{G}	Legendary	Creature	Avatar	Shroud|{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.	4	4
Balduvian Horde	{2}{R}{R}		Creature	Human,Barbarian	When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.	5	5
Ball Lightning	{R}{R}{R}		Creature	Elemental	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)|Haste (This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Ball Lightning.	6	1
Baron Sengir	{5}{B}{B}{B}	Legendary	Creature	Vampire	Flying|Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.|{T}: Regenerate another target Vampire.	5	5
Basal Thrull	{B}{B}		Creature	Thrull	{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.	1	2
Benalish Hero	{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	1
Berserk	{G}		Instant		Cast Berserk only before the combat damage step.|Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.		
Bestial Fury	{2}{R}		Enchantment	Aura	Enchant creature|When Bestial Fury enters the battlefield, draw a card at the beginning of the next turn's upkeep.|Whenever enchanted creature becomes blocked, it gets +4/+0 and gains trample until end of turn.		
Black Knight	{B}{B}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
Blight	{B}{B}		Enchantment	Aura	Enchant land|When enchanted land becomes tapped, destroy it.		
Breeding Pit	{3}{B}		Enchantment		At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.|At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.		
Brothers of Fire	{1}{R}{R}		Creature	Human,Shaman	{1}{R}{R}: Brothers of Fire deals 1 damage to target creature or player and 1 damage to you.	2	2
Carnivorous Plant	{3}{G}		Creature	Plant,Wall	Defender	4	5
Centaur Archer	{1}{R}{G}		Creature	Centaur,Archer	{T}: Centaur Archer deals 1 damage to target creature with flying.	3	2
Chains of Mephistopheles	{1}{B}		Enchantment		If a player would draw a card except the first one he or she draws in his or her draw step each turn, that player discards a card instead. If the player discards a card this way, he or she draws a card. If the player doesn't discard a card this way, he or she puts the top card of his or her library into his or her graveyard.		
Chub Toad	{2}{G}		Creature	Frog	Whenever Chub Toad blocks or becomes blocked, it gets +2/+2 until end of turn.	1	1
Clockwork Beast	{6}		Artifact,Creature	Beast	Clockwork Beast enters the battlefield with seven +1/+0 counters on it.|At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.|{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.	0	4
Contagion	{3}{B}{B}		Instant		You may pay 1 life and exile a black card from your hand rather than pay Contagion's mana cost.|Distribute two -2/-1 counters among one or two target creatures.		
Copper Tablet	{2}		Artifact		At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player.		
Crookshank Kobolds	{0}		Creature	Kobold	Crookshank Kobolds is red.	0	1
Crusade	{W}{W}		Enchantment		White creatures get +1/+1.		
Cuombajj Witches	{B}{B}		Creature	Human,Wizard	{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.	1	3
Cursed Rack	{4}		Artifact		As Cursed Rack enters the battlefield, choose an opponent.|The chosen player's maximum hand size is four.		
Dakkon Blackblade	{2}{W}{U}{U}{B}	Legendary	Creature	Human,Warrior	Dakkon Blackblade's power and toughness are each equal to the number of lands you control.	*	*
Death Speakers	{W}		Creature	Human,Cleric	Protection from black	1	1
Death Ward	{W}		Instant		Regenerate target creature.		
Derelor	{3}{B}		Creature	Thrull	Black spells you cast cost {B} more to cast.	4	4
Diamond Valley			Land		{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.		
Diminishing Returns	{2}{U}{U}		Sorcery		Each player shuffles his or her hand and graveyard into his or her library. You exile the top ten cards of your library. Then each player draws up to seven cards.		
Divine Transformation	{2}{W}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+3.		
Dragon Engine	{3}		Artifact,Creature	Construct	{2}: Dragon Engine gets +1/+0 until end of turn.	1	3
Dust to Dust	{1}{W}{W}		Sorcery		Exile two target artifacts.		
Dwarven Catapult	{X}{R}		Instant		Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls.		
Dwarven Soldier	{1}{R}		Creature	Dwarf,Soldier	Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn.	2	1
Eater of the Dead	{4}{B}		Creature	Horror	{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.	3	4
Elder Land Wurm	{4}{W}{W}{W}		Creature	Dragon,Wurm	Defender, trample|When Elder Land Wurm blocks, it loses defender.	5	5
Energy Arc	{W}{U}		Instant		Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.		
Erg Raiders	{1}{B}		Creature	Human,Warrior	At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.	2	3
Eureka	{2}{G}{G}		Sorcery		Starting with you, each player may put a permanent card from his or her hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield.		
Exile	{2}{W}		Instant		Exile target nonwhite attacking creature. You gain life equal to its toughness.		
Feast or Famine	{3}{B}		Instant		Choose one - Put a 2/2 black Zombie creature token onto the battlefield; or destroy target nonartifact, nonblack creature and it can't be regenerated.		
Fire Covenant	{1}{B}{R}		Instant		As an additional cost to cast Fire Covenant, pay X life.|Fire Covenant deals X damage divided as you choose among any number of target creatures.		
Fissure	{3}{R}{R}		Instant		Destroy target creature or land. It can't be regenerated.		
Force of Will	{3}{U}{U}		Instant		You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.|Counter target spell.		
Forcefield	{3}		Artifact		{1}: The next time an unblocked creature of your choice would deal combat damage to you this turn, prevent all but 1 of that damage.		
Forest		Basic	Land	Forest	G		
Fyndhorn Elves	{G}		Creature	Elf,Druid	{T}: Add {G} to your mana pool.	1	1
Gargantuan Gorilla	{4}{G}{G}{G}		Creature	Ape	At the beginning of your upkeep, you may sacrifice a Forest. If you sacrifice a snow Forest this way, Gargantuan Gorilla gains trample until end of turn. If you don't sacrifice a Forest, sacrifice Gargantuan Gorilla and it deals 7 damage to you.|{T}: Gargantuan Gorilla deals damage equal to its power to another target creature. That creature deals damage equal to its power to Gargantuan Gorilla.	7	7
Ghazbán Ogre	{G}		Creature	Ogre	At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre.	2	2
Giant Tortoise	{1}{U}		Creature	Turtle	Giant Tortoise gets +0/+3 as long as it's untapped.	1	1
Goblin Chirurgeon	{R}		Creature	Goblin,Shaman	Sacrifice a Goblin: Regenerate target creature.	0	2
Goblin Grenade	{R}		Sorcery		As an additional cost to cast Goblin Grenade, sacrifice a Goblin.|Goblin Grenade deals 5 damage to target creature or player.		
