Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abbey Gargoyles	{2}{W}{W}{W}		Creature	Gargoyle	Flying, protection from red	3	4
Adarkar Sentinel	{5}		Artifact,Creature	Soldier	{1}: Adarkar Sentinel gets +0/+1 until end of turn.	3	3
Aeolipile	{2}		Artifact		{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.		
Æther Storm	{3}{U}		Enchantment		Creature spells can't be cast.|Pay 4 life: Destroy Æther Storm. It can't be regenerated. Any player may activate this ability.		
Ambush Party	{4}{R}		Creature	Human,Rogue	First strike, haste	3	1
Anarchy	{2}{R}{R}		Sorcery		Destroy all white permanents.		
Angel of Fury	{4}{W}{W}		Creature	Angel	Flying|When Angel of Fury is put into your graveyard from the battlefield, you may shuffle it into your library.	3	5
Angel of Light	{4}{W}		Creature	Angel	Flying, vigilance	3	3
An-Zerrin Ruins	{2}{R}{R}		Enchantment		As An-Zerrin Ruins enters the battlefield, choose a creature type.|Creatures of the chosen type don't untap during their controllers' untap steps.		
Armor of Faith	{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1.|{W}: Enchanted creature gets +0/+1 until end of turn.		
Armor Thrull	{2}{B}		Creature	Thrull	{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.	1	3
Armored Griffin	{3}{W}		Creature	Griffin	Flying, vigilance	2	3
Ashen Ghoul	{3}{B}		Creature	Zombie	Haste|{B}: Return Ashen Ghoul from your graveyard to the battlefield. Activate this ability only during your upkeep and only if three or more creature cards are above Ashen Ghoul.	3	1
Ashnod's Cylix	{2}		Artifact		{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.		
Aurochs	{3}{G}		Creature	Aurochs	Trample|Whenever Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.	2	3
Aysen Bureaucrats	{1}{W}		Creature	Human,Advisor	{T}: Tap target creature with power 2 or less.	1	1
Aysen Crusader	{2}{W}{W}		Creature	Human,Knight	Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.		
Badlands			Land	Swamp,Mountain			
Balduvian Conjurer	{1}{U}		Creature	Human,Wizard	{T}: Target snow land becomes a 2/2 creature until end of turn. It's still a land.	0	2
Balduvian Dead	{3}{B}		Creature	Zombie	{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.	2	3
Balduvian Hydra	{X}{R}{R}		Creature	Hydra	Balduvian Hydra enters the battlefield with X +1/+0 counters on it.|Remove a +1/+0 counter from Balduvian Hydra: Prevent the next 1 damage that would be dealt to Balduvian Hydra this turn.|{R}{R}{R}: Put a +1/+0 counter on Balduvian Hydra. Activate this ability only during your upkeep.	0	1
Balduvian Trading Post			Land		If Balduvian Trading Post would enter the battlefield, sacrifice an untapped Mountain instead. If you do, put Balduvian Trading Post onto the battlefield. If you don't, put it into its owner's graveyard.|{T}: Add {1}{R} to your mana pool.|{1}, {T}: Balduvian Trading Post deals 1 damage to target attacking creature.		
Barbed Sextant	{1}		Artifact		{1}, {T}, Sacrifice Barbed Sextant: Add one mana of any color to your mana pool. Draw a card at the beginning of the next turn's upkeep.		
Binding Grasp	{3}{U}		Enchantment	Aura	Enchant creature|At the beginning of your upkeep, sacrifice Binding Grasp unless you pay {1}{U}.|You control enchanted creature.|Enchanted creature gets +0/+1.		
Bounty of the Hunt	{3}{G}{G}		Instant		You may exile a green card from your hand rather than pay Bounty of the Hunt's mana cost.|Distribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step.		
Brainstorm	{U}		Instant		Draw three cards, then put two cards from your hand on top of your library in any order.		
Brassclaw Orcs	{2}{R}		Creature	Orc	Brassclaw Orcs can't block creatures with power 2 or greater.	3	2
Brimstone Dragon	{6}{R}{R}		Creature	Dragon	Flying, haste	6	6
Brine Shaman	{1}{B}		Creature	Human,Cleric,Shaman	{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.|{1}{U}{U}, Sacrifice a creature: Counter target creature spell.	1	1
Broken Visage	{4}{B}		Instant		Destroy target nonartifact attacking creature. It can't be regenerated. Put a black Spirit creature token with that creature's power and toughness onto the battlefield. Sacrifice the token at the beginning of the next end step.		
Browse	{2}{U}{U}		Enchantment		{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.		
Burnout	{1}{R}		Instant		Counter target instant spell if it's blue.|Draw a card at the beginning of the next turn's upkeep.		
Carapace	{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +0/+2.|Sacrifice Carapace: Regenerate enchanted creature.		
Caribou Range	{2}{W}{W}		Enchantment	Aura	Enchant land you control|Enchanted land has '{W}{W}, {T}: Put a 0/1 white Caribou creature token onto the battlefield.'|Sacrifice a Caribou token: You gain 1 life.		
Cloak of Confusion	{1}{B}		Enchantment	Aura	Enchant creature you control|Whenever enchanted creature attacks and isn't blocked, you may have it assign no combat damage this turn. If you do, defending player discards a card at random.		
Clockwork Steed	{4}		Artifact,Creature	Horse	Clockwork Steed enters the battlefield with four +1/+0 counters on it.|Clockwork Steed can't be blocked by artifact creatures.|At end of combat, if Clockwork Steed attacked or blocked this combat, remove a +1/+0 counter from it.|{X}, {T}: Put up to X +1/+0 counters on Clockwork Steed. This ability can't cause the total number of +1/+0 counters on Clockwork Steed to be greater than four. Activate this ability only during your upkeep.	0	3
Combat Medic	{2}{W}		Creature	Human,Cleric,Soldier	{1}{W}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	0	2
Conquer	{3}{R}{R}		Enchantment	Aura	Enchant land|You control enchanted land.		
Counterspell	{U}{U}		Instant		Counter target spell.		
Dance of the Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Dance of the Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Dance of the Dead.' Return enchanted creature card to the battlefield tapped under your control and attach Dance of the Dead to it. When Dance of the Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets +1/+1 and doesn't untap during its controller's untap step.|At the beginning of the upkeep of enchanted creature's controller, that player may pay {1}{B}. If he or she does, untap that creature.		
Dark Banishing	{2}{B}		Instant		Destroy target nonblack creature. It can't be regenerated.		
Death Spark	{R}		Instant		Death Spark deals 1 damage to target creature or player.|At the beginning of your upkeep, if Death Spark is in your graveyard with a creature card directly above it, you may pay {1}. If you do, return Death Spark to your hand.		
Deep Spawn	{5}{U}{U}{U}		Creature	Homarid	Trample|At the beginning of your upkeep, sacrifice Deep Spawn unless you put the top two cards of your library into your graveyard.|{U}: Deep Spawn gains shroud until end of turn and doesn't untap during your next untap step. Tap Deep Spawn. (A permanent with shroud can't be the target of spells or abilities.)	6	6
Demonic Consultation	{B}		Instant		Name a card. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal the named card. Put that card into your hand and exile all other cards revealed this way.		
Despotic Scepter	{1}		Artifact		{T}: Destroy target permanent you own. It can't be regenerated.		
Diabolic Vision	{U}{B}		Sorcery		Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library in any order.		
Disenchant	{1}{W}		Instant		Destroy target artifact or enchantment.		
Dreams of the Dead	{3}{U}		Enchantment		{1}{U}: Return target white or black creature card from your graveyard to the battlefield. That creature gains 'Cumulative upkeep {2}.' If the creature would leave the battlefield, exile it instead of putting it anywhere else. (At the beginning of its controller's upkeep, that player puts an age counter on it, then sacrifices it unless he or she pays its upkeep cost for each age counter on it.)		
Drift of the Dead	{3}{B}		Creature	Wall	Defender (This creature can't attack.)|Drift of the Dead's power and toughness are each equal to the number of snow lands you control.	*	*
Dry Spell	{1}{B}		Sorcery		Dry Spell deals 1 damage to each creature and each player.		
Dwarven Ruins			Land		Dwarven Ruins enters the battlefield tapped.|{T}: Add {R} to your mana pool.|{T}, Sacrifice Dwarven Ruins: Add {R}{R} to your mana pool.		
Dystopia	{1}{B}{B}		Enchantment		Cumulative upkeep-Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|At the beginning of each player's upkeep, that player sacrifices a green or white permanent.		
Earthlink	{3}{B}{R}{G}		Enchantment		At the beginning of your upkeep, sacrifice Earthlink unless you pay {2}.|Whenever a creature dies, that creature's controller sacrifices a land.		
Ebon Praetor	{4}{B}{B}		Creature	Avatar,Praetor	First strike, trample|At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor.|Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate this ability only during your upkeep and only once each turn.	5	5
Ebon Stronghold			Land		Ebon Stronghold enters the battlefield tapped.|{T}: Add {B} to your mana pool.|{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.		
Elemental Augury	{U}{B}{R}		Enchantment		{3}: Look at the top three cards of target player's library, then put them back in any order.		
Elkin Bottle	{3}		Artifact		{3}, {T}: Exile the top card of your library. Until the beginning of your next upkeep, you may play that card.		
Elven Lyre	{2}		Artifact		{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.		
Elvish Farmer	{1}{G}		Creature	Elf	At the beginning of your upkeep, put a spore counter on Elvish Farmer.|Remove three spore counters from Elvish Farmer: Put a 1/1 green Saproling creature token onto the battlefield.|Sacrifice a Saproling: You gain 2 life.	0	2
Elvish Hunter	{1}{G}		Creature	Elf,Archer	{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step.	1	1
Elvish Ranger	{2}{G}		Creature	Elf		4	1
Elvish Spirit Guide	{2}{G}		Creature	Elf,Spirit	Exile Elvish Spirit Guide from your hand: Add {G} to your mana pool.	2	2
Energy Storm	{1}{W}		Enchantment		Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Prevent all damage that would be dealt by instant and sorcery spells.|Creatures with flying don't untap during their controllers' untap steps.		
Enervate	{1}{U}		Instant		Tap target artifact, creature, or land.||Draw a card at the beginning of the next turn's upkeep.		
Errand of Duty	{1}{W}		Instant		Put a 1/1 white Knight creature token with banding onto the battlefield. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)		
Errantry	{1}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+0 and can only attack alone.		
Essence Filter	{1}{G}{G}		Sorcery		Destroy all enchantments or all nonwhite enchantments.		
Essence Flare	{U}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+0.|At the beginning of the upkeep of enchanted creature's controller, put a -0/-1 counter on that creature.		
Farrel's Mantle	{2}{W}		Enchantment	Aura	Enchant creature|Whenever enchanted creature attacks and isn't blocked, its controller may have it deal damage equal to its power plus 2 to another target creature. If that player does, the attacking creature assigns no combat damage this turn.		
Farrel's Zealot	{1}{W}{W}		Creature	Human	Whenever Farrel's Zealot attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, Farrel's Zealot assigns no combat damage this turn.	2	2
Feral Thallid	{3}{G}{G}{G}		Creature	Fungus	At the beginning of your upkeep, put a spore counter on Feral Thallid.||Remove three spore counters from Feral Thallid: Regenerate Feral Thallid.	6	3
Fire Dragon	{6}{R}{R}{R}		Creature	Dragon	Flying|When Fire Dragon enters the battlefield, it deals damage to target creature equal to the number of Mountains you control.	6	6
Flame Spirit	{4}{R}		Creature	Elemental,Spirit	{R}: Flame Spirit gets +1/+0 until end of turn.	2	3
Folk of the Pines	{4}{G}		Creature	Dryad	{1}{G}: Folk of the Pines gets +1/+0 until end of turn.	2	5
Forbidden Lore	{2}{G}		Enchantment	Aura	Enchant land|Enchanted land has '{T}: Target creature gets +2/+1 until end of turn.'		
Forgotten Lore	{G}		Sorcery		Target opponent chooses a card in your graveyard. You may pay {G}. If you do, repeat this process except that opponent can't choose a card already chosen for Forgotten Lore. Then put the last chosen card into your hand.		
Foul Familiar	{2}{B}		Creature	Spirit	Foul Familiar can't block.|{B}, Pay 1 life: Return Foul Familiar to its owner's hand.	3	1
Fumarole	{3}{B}{R}		Sorcery		As an additional cost to cast Fumarole, pay 3 life.|Destroy target creature and target land.		
Funeral March	{1}{B}{B}		Enchantment	Aura	Enchant creature|When enchanted creature leaves the battlefield, its controller sacrifices a creature.		
Fungal Bloom	{G}{G}		Enchantment		{G}{G}: Put a spore counter on target Fungus.		
Fyndhorn Pollen	{2}{G}		Enchantment		Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|All creatures get -1/-0.|{1}{G}: All creatures get -1/-0 until end of turn.		
Gangrenous Zombies	{1}{B}{B}		Creature	Zombie	{T}, Sacrifice Gangrenous Zombies: Gangrenous Zombies deals 1 damage to each creature and each player. If you control a snow Swamp, Gangrenous Zombies deals 2 damage to each creature and each player instead.	2	2
Giant Growth	{G}		Instant		Target creature gets +3/+3 until end of turn.		
Giant Trap Door Spider	{1}{R}{G}		Creature	Spider	{1}{R}{G}, {T}: Exile Giant Trap Door Spider and target creature without flying that's attacking you.	2	3
Glacial Chasm			Land		Cumulative upkeep-Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|When Glacial Chasm enters the battlefield, sacrifice a land.|Creatures you control can't attack.|Prevent all damage that would be dealt to you.		
Glacial Crevasses	{2}{R}		Enchantment		Sacrifice a snow Mountain: Prevent all combat damage that would be dealt this turn.		
Goblin Ski Patrol	{1}{R}		Creature	Goblin	{1}{R}: Goblin Ski Patrol gets +2/+0 and gains flying. Its controller sacrifices it at the beginning of the next end step. Activate this ability only once and only if you control a snow Mountain.	1	1
Gorilla Shaman	{R}		Creature	Ape,Shaman	{X}{X}{1}: Destroy target noncreature artifact with converted mana cost X.	1	1
Grandmother Sengir	{4}{B}	Legendary	Creature	Human,Wizard	{1}{B}, {T}: Target creature gets -1/-1 until end of turn.	3	3
Gustha's Scepter	{0}		Artifact		{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.|{T}: Return a card you own exiled with Gustha's Scepter to your hand.|When you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard.		
Havenwood Battleground			Land		Havenwood Battleground enters the battlefield tapped.|{T}: Add {G} to your mana pool.|{T}, Sacrifice Havenwood Battleground: Add {G}{G} to your mana pool.		
Heart of Yavimaya			Land		If Heart of Yavimaya would enter the battlefield, sacrifice a Forest instead. If you do, put Heart of Yavimaya onto the battlefield. If you don't, put it into its owner's graveyard.|{T}: Add {G} to your mana pool.|{T}: Target creature gets +1/+1 until end of turn.		
Helm of Obedience	{4}		Artifact		{X}, {T}: Target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. If a creature card is put into that graveyard this way, sacrifice Helm of Obedience and put that card onto the battlefield under your control. X can't be 0.		
Icatian Javelineers	{W}		Creature	Human,Soldier	Icatian Javelineers enters the battlefield with a javelin counter on it.|{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.	1	1
Icatian Phalanx	{4}{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	2	4
Icatian Scout	{W}		Creature	Human,Soldier,Scout	{1}, {T}: Target creature gains first strike until end of turn.	1	1
Ice Floe			Land		You may choose not to untap Ice Floe during your untap step.|{T}: Tap target creature without flying that's attacking you. It doesn't untap during its controller's untap step for as long as Ice Floe remains tapped.		
Iceberg	{X}{U}{U}		Enchantment		Iceberg enters the battlefield with X ice counters on it.|{3}: Put an ice counter on Iceberg.|Remove an ice counter from Iceberg: Add {1} to your mana pool.		
Icequake	{1}{B}{B}		Sorcery		Destroy target land. If that land was a snow land, Icequake deals 1 damage to that land's controller.		
Icy Prison	{U}{U}		Enchantment		When Icy Prison enters the battlefield, exile target creature.|At the beginning of your upkeep, sacrifice Icy Prison unless any player pays {3}.|When Icy Prison leaves the battlefield, return the exiled card to the battlefield under its owner's control.		
Ihsan's Shade	{3}{B}{B}{B}	Legendary	Creature	Shade,Knight	Protection from white	5	5
Imperial Recruiter	{2}{R}		Creature	Human,Advisor	When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, and put it into your hand. Then shuffle your library.	1	1
Imperial Seal	{B}		Sorcery		Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.		
Incinerate	{1}{R}		Instant		Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.		
Infernal Darkness	{2}{B}{B}		Enchantment		Cumulative upkeep-Pay {B} and 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|If a land is tapped for mana, it produces {B} instead of any other type.		
Inheritance	{W}		Enchantment		Whenever a creature dies, you may pay {3}. If you do, draw a card.		
Ironclaw Orcs	{1}{R}		Creature	Orc	Ironclaw Orcs can't block creatures with power 2 or greater.	2	2
Ivory Gargoyle	{4}{W}		Creature	Gargoyle	Flying|When Ivory Gargoyle dies, return it to the battlefield under its owner's control at the beginning of the next end step and you skip your next draw step.|{4}{W}: Exile Ivory Gargoyle.	2	2
