Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Active Volcano	{R}		Instant		Choose one - Destroy target blue permanent; or return target Island to its owner's hand.		
Akron Legionnaire	{6}{W}{W}		Creature	Giant,Soldier	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	8	4
Alabaster Potion	{X}{W}{W}		Instant		Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.		
All Hallow's Eve	{2}{B}{B}		Sorcery		Exile All Hallow's Eve with two scream counters on it.|At the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.		
Amrou Kithkin	{W}{W}		Creature	Kithkin	Amrou Kithkin can't be blocked by creatures with power 3 or greater.	1	1
Anaba Ancestor	{1}{R}		Creature	Minotaur,Spirit	{T}: Another target Minotaur creature gets +1/+1 until end of turn.	1	1
Anaba Spirit Crafter	{2}{R}{R}		Creature	Minotaur,Shaman	Minotaur creatures get +1/+0.	1	3
Angus Mackenzie	{G}{W}{U}	Legendary	Creature	Human,Cleric	{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn. Activate this ability only before the combat damage step.	2	2
Arboria	{2}{G}{G}	World	Enchantment		Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during his or her last turn.		
Arcades Sabboth	{2}{G}{G}{W}{W}{U}{U}	Legendary	Creature	Elder,Dragon	Flying|At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.|Each untapped creature you control gets +0/+2 as long as it's not attacking.|{W}: Arcades Sabboth gets +0/+1 until end of turn.	7	7
Arena of the Ancients	{3}		Artifact		Legendary creatures don't untap during their controllers' untap steps.|When Arena of the Ancients enters the battlefield, tap all legendary creatures.		
Ashes to Ashes	{1}{B}{B}		Sorcery		Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.		
Astrolabe	{3}		Artifact		{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.		
Axelrod Gunnarson	{4}{B}{B}{R}{R}	Legendary	Creature	Giant	Trample|Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.	5	5
Banshee	{2}{B}{B}		Creature	Spirit	{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.	0	1
Barktooth Warbeard	{4}{B}{R}{R}	Legendary	Creature	Human,Warrior		6	5
Barl's Cage	{4}		Artifact		{3}: Target creature doesn't untap during its controller's next untap step.		
Bartel Runeaxe	{3}{B}{R}{G}	Legendary	Creature	Giant,Warrior	Vigilance|Bartel Runeaxe can't be the target of Aura spells.	6	5
Bayou			Land	Swamp,Forest			
