Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acid Rain	{3}{U}		Sorcery		Destroy all Forests.		
Aesthir Glider	{3}		Artifact,Creature	Bird	Flying|Aesthir Glider can't block.	2	1
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Al-abara's Carpet	{5}		Artifact		{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.		
Alaborn Musketeer	{1}{W}		Creature	Human,Soldier	Reach (This creature can block creatures with flying.)	2	1
Alaborn Trooper	{2}{W}		Creature	Human,Soldier		2	3
Aladdin	{2}{R}{R}		Creature	Human,Rogue	{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.	1	1
Alchor's Tomb	{4}		Artifact		{2}, {T}: Target permanent you control becomes the color of your choice. (This effect lasts indefinitely.)		
Ali from Cairo	{2}{R}{R}		Creature	Human	Damage that would reduce your life total to less than 1 reduces it to 1 instead.	0	1
Alluring Scent	{1}{G}{G}		Sorcery		All creatures able to block target creature this turn do so.		
Amulet of Kroog	{2}		Artifact		{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.		
Angelic Voices	{2}{W}{W}		Enchantment		Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.		
Animate Artifact	{3}{U}		Enchantment	Aura	Enchant artifact|As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.		
Argivian Blacksmith	{1}{W}{W}		Creature	Human,Artificer	{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.	2	2
Argothian Pixies	{1}{G}		Creature	Faerie	Argothian Pixies can't be blocked by artifact creatures.|Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.	2	1
Argothian Treefolk	{3}{G}{G}		Creature	Treefolk	Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.	3	5
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Armageddon Clock	{6}		Artifact		At the beginning of your upkeep, put a doom counter on Armageddon Clock.|At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.|{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.		
Artifact Blast	{R}		Instant		Counter target artifact spell.		
Ashnod's Altar	{3}		Artifact		Sacrifice a creature: Add {2} to your mana pool.		
Atog	{1}{R}		Creature	Atog	Sacrifice an artifact: Atog gets +2/+2 until end of turn.	1	2
Badlands			Land	Swamp,Mountain			
Balance	{1}{W}		Sorcery		Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Basalt Monolith	{3}		Artifact		Basalt Monolith doesn't untap during your untap step.|{T}: Add {3} to your mana pool.|{3}: Untap Basalt Monolith.		
Bayou			Land	Swamp,Forest			
Bee Sting	{3}{G}		Sorcery		Bee Sting deals 2 damage to target creature or player.		
Bird Maiden	{2}{R}		Creature	Human,Bird	Flying	1	2
Black Knight	{B}{B}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
