Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aerial Caravan	{4}{U}{U}		Creature	Human,Soldier	Flying|{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)	4	3
Afterlife	{2}{W}		Instant		Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.		
Alabaster Wall	{2}{W}		Creature	Wall	Defender (This creature can't attack.)|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	0	4
Alley Grifters	{1}{B}{B}		Creature	Human,Mercenary	Whenever Alley Grifters becomes blocked, defending player discards a card.	2	2
Ancestral Mask	{2}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 for each other enchantment on the battlefield.		
Armistice	{2}{W}		Enchantment		{3}{W}{W}: You draw a card and target opponent gains 3 life.		
Arms Dealer	{2}{R}		Creature	Goblin,Rogue	{1}{R}, Sacrifice a Goblin: Arms Dealer deals 4 damage to target creature.	1	1
Arrest	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block, and its activated abilities can't be activated.		
Assembly Hall	{5}		Artifact		{4}, {T}: Reveal a creature card in your hand. Search your library for a card with the same name as that card, reveal it, and put it into your hand. Then shuffle your library.		
Ballista Squad	{3}{W}		Creature	Human,Rebel	{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.	2	2
Balloon Peddler	{2}{U}		Creature	Human,Spellshaper	{U}, {T}, Discard a card: Target creature gains flying until end of turn.	2	2
Barbed Wire	{3}		Artifact		At the beginning of each player's upkeep, Barbed Wire deals 1 damage to that player.||{2}: Prevent the next 1 damage that would be dealt by Barbed Wire this turn.		
Bargaining Table	{5}		Artifact		{X}, {T}: Draw a card. X is the number of cards in an opponent's hand.		
Battle Rampart	{2}{R}		Creature	Wall	Defender|{T}: Target creature gains haste until end of turn.	1	3
Battle Squadron	{3}{R}{R}		Creature	Goblin	Flying|Battle Squadron's power and toughness are each equal to the number of creatures you control.	*	*
Bifurcate	{3}{G}		Sorcery		Search your library for a permanent card with the same name as target nontoken creature and put that card onto the battlefield. Then shuffle your library.		
Black Market	{3}{B}{B}		Enchantment		Whenever a creature dies, put a charge counter on Black Market.|At the beginning of your precombat main phase, add {B} to your mana pool for each charge counter on Black Market.		
Blaster Mage	{2}{R}		Creature	Human,Spellshaper	{R}, {T}, Discard a card: Destroy target Wall.	2	2
Blockade Runner	{3}{U}		Creature	Merfolk	{U}: Blockade Runner can't be blocked this turn.	2	2
Blood Hound	{2}{R}		Creature	Hound	Whenever you're dealt damage, you may put that many +1/+1 counters on Blood Hound.|At the beginning of your end step, remove all +1/+1 counters from Blood Hound.	1	1
Blood Oath	{3}{R}		Instant		Choose a card type. Target opponent reveals his or her hand. Blood Oath deals 3 damage to that player for each card of the chosen type revealed this way. (Artifact, creature, enchantment, instant, land, planeswalker, sorcery, and tribal are card types.)		
Boa Constrictor	{4}{G}		Creature	Snake	{T}: Boa Constrictor gets +3/+3 until end of turn.	3	3
