Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Hunter	{3}{B}		Creature	Human,Assassin	{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.	1	1
Acidic Dagger	{4}		Artifact		{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.		
Afiya Grove	{1}{G}		Enchantment		Afiya Grove enters the battlefield with three +1/+1 counters on it.|At the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.|When Afiya Grove has no +1/+1 counters on it, sacrifice it.		
Afterlife	{2}{W}		Instant		Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.		
Agility	{1}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1 and has flanking. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)		
Alarum	{1}{W}		Instant		Untap target nonattacking creature. It gets +1/+3 until end of turn.		
Aleatory	{1}{R}		Instant		Cast Aleatory only during combat after blockers are declared.|Flip a coin. If you win the flip, target creature gets +1/+1 until end of turn.|Draw a card at the beginning of the next turn's upkeep.		
Amber Prison	{4}		Artifact		You may choose not to untap Amber Prison during your untap step.|{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.		
Amulet of Unmaking	{5}		Artifact		{5}, {T}, Exile Amulet of Unmaking: Exile target artifact, creature, or land. Activate this ability only any time you could cast a sorcery.		
Ancestral Memories	{2}{U}{U}{U}		Sorcery		Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.		
Armor of Thorns	{1}{G}		Enchantment	Aura	You may cast Armor of Thorns as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.|Enchant nonblack creature|Enchanted creature gets +2/+2.		
Armorer Guildmage	{R}		Creature	Human,Wizard	{B}, {T}: Target creature gets +1/+0 until end of turn.|{G}, {T}: Target creature gets +0/+1 until end of turn.	1	1
Ashen Powder	{2}{B}{B}		Sorcery		Put target creature card from an opponent's graveyard onto the battlefield under your control.		
Asmira, Holy Avenger	{2}{G}{W}	Legendary	Creature	Human,Cleric	Flying|At the beginning of each end step, put a +1/+1 counter on Asmira, Holy Avenger for each creature put into your graveyard from the battlefield this turn.	2	3
