Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Spellbomb	{1}		Artifact		{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.|{1}, Sacrifice Æther Spellbomb: Draw a card.		
Alpha Myr	{2}		Artifact,Creature	Myr		2	1
Altar of Shadows	{7}		Artifact		At the beginning of your precombat main phase, add {B} to your mana pool for each charge counter on Altar of Shadows.|{7}, {T}: Destroy target creature. Then put a charge counter on Altar of Shadows.		
Altar's Light	{2}{W}{W}		Instant		Exile target artifact or enchantment.		
Ancient Den			Artifact,Land		(Ancient Den isn't a spell.)|{T}: Add {W} to your mana pool.		
Annul	{U}		Instant		Counter target artifact or enchantment spell.		
Arc-Slogger	{3}{R}{R}		Creature	Beast	{R}, Exile the top ten cards of your library: Arc-Slogger deals 2 damage to target creature or player.	4	5
Arrest	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block, and its activated abilities can't be activated.		
Assert Authority	{5}{U}{U}		Instant		Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)|Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.		
Atog	{1}{R}		Creature	Atog	Sacrifice an artifact: Atog gets +2/+2 until end of turn.	1	2
Auriok Bladewarden	{1}{W}		Creature	Human,Soldier	{T}: Target creature gets +X/+X until end of turn, where X is Auriok Bladewarden's power.	1	1
Auriok Steelshaper	{1}{W}		Creature	Human,Soldier	Equip costs you pay cost {1} less.|As long as Auriok Steelshaper is equipped, each creature you control that's a Soldier or a Knight gets +1/+1.	1	1
Auriok Transfixer	{W}		Creature	Human,Scout	{W}, {T}: Tap target artifact.	1	1
Awe Strike	{W}		Instant		The next time target creature would deal damage this turn, prevent that damage. You gain life equal to the damage prevented this way.		
Banshee's Blade	{2}		Artifact	Equipment	Equipped creature gets +1/+1 for each charge counter on Banshee's Blade.|Whenever equipped creature deals combat damage, put a charge counter on Banshee's Blade.|Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)		
Barter in Blood	{2}{B}{B}		Sorcery		Each player sacrifices two creatures.		
Battlegrowth	{G}		Instant		Put a +1/+1 counter on target creature.		
Betrayal of Flesh	{5}{B}		Instant		Choose one - Destroy target creature; or return target creature card from your graveyard to the battlefield.|Entwine-Sacrifice three lands. (Choose both if you pay the entwine cost.)		
Blinding Beam	{2}{W}		Instant		Choose one - Tap two target creatures; or creatures don't untap during target player's next untap step.|Entwine {1} (Choose both if you pay the entwine cost.)		
Blinkmoth Urn	{5}		Artifact		At the beginning of each player's precombat main phase, if Blinkmoth Urn is untapped, that player adds {1} to his or her mana pool for each artifact he or she controls.		
Blinkmoth Well			Land		{T}: Add {1} to your mana pool.|{2}, {T}: Tap target noncreature artifact.		
Bloodscent	{3}{G}		Instant		All creatures able to block target creature this turn do so.		
Bonesplitter	{1}		Artifact	Equipment	Equipped creature gets +2/+0.|Equip {1}		
Bosh, Iron Golem	{8}	Legendary	Artifact,Creature	Golem	Trample|{3}{R}, Sacrifice an artifact: Bosh, Iron Golem deals damage equal to the sacrificed artifact's converted mana cost to target creature or player.	6	7
Bottle Gnomes	{3}		Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Broodstar	{8}{U}{U}		Creature	Beast	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)|Flying|Broodstar's power and toughness are each equal to the number of artifacts you control.	*	*
Brown Ouphe	{G}		Creature	Ouphe	{1}{G}, {T}: Counter target activated ability from an artifact source. (Mana abilities can't be targeted.)	1	1
Cathodion	{3}		Artifact,Creature	Construct	When Cathodion dies, add {3} to your mana pool.	3	3
Chalice of the Void	{X}{X}		Artifact		Chalice of the Void enters the battlefield with X charge counters on it.|Whenever a player casts a spell with converted mana cost equal to the number of charge counters on Chalice of the Void, counter that spell.		
Chimney Imp	{4}{B}		Creature	Imp	Flying|When Chimney Imp dies, target opponent puts a card from his or her hand on top of his or her library.	1	2
Chromatic Sphere	{1}		Artifact		{1}, {T}, Sacrifice Chromatic Sphere: Add one mana of any color to your mana pool. Draw a card.		
