Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accorder Paladin	{1}{W}		Creature	Human,Knight	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)	3	1
Ardent Recruit	{W}		Creature	Human,Soldier	Metalcraft - Ardent Recruit gets +2/+2 as long as you control three or more artifacts.	1	1
Banishment Decree	{3}{W}{W}		Instant		Put target artifact, creature, or enchantment on top of its owner's library.		
Black Sun's Zenith	{X}{B}{B}		Sorcery		Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.		
Bladed Sentinel	{4}		Artifact,Creature	Construct	{W}: Bladed Sentinel gains vigilance until end of turn.	2	4
Blightsteel Colossus	{12}		Artifact,Creature	Golem	Trample, infect, indestructible|If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead.	11	11
Blightwidow	{3}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)|Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)	2	4
Blisterstick Shaman	{2}{R}		Creature	Goblin,Shaman	When Blisterstick Shaman enters the battlefield, it deals 1 damage to target creature or player.	2	1
Blue Sun's Zenith	{X}{U}{U}{U}		Instant		Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.		
Bonehoard	{4}		Artifact	Equipment	Living weapon (When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)|Equipped creature gets +X/+X, where X is the number of creature cards in all graveyards.|Equip {2}		
Brass Squire	{3}		Artifact,Creature	Myr	{T}: Attach target Equipment you control to target creature you control.	1	3
Burn the Impure	{1}{R}		Instant		Burn the Impure deals 3 damage to target creature. If that creature has infect, Burn the Impure deals 3 damage to that creature's controller.		
Caustic Hound	{5}{B}		Creature	Hound	When Caustic Hound dies, each player loses 4 life.	4	4
Choking Fumes	{2}{W}		Instant		Put a -1/-1 counter on each attacking creature.		
Concussive Bolt	{3}{R}{R}		Sorcery		Concussive Bolt deals 4 damage to target player.|Metalcraft - If you control three or more artifacts, creatures that player controls can't block this turn.		
Consecrated Sphinx	{4}{U}{U}		Creature	Sphinx	Flying|Whenever an opponent draws a card, you may draw two cards.	4	6
Contested War Zone			Land		Whenever a creature deals combat damage to you, that creature's controller gains control of Contested War Zone.|{T}: Add {1} to your mana pool.|{1}, {T}: Attacking creatures get +1/+0 until end of turn.		
Copper Carapace	{1}		Artifact	Equipment	Equipped creature gets +2/+2 and can't block.|Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)		
Core Prowler	{4}		Artifact,Creature	Horror	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)|When Core Prowler dies, proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)	2	2
Corrupted Conscience	{3}{U}{U}		Enchantment	Aura	Enchant creature|You control enchanted creature.|Enchanted creature has infect. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)		
Creeping Corrosion	{2}{G}{G}		Sorcery		Destroy all artifacts.		
Crush	{R}		Instant		Destroy target noncreature artifact.		
Cryptoplasm	{1}{U}{U}		Creature	Shapeshifter	At the beginning of your upkeep, you may have Cryptoplasm become a copy of another target creature. If you do, Cryptoplasm gains this ability.	2	2
Darksteel Plate	{3}		Artifact	Equipment	Indestructible|Equipped creature has indestructible.|Equip {2}		
Decimator Web	{4}		Artifact		{4}, {T}: Target opponent loses 2 life, gets a poison counter, then puts the top six cards of his or her library into his or her graveyard.		
Distant Memories	{2}{U}{U}		Sorcery		Search your library for a card, exile it, then shuffle your library. Any opponent may have you put that card into your hand. If no player does, you draw three cards.		
Divine Offering	{1}{W}		Instant		Destroy target artifact. You gain life equal to its converted mana cost.		
Dross Ripper	{4}		Artifact,Creature	Hound	{2}{B}: Dross Ripper gets +1/+1 until end of turn.	3	3
Fangren Marauder	{5}{G}		Creature	Beast	Whenever an artifact is put into a graveyard from the battlefield, you may gain 5 life.	5	5
Flayer Husk	{1}		Artifact	Equipment	Living weapon (When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)|Equipped creature gets +1/+1.|Equip {2}		
Flensermite	{1}{B}		Creature	Gremlin	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)|Lifelink (Damage dealt by this creature also causes you to gain that much life.)	1	1
Flesh-Eater Imp	{3}{B}		Creature	Imp	Flying|Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)|Sacrifice a creature: Flesh-Eater Imp gets +1/+1 until end of turn.	2	2
Forest		Basic	Land	Forest	G		
Frantic Salvage	{3}{W}		Instant		Put any number of target artifact cards from your graveyard on top of your library.|Draw a card.		
Fuel for the Cause	{2}{U}{U}		Instant		Counter target spell, then proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)		
Galvanoth	{3}{R}{R}		Creature	Beast	At the beginning of your upkeep, you may look at the top card of your library. If it's an instant or sorcery card, you may cast it without paying its mana cost.	3	3
Glissa, the Traitor	{B}{G}{G}	Legendary	Creature	Zombie,Elf	First strike, deathtouch|Whenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand.	3	3
Glissa's Courier	{1}{G}{G}		Creature	Horror	Mountainwalk	2	3
Gnathosaur	{4}{R}{R}		Creature	Lizard	Sacrifice an artifact: Gnathosaur gains trample until end of turn.	5	4
Go for the Throat	{1}{B}		Instant		Destroy target nonartifact creature.		
Goblin Wardriver	{R}{R}		Creature	Goblin,Warrior	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)	2	2
