Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Burrenton Forge-Tender	{W}	None	Creature	Kithkin,Wizard	Protection from red|Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.	1	1
Caves of Koilos		None	Land	None	{T}: Add {1} to your mana pool.|{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.		
City of Brass		None	Land	None	Whenever City of Brass becomes tapped, it deals 1 damage to you.|{T}: Add one mana of any color to your mana pool.		
Dismember	{1}{B/P}{B/P}	None	Instant	None	({B/P} can be paid with either {B} or 2 life.)|Target creature gets -5/-5 until end of turn.		
Duress	{B}	None	Sorcery	None	Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.		
Elspeth, Knight-Errant	{2}{W}{W}	None	Planeswalker	Elspeth	+1: Put a 1/1 white Soldier creature token onto the battlefield.|+1: Target creature gets +3/+3 and gains flying until end of turn.|−8: You get an emblem with 'Artifacts, creatures, enchantments, and lands you control have indestructible.'		
Ghost Quarter		None	Land	None	{T}: Add {1} to your mana pool.|{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search his or her library for a basic land card, put it onto the battlefield, then shuffle his or her library.		
Honor of the Pure	{1}{W}	None	Enchantment	None	White creatures you control get +1/+1.		
Inquisition of Kozilek	{B}	None	Sorcery	None	Target player reveals his or her hand. You choose a nonland card from it with converted mana cost 3 or less. That player discards that card.		
Intangible Virtue	{1}{W}	None	Enchantment	None	Creature tokens you control get +1/+1 and have vigilance.		
Isolated Chapel		None	Land	None	Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.|{T}: Add {W} or {B} to your mana pool.		
Kataki, War's Wage	{1}{W}	Legendary	Creature	Spirit	All artifacts have 'At the beginning of your upkeep, sacrifice this artifact unless you pay {1}.'	2	1
Lingering Souls	{2}{W}	None	Sorcery	None	Put two 1/1 white Spirit creature tokens with flying onto the battlefield.|Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Path to Exile	{W}	None	Instant	None	Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.		
Plains		Basic	Land	Plains	W		
Raise the Alarm	{1}{W}	None	Instant	None	Put two 1/1 white Soldier creature tokens onto the battlefield.		
Relic of Progenitus	{1}	None	Artifact	None	{T}: Target player exiles a card from his or her graveyard.|{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.		
Shrine of Loyal Legions	{2}	None	Artifact	None	At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.|{3}, {T}, Sacrifice Shrine of Loyal Legions: Put a 1/1 colorless Myr artifact creature token onto the battlefield for each charge counter on Shrine of Loyal Legions.		
Soul Warden	{W}	None	Creature	Human,Cleric	Whenever another creature enters the battlefield, you gain 1 life.	1	1
Spectral Procession	{2/W}{2/W}{2/W}	None	Sorcery	None	Put three 1/1 white Spirit creature tokens with flying onto the battlefield.		
Swamp		Basic	Land	Swamp	B		
Sword of Feast and Famine	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2 and has protection from black and from green.|Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.|Equip {2}		
Tidehollow Sculler	{W}{B}	None	Artifact,Creature	Zombie	When Tidehollow Sculler enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card.|When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.	2	2
Vault of the Archangel		None	Land	None	{T}: Add {1} to your mana pool.|{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.		
Windbrisk Heights		None	Land	None	Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)|{T}: Add {W} to your mana pool.|{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.		
Zealous Persecution	{W}{B}	None	Instant	None	Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1.		
