Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absorb Vis	{6}{B}		Sorcery		Target player loses 4 life and you gain 4 life.|Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)		
Academy Ruins		Legendary	Land		{T}: Add {1} to your mana pool.|{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.		
Adarkar Valkyrie	{4}{W}{W}	Snow	Creature	Angel	Flying, vigilance|{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.	4	5
Æther Spellbomb	{1}		Artifact		{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.|{1}, Sacrifice Æther Spellbomb: Draw a card.		
Æther Vial	{1}		Artifact		At the beginning of your upkeep, you may put a charge counter on Æther Vial.|{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Æther Vial from your hand onto the battlefield.		
Æthersnipe	{5}{U}		Creature	Elemental	When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.|Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	4	4
Amrou Scout	{1}{W}		Creature	Kithkin,Rebel,Scout	{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.	2	1
Amrou Seekers	{2}{W}		Creature	Kithkin,Rebel	Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.	2	2
Angel's Grace	{W}		Instant		Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)|You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.		
Arcbound Ravager	{2}		Artifact,Creature	Beast	Sacrifice an artifact: Put a +1/+1 counter on Arcbound Ravager.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Stinger	{2}		Artifact,Creature	Insect	Flying|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
