Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æthersnipe	{5}{U}	None	Creature	Elemental	When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.|Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	4	4
Agony Warp	{U}{B}	None	Instant	None	Target creature gets -3/-0 until end of turn.|Target creature gets -0/-3 until end of turn.		
Air Servant	{4}{U}	None	Creature	Elemental	Flying|{2}{U}: Tap target creature with flying.	4	3
Algae Gharial	{3}{G}	None	Creature	Crocodile	Shroud (This creature can't be the target of spells or abilities.)|Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.	1	1
All Is Dust	{7}	None	Tribal,Sorcery	Eldrazi	Each player sacrifices all colored permanents he or she controls.		
All Suns' Dawn	{4}{G}	None	Sorcery	None	For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.		
Alloy Myr	{3}	None	Artifact,Creature	Myr	{T}: Add one mana of any color to your mana pool.	2	2
Ant Queen	{3}{G}{G}	None	Creature	Insect	{1}{G}: Put a 1/1 green Insect creature token onto the battlefield.	5	5
Apocalypse Hydra	{X}{R}{G}	None	Creature	Hydra	Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.|{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.	0	0
Apostle's Blessing	{1}{W/P}	None	Instant	None	({W/P} can be paid with either {W} or 2 life.)|Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.		
Aquastrand Spider	{1}{G}	None	Creature	Spider,Mutant	Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)|{G}: Target creature with a +1/+1 counter on it gains reach until end of turn. (It can block creatures with flying.)	0	0
Argent Sphinx	{2}{U}{U}	None	Creature	Sphinx	Flying|Metalcraft - {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.	4	3
Arrest	{2}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block, and its activated abilities can't be activated.		
Artisan of Kozilek	{9}	None	Creature	Eldrazi	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)	10	9
Ashenmoor Gouger	{B/R}{B/R}{B/R}	None	Creature	Elemental,Warrior	Ashenmoor Gouger can't block.	4	4
Azorius Chancery		None	Land	None	Azorius Chancery enters the battlefield tapped.|When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.|{T}: Add {W}{U} to your mana pool.		
Banefire	{X}{R}	None	Sorcery	None	Banefire deals X damage to target creature or player.|If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.		
Battlegrace Angel	{3}{W}{W}	None	Creature	Angel	Flying|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, it gains lifelink until end of turn.	4	4
Bestial Menace	{3}{G}{G}	None	Sorcery	None	Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.		
Bitterblossom	{1}{B}	None	Tribal,Enchantment	Faerie	At the beginning of your upkeep, you lose 1 life and put a 1/1 black Faerie Rogue creature token with flying onto the battlefield.		
Blades of Velis Vel	{1}{R}	None	Tribal,Instant	Shapeshifter	Changeling (This card is every creature type.)|Up to two target creatures each get +2/+0 and gain all creature types until end of turn.		
Blinding Souleater	{3}	None	Artifact,Creature	Cleric	{W/P}, {T}: Tap target creature. ({W/P} can be paid with either {W} or 2 life.)	1	3
Blinkmoth Nexus		None	Land	None	{T}: Add {1} to your mana pool.|{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.|{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.		
Blood Ogre	{2}{R}	None	Creature	Ogre,Warrior	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)|First strike (This creature deals combat damage before creatures without first strike.)	2	2
Bloodshot Trainee	{3}{R}	None	Creature	Goblin,Warrior	{T}: Bloodshot Trainee deals 4 damage to target creature. Activate this ability only if Bloodshot Trainee's power is 4 or greater.	2	3
Bloodthrone Vampire	{1}{B}	None	Creature	Vampire	Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.	1	1
Bone Splinters	{B}	None	Sorcery	None	As an additional cost to cast Bone Splinters, sacrifice a creature.|Destroy target creature.		
Boros Garrison		None	Land	None	Boros Garrison enters the battlefield tapped.|When Boros Garrison enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{W} to your mana pool.		
Boros Swiftblade	{R}{W}	None	Creature	Human,Soldier	Double strike	1	2
Brute Force	{R}	None	Instant	None	Target creature gets +3/+3 until end of turn.		
Burst Lightning	{R}	None	Instant	None	Kicker {4} (You may pay an additional {4} as you cast this spell.)|Burst Lightning deals 2 damage to target creature or player. If Burst Lightning was kicked, it deals 4 damage to that creature or player instead.		
Cathodion	{3}	None	Artifact,Creature	Construct	When Cathodion dies, add {3} to your mana pool.	3	3
Celestial Purge	{1}{W}	None	Instant	None	Exile target black or red permanent.		
Chimeric Mass	{X}	None	Artifact	None	Chimeric Mass enters the battlefield with X charge counters on it.|{1}: Until end of turn, Chimeric Mass becomes a Construct artifact creature with 'This creature's power and toughness are each equal to the number of charge counters on it.'		
Cloud Elemental	{2}{U}	None	Creature	Elemental	Flying|Cloud Elemental can block only creatures with flying.	2	3
Combust	{1}{R}	None	Instant	None	Combust can't be countered by spells or abilities.|Combust deals 5 damage to target white or blue creature. The damage can't be prevented.		
Comet Storm	{X}{R}{R}	None	Instant	None	Multikicker {1} (You may pay an additional {1} any number of times as you cast this spell.)|Choose target creature or player, then choose another target creature or player for each time Comet Storm was kicked. Comet Storm deals X damage to each of them.		
Commune with Nature	{G}	None	Sorcery	None	Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.		
Conclave Phalanx	{4}{W}	None	Creature	Human,Soldier	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)|When Conclave Phalanx enters the battlefield, you gain 1 life for each creature you control.	2	4
Copper Carapace	{1}	None	Artifact	Equipment	Equipped creature gets +2/+2 and can't block.|Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)		
Court Homunculus	{W}	None	Artifact,Creature	Homunculus	Court Homunculus gets +1/+1 as long as you control another artifact.	1	1
Cranial Plating	{2}	None	Artifact	Equipment	Equipped creature gets +1/+0 for each artifact you control.|{B}{B}: Attach Cranial Plating to target creature you control.|Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)		
Creakwood Liege	{1}{B/G}{B/G}{B/G}	None	Creature	Horror	Other black creatures you control get +1/+1.|Other green creatures you control get +1/+1.|At the beginning of your upkeep, you may put a 1/1 black and green Worm creature token onto the battlefield.	2	2
Cryptic Command	{1}{U}{U}{U}	None	Instant	None	Choose two -|• Counter target spell.|• Return target permanent to its owner's hand.|• Tap all creatures your opponents control.|• Draw a card.		
Culling Dais	{2}	None	Artifact	None	{T}, Sacrifice a creature: Put a charge counter on Culling Dais.|{1}, Sacrifice Culling Dais: Draw a card for each charge counter on Culling Dais.		
Cytoplast Root-Kin	{2}{G}{G}	None	Creature	Elemental,Mutant	Graft 4 (This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)|When Cytoplast Root-Kin enters the battlefield, put a +1/+1 counter on each other creature you control with a +1/+1 counter on it.|{2}: Move a +1/+1 counter from target creature you control onto Cytoplast Root-Kin.	0	0
Daggerclaw Imp	{2}{B}	None	Creature	Imp	Flying|Daggerclaw Imp can't block.	3	1
Dark Confidant	{1}{B}	None	Creature	Human,Wizard	At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost.	2	1
Darksteel Axe	{1}	None	Artifact	Equipment	Indestructible (Effects that say 'destroy' don't destroy this artifact.)|Equipped creature gets +2/+0.|Equip {2}		
