Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ambassador Oak	{3}{G}		Creature	Treefolk,Warrior	When Ambassador Oak enters the battlefield, put a 1/1 green Elf Warrior creature token onto the battlefield.	3	3
Auntie's Snitch	{2}{B}		Creature	Goblin,Rogue	Auntie's Snitch can't block.|Prowl {1}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)|Whenever a Goblin or Rogue you control deals combat damage to a player, if Auntie's Snitch is in your graveyard, you may return Auntie's Snitch to your hand.	3	1
Ballyrush Banneret	{1}{W}		Creature	Kithkin,Soldier	Kithkin spells and Soldier spells you cast cost {1} less to cast.	2	1
Battletide Alchemist	{3}{W}{W}		Creature	Kithkin,Cleric	If a source would deal damage to a player, you may prevent X of that damage, where X is the number of Clerics you control.	3	4
Bitterblossom	{1}{B}		Tribal,Enchantment	Faerie	At the beginning of your upkeep, you lose 1 life and put a 1/1 black Faerie Rogue creature token with flying onto the battlefield.		
Blightsoil Druid	{1}{B}		Creature	Elf,Druid	{T}, Pay 1 life: Add {G} to your mana pool.	1	2
Boldwyr Heavyweights	{2}{R}{R}		Creature	Giant,Warrior	Trample|When Boldwyr Heavyweights enters the battlefield, each opponent may search his or her library for a creature card and put it onto the battlefield. Then each player who searched his or her library this way shuffles it.	8	8
Boldwyr Intimidator	{5}{R}{R}		Creature	Giant,Warrior	Cowards can't block Warriors.|{R}: Target creature becomes a Coward until end of turn.|{2}{R}: Target creature becomes a Warrior until end of turn.	5	5
Borderland Behemoth	{5}{R}{R}		Creature	Giant,Warrior	Trample|Borderland Behemoth gets +4/+4 for each other Giant you control.	4	4
Bosk Banneret	{1}{G}		Creature	Treefolk,Shaman	Treefolk spells and Shaman spells you cast cost {1} less to cast.	1	3
Bramblewood Paragon	{1}{G}		Creature	Elf,Warrior	Each other Warrior creature you control enters the battlefield with an additional +1/+1 counter on it.|Each creature you control with a +1/+1 counter on it has trample.	2	2
Brighthearth Banneret	{1}{R}		Creature	Elemental,Warrior	Elemental spells and Warrior spells you cast cost {1} less to cast.|Reinforce 1-{1}{R} ({1}{R}, Discard this card: Put a +1/+1 counter on target creature.)	1	1
Burrenton Bombardier	{2}{W}		Creature	Kithkin,Soldier	Flying|Reinforce 2-{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)	2	2
Burrenton Shield-Bearers	{4}{W}		Creature	Kithkin,Soldier	Whenever Burrenton Shield-Bearers attacks, target creature gets +0/+3 until end of turn.	3	3
Cenn's Tactician	{W}		Creature	Kithkin,Soldier	{W}, {T}: Put a +1/+1 counter on target Soldier creature.|Each creature you control with a +1/+1 counter on it can block an additional creature.	1	1
Chameleon Colossus	{2}{G}{G}		Creature	Shapeshifter	Changeling (This card is every creature type at all times.)|Protection from black|{2}{G}{G}: Chameleon Colossus gets +X/+X until end of turn, where X is its power.	4	4
Changeling Sentinel	{3}{W}		Creature	Shapeshifter	Changeling (This card is every creature type at all times.)|Vigilance	3	2
