Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accumulated Knowledge	{1}{U}		Instant		Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.		
Æther Barrier	{2}{U}		Enchantment		Whenever a player casts a creature spell, that player sacrifices a permanent unless he or she pays {1}.		
Air Bladder	{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.|Enchanted creature can block only creatures with flying.		
Ancient Hydra	{4}{R}		Creature	Hydra	Fading 5 (This creature enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|{1}, Remove a fade counter from Ancient Hydra: Ancient Hydra deals 1 damage to target creature or player.	5	1
Angelic Favor	{3}{W}		Instant		If you control a Plains, you may tap an untapped creature you control rather than pay Angelic Favor's mana cost.|Cast Angelic Favor only during combat.|Put a 4/4 white Angel creature token with flying onto the battlefield. Exile it at the beginning of the next end step.		
Animate Land	{G}		Instant		Until end of turn, target land becomes a 3/3 creature that's still a land.		
Arc Mage	{2}{R}		Creature	Human,Spellshaper	{2}{R}, {T}, Discard a card: Arc Mage deals 2 damage divided as you choose among one or two target creatures and/or players.	2	2
Ascendant Evincar	{4}{B}{B}	Legendary	Creature	Vampire	Flying (This creature can't be blocked except by creatures with flying or reach.)|Other black creatures get +1/+1.|Nonblack creatures get -1/-1.	3	3
Avenger en-Dal	{1}{W}		Creature	Human,Spellshaper	{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.	1	1
Battlefield Percher	{3}{B}{B}		Creature	Bird	Flying|Battlefield Percher can block only creatures with flying.|{1}{B}: Battlefield Percher gets +1/+1 until end of turn.	2	2
Belbe's Armor	{3}		Artifact		{X}, {T}: Target creature gets -X/+X until end of turn.		
Belbe's Percher	{2}{B}		Creature	Bird	Flying|Belbe's Percher can block only creatures with flying.	2	2
Belbe's Portal	{5}		Artifact		As Belbe's Portal enters the battlefield, choose a creature type.|{3}, {T}: You may put a creature card of the chosen type from your hand onto the battlefield.		
Blastoderm	{2}{G}{G}		Creature	Beast	Shroud (This permanent can't be the target of spells or abilities.)|Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)	5	5
Blinding Angel	{3}{W}{W}		Creature	Angel	Flying (This creature can't be blocked except by creatures with flying or reach.)|Whenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.	2	4
Bola Warrior	{1}{R}		Creature	Human,Spellshaper,Warrior	{R}, {T}, Discard a card: Target creature can't block this turn.	1	1
Carrion Wall	{1}{B}{B}		Creature	Wall	Defender (This creature can't attack.)|{1}{B}: Regenerate Carrion Wall.	3	2
Chieftain en-Dal	{1}{W}{W}		Creature	Human,Knight	Whenever Chieftain en-Dal attacks, attacking creatures gain first strike until end of turn.	2	2
Cloudskate	{1}{U}		Creature	Illusion	Flying|Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)	2	2
Coiling Woodworm	{2}{G}		Creature	Insect,Worm	Coiling Woodworm's power is equal to the number of Forests on the battlefield.	*	1
Complex Automaton	{4}		Artifact,Creature	Golem	At the beginning of your upkeep, if you control seven or more permanents, return Complex Automaton to its owner's hand.	4	4
Dark Triumph	{4}{B}		Instant		If you control a Swamp, you may sacrifice a creature rather than pay Dark Triumph's mana cost.||Creatures you control get +2/+0 until end of turn.		
Daze	{1}{U}		Instant		You may return an Island you control to its owner's hand rather than pay Daze's mana cost.||Counter target spell unless its controller pays {1}.		
Death Pit Offering	{2}{B}{B}		Enchantment		When Death Pit Offering enters the battlefield, sacrifice all creatures you control.|Creatures you control get +2/+2.		
Defender en-Vec	{3}{W}		Creature	Human,Cleric	Fading 4 (This creature enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Defender en-Vec: Prevent the next 2 damage that would be dealt to target creature or player this turn.	2	4
Defiant Falcon	{1}{W}		Creature	Rebel,Bird	Flying|{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.	1	1
Defiant Vanguard	{2}{W}		Creature	Human,Rebel	When Defiant Vanguard blocks, at end of combat, destroy it and all creatures it blocked this turn.|{5}, {T}: Search your library for a Rebel permanent card with converted mana cost 4 or less and put it onto the battlefield. Then shuffle your library.	2	2
Divining Witch	{1}{B}		Creature	Human,Spellshaper	{1}{B}, {T}, Discard a card: Name a card. Exile the top six cards of your library. Reveal cards from the top of your library until you reveal the named card, then put that card into your hand. Exile all other cards revealed this way.	1	1
Dominate	{X}{1}{U}{U}		Instant		Gain control of target creature with converted mana cost X or less. (This effect lasts indefinitely.)		
Downhill Charge	{2}{R}		Instant		You may sacrifice a Mountain rather than pay Downhill Charge's mana cost.||Target creature gets +X/+0 until end of turn, where X is the number of Mountains you control.		
Ensnare	{3}{U}		Instant		You may return two Islands you control to their owner's hand rather than pay Ensnare's mana cost.||Tap all creatures.		
Eye of Yawgmoth	{3}		Artifact		{3}, {T}, Sacrifice a creature: Reveal a number of cards from the top of your library equal to the sacrificed creature's power. Put one into your hand and exile the rest.		
Fanatical Devotion	{2}{W}		Enchantment		Sacrifice a creature: Regenerate target creature.		
Flame Rift	{1}{R}		Sorcery		Flame Rift deals 4 damage to each player.		
Flint Golem	{4}		Artifact,Creature	Golem	Whenever Flint Golem becomes blocked, defending player puts the top three cards of his or her library into his or her graveyard.	2	3
Flowstone Armor	{3}		Artifact		You may choose not to untap Flowstone Armor during your untap step.|{3}, {T}: Target creature gets +1/-1 for as long as Flowstone Armor remains tapped.		
Flowstone Crusher	{3}{R}{R}		Creature	Beast	{R}: Flowstone Crusher gets +1/-1 until end of turn.	4	4
Flowstone Overseer	{2}{R}{R}{R}		Creature	Beast	{R}{R}: Target creature gets +1/-1 until end of turn.	4	4
Flowstone Slide	{X}{2}{R}{R}		Sorcery		All creatures get +X/-X until end of turn.		
Flowstone Strike	{1}{R}		Instant		Target creature gets +1/-1 and gains haste until end of turn.		
Flowstone Surge	{1}{R}		Enchantment		Creatures you control get +1/-1.		
Flowstone Thopter	{7}		Artifact,Creature	Thopter	{1}: Flowstone Thopter gets +1/-1 and gains flying until end of turn.	4	4
Flowstone Wall	{2}{R}		Creature	Wall	Defender (This creature can't attack.)|{R}: Flowstone Wall gets +1/-1 until end of turn.	0	6
Fog Patch	{1}{G}		Instant		Cast Fog Patch only during the declare blockers step.|Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)		
Harvest Mage	{G}		Creature	Human,Spellshaper	{G}, {T}, Discard a card: Until end of turn, if you tap a land for mana, it produces one mana of a color of your choice instead of any other type and amount.	1	1
Infiltrate	{U}		Instant		Target creature can't be blocked this turn.		
Jolting Merfolk	{2}{U}{U}		Creature	Merfolk	Fading 4 (This creature enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Jolting Merfolk: Tap target creature.	2	2
Kill Switch	{3}		Artifact		{2}, {T}: Tap all other artifacts. They don't untap during their controllers' untap steps for as long as Kill Switch remains tapped.		
Kor Haven		Legendary	Land		{T}: Add {1} to your mana pool.|{1}{W}, {T}: Prevent all combat damage that would be dealt by target attacking creature this turn.		
Laccolith Grunt	{2}{R}		Creature	Beast	Whenever Laccolith Grunt becomes blocked, you may have it deal damage equal to its power to target creature. If you do, Laccolith Grunt assigns no combat damage this turn.	2	2
Laccolith Rig	{R}		Enchantment	Aura	Enchant creature|Whenever enchanted creature becomes blocked, you may have it deal damage equal to its power to target creature. If you do, the first creature assigns no combat damage this turn.		
Laccolith Titan	{5}{R}{R}		Creature	Beast	Whenever Laccolith Titan becomes blocked, you may have it deal damage equal to its power to target creature. If you do, Laccolith Titan assigns no combat damage this turn.	6	6
Laccolith Warrior	{2}{R}{R}		Creature	Beast,Warrior	Whenever Laccolith Warrior becomes blocked, you may have it deal damage equal to its power to target creature. If you do, Laccolith Warrior assigns no combat damage this turn.	3	3
Laccolith Whelp	{R}		Creature	Beast	Whenever Laccolith Whelp becomes blocked, you may have it deal damage equal to its power to target creature. If you do, Laccolith Whelp assigns no combat damage this turn.	1	1
Lashknife	{1}{W}		Enchantment	Aura	If you control a Plains, you may tap an untapped creature you control rather than pay Lashknife's mana cost.|Enchant creature|Enchanted creature has first strike.		
Lawbringer	{2}{W}		Creature	Kor,Rebel	{T}, Sacrifice Lawbringer: Exile target red creature.	2	2
Lightbringer	{2}{W}		Creature	Kor,Rebel	{T}, Sacrifice Lightbringer: Exile target black creature.	2	2
Lin Sivvi, Defiant Hero	{1}{W}{W}	Legendary	Creature	Human,Rebel	{X}, {T}: Search your library for a Rebel permanent card with converted mana cost X or less and put it onto the battlefield. Then shuffle your library.|{3}: Put target Rebel card from your graveyard on the bottom of your library.	1	3
Mana Cache	{1}{R}{R}		Enchantment		At the beginning of each player's end step, put a charge counter on Mana Cache for each untapped land that player controls.|Remove a charge counter from Mana Cache: Add {1} to your mana pool. Any player may activate this ability but only during his or her turn before the end step.		
Massacre	{2}{B}{B}		Sorcery		If an opponent controls a Plains and you control a Swamp, you may cast Massacre without paying its mana cost.|All creatures get -2/-2 until end of turn.		
Mind Slash	{1}{B}{B}		Enchantment		{B}, Sacrifice a creature: Target opponent reveals his or her hand. You choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.		
Mind Swords	{1}{B}		Sorcery		If you control a Swamp, you may sacrifice a creature rather than pay Mind Swords's mana cost.|Each player exiles two cards from his or her hand.		
Mogg Alarm	{1}{R}{R}		Sorcery		You may sacrifice two Mountains rather than pay Mogg Alarm's mana cost.|Put two 1/1 red Goblin creature tokens onto the battlefield.		
Mogg Salvage	{2}{R}		Instant		If an opponent controls an Island and you control a Mountain, you may cast Mogg Salvage without paying its mana cost.|Destroy target artifact.		
Mogg Toady	{1}{R}		Creature	Goblin	Mogg Toady can't attack unless you control more creatures than defending player.|Mogg Toady can't block unless you control more creatures than attacking player.	2	2
Moggcatcher	{2}{R}{R}		Creature	Human,Mercenary	{3}, {T}: Search your library for a Goblin permanent card and put it onto the battlefield. Then shuffle your library.	2	2
Mossdog	{G}		Creature	Plant,Hound	Whenever Mossdog becomes the target of a spell or ability an opponent controls, put a +1/+1 counter on Mossdog.	1	1
Murderous Betrayal	{B}{B}{B}		Enchantment		{B}{B}, Pay half your life, rounded up: Destroy target nonblack creature. It can't be regenerated.		
Nesting Wurm	{4}{G}{G}		Creature	Wurm	Trample|When Nesting Wurm enters the battlefield, you may search your library for up to three cards named Nesting Wurm, reveal them, and put them into your hand. If you do, shuffle your library.	4	3
Netter en-Dal	{W}		Creature	Human,Spellshaper	{W}, {T}, Discard a card: Target creature can't attack this turn.	1	1
Noble Stand	{4}{W}		Enchantment		Whenever a creature you control blocks, you gain 2 life.		
Off Balance	{W}		Instant		Target creature can't attack or block this turn.		
Oracle's Attendants	{3}{W}		Creature	Human,Soldier	{T}: All damage that would be dealt to target creature this turn by a source of your choice is dealt to Oracle's Attendants instead.	1	5
Oraxid	{3}{U}		Creature	Crab,Beast	Protection from red	2	3
Overlaid Terrain	{2}{G}{G}		Enchantment		As Overlaid Terrain enters the battlefield, sacrifice all lands you control.|Lands you control have '{T}: Add two mana of any one color to your mana pool.'		
Pack Hunt	{3}{G}		Sorcery		Search your library for up to three cards with the same name as target creature, reveal them, and put them into your hand. Then shuffle your library.		
Pale Moon	{1}{U}		Instant		Until end of turn, if a player taps a nonbasic land for mana, it produces colorless mana instead of any other type.		
Parallax Dementia	{1}{B}		Enchantment	Aura	Enchant creature|Fading 1 (This enchantment enters the battlefield with one fade counter on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Enchanted creature gets +3/+2.|When Parallax Dementia leaves the battlefield, destroy enchanted creature. That creature can't be regenerated.		
Parallax Inhibitor	{2}		Artifact		{1}, {T}, Sacrifice Parallax Inhibitor: Put a fade counter on each permanent with fading you control.		
Parallax Nexus	{2}{B}		Enchantment		Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Parallax Nexus: Target opponent exiles a card from his or her hand. Activate this ability only any time you could cast a sorcery.|When Parallax Nexus leaves the battlefield, each player returns to his or her hand all cards he or she owns exiled with Parallax Nexus.		
Parallax Tide	{2}{U}{U}		Enchantment		Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Parallax Tide: Exile target land.|When Parallax Tide leaves the battlefield, each player returns to the battlefield all cards he or she owns exiled with Parallax Tide.		
Parallax Wave	{2}{W}{W}		Enchantment		Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Parallax Wave: Exile target creature.|When Parallax Wave leaves the battlefield, each player returns to the battlefield all cards he or she owns exiled with Parallax Wave.		
Phyrexian Driver	{2}{B}		Creature	Zombie,Mercenary	When Phyrexian Driver enters the battlefield, other Mercenary creatures get +1/+1 until end of turn.	1	1
Phyrexian Prowler	{3}{B}		Creature	Zombie,Mercenary	Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|Remove a fade counter from Phyrexian Prowler: Phyrexian Prowler gets +1/+1 until end of turn.	3	3
Plague Witch	{1}{B}		Creature	Elf,Spellshaper	{B}, {T}, Discard a card: Target creature gets -1/-1 until end of turn.	1	1
Predator, Flagship	{5}	Legendary	Artifact		{2}: Target creature gains flying until end of turn.|{5}, {T}: Destroy target creature with flying.		
Rackling	{4}		Artifact,Creature	Construct	At the beginning of each opponent's upkeep, Rackling deals X damage to that player, where X is 3 minus the number of cards in his or her hand.	2	2
