Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Act of Aggression	{3}{R/P}{R/P}		Instant		({R/P} can be paid with either {R} or 2 life.)|Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.		
Alloy Myr	{3}		Artifact,Creature	Myr	{T}: Add one mana of any color to your mana pool.	2	2
Apostle's Blessing	{1}{W/P}		Instant		({W/P} can be paid with either {W} or 2 life.)|Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.		
Argent Mutation	{2}{U}		Instant		Target permanent becomes an artifact in addition to its other types until end of turn.|Draw a card.		
Arm with Æther	{2}{U}		Sorcery		Until end of turn, creatures you control gain 'Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand.'		
Artillerize	{3}{R}		Instant		As an additional cost to cast Artillerize, sacrifice an artifact or creature.|Artillerize deals 5 damage to target creature or player.		
Auriok Survivors	{5}{W}		Creature	Human,Soldier	When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to Auriok Survivors.	4	6
Batterskull	{5}		Artifact	Equipment	Living weapon (When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)|Equipped creature gets +4/+4 and has vigilance and lifelink.|{3}: Return Batterskull to its owner's hand.|Equip {5}		
Beast Within	{2}{G}		Instant		Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.		
Birthing Pod	{3}{G/P}		Artifact		({G/P} can be paid with either {G} or 2 life.)|{1}{G/P}, {T}, Sacrifice a creature: Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield, then shuffle your library. Activate this ability only any time you could cast a sorcery.		
Blade Splicer	{2}{W}		Creature	Human,Artificer	When Blade Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield.|Golem creatures you control have first strike.	1	1
Blighted Agent	{1}{U}		Creature	Human,Rogue	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)|Blighted Agent can't be blocked.	1	1
Blind Zealot	{1}{B}{B}		Creature	Human,Cleric	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)|Whenever Blind Zealot deals combat damage to a player, you may sacrifice it. If you do, destroy target creature that player controls.	2	2
Blinding Souleater	{3}		Artifact,Creature	Cleric	{W/P}, {T}: Tap target creature. ({W/P} can be paid with either {W} or 2 life.)	1	3
Bludgeon Brawl	{2}{R}		Enchantment		Each noncreature, non-Equipment artifact is an Equipment with equip {X} and 'Equipped creature gets +X/+0,' where X is that artifact's converted mana cost.		
Brutalizer Exarch	{5}{G}		Creature	Cleric	When Brutalizer Exarch enters the battlefield, choose one - Search your library for a creature card, reveal it, then shuffle your library and put that card on top of it; or put target noncreature permanent on the bottom of its owner's library.	3	3
Caged Sun	{6}		Artifact		As Caged Sun enters the battlefield, choose a color.|Creatures you control of the chosen color get +1/+1.|Whenever a land's ability adds one or more mana of the chosen color to your mana pool, add one additional mana of that color to your mana pool.		
Caress of Phyrexia	{3}{B}{B}		Sorcery		Target player draws three cards, loses 3 life, and gets three poison counters.		
Cathedral Membrane	{1}{W/P}		Artifact,Creature	Wall	({W/P} can be paid with either {W} or 2 life.)|Defender|When Cathedral Membrane dies during combat, it deals 6 damage to each creature it blocked this combat.	0	3
Chained Throatseeker	{5}{U}		Creature	Horror	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)|Chained Throatseeker can't attack unless defending player is poisoned.	5	5
Chancellor of the Annex	{4}{W}{W}{W}		Creature	Angel	You may reveal this card from your opening hand. If you do, when each opponent casts his or her first spell of the game, counter that spell unless that player pays {1}.|Flying|Whenever an opponent casts a spell, counter it unless that player pays {1}.	5	6
Chancellor of the Dross	{4}{B}{B}{B}		Creature	Vampire	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, each opponent loses 3 life, then you gain life equal to the life lost this way.|Flying, lifelink	6	6
Chancellor of the Forge	{4}{R}{R}{R}		Creature	Giant	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, put a 1/1 red Goblin creature token with haste onto the battlefield.|When Chancellor of the Forge enters the battlefield, put X 1/1 red Goblin creature tokens with haste onto the battlefield, where X is the number of creatures you control.	5	5
Chancellor of the Spires	{4}{U}{U}{U}		Creature	Sphinx	You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, each opponent puts the top seven cards of his or her library into his or her graveyard.|Flying|When Chancellor of the Spires enters the battlefield, you may cast target instant or sorcery card from an opponent's graveyard without paying its mana cost.	5	7
Chancellor of the Tangle	{4}{G}{G}{G}		Creature	Beast	You may reveal this card from your opening hand. If you do, at the beginning of your first main phase, add {G} to your mana pool.|Vigilance, reach	6	7
Conversion Chamber	{3}		Artifact		{2}, {T}: Exile target artifact card from a graveyard. Put a charge counter on Conversion Chamber.|{2}, {T}, Remove a charge counter from Conversion Chamber: Put a 3/3 colorless Golem artifact creature token onto the battlefield.		
Corrosive Gale	{X}{G/P}		Sorcery		({G/P} can be paid with either {G} or 2 life.)|Corrosive Gale deals X damage to each creature with flying.		
Corrupted Resolve	{1}{U}		Instant		Counter target spell if its controller is poisoned.		
Darksteel Relic	{0}		Artifact		Indestructible (Effects that say 'destroy' don't destroy this artifact.)		
Death-Hood Cobra	{1}{G}		Creature	Snake	{1}{G}: Death-Hood Cobra gains reach until end of turn. (It can block creatures with flying.)|{1}{G}: Death-Hood Cobra gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)	2	2
Deceiver Exarch	{2}{U}		Creature	Cleric	Flash (You may cast this spell any time you could cast an instant.)|When Deceiver Exarch enters the battlefield, choose one - Untap target permanent you control; or tap target permanent an opponent controls.	1	4
Defensive Stance	{U}		Enchantment	Aura	Enchant creature|Enchanted creature gets -1/+1.		
Dementia Bat	{4}{B}		Creature	Bat	Flying|{4}{B}, Sacrifice Dementia Bat: Target player discards two cards.	2	2
Despise	{B}		Sorcery		Target opponent reveals his or her hand. You choose a creature or planeswalker card from it. That player discards that card.		
Dismember	{1}{B/P}{B/P}		Instant		({B/P} can be paid with either {B} or 2 life.)|Target creature gets -5/-5 until end of turn.		
Dispatch	{W}		Instant		Tap target creature.|Metalcraft - If you control three or more artifacts, exile that creature.		
Due Respect	{1}{W}		Instant		Permanents enter the battlefield tapped this turn.|Draw a card.		
