Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adarkar Wastes			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.		
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Anaba Shaman	{3}{R}		Creature	Minotaur,Shaman	{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.	2	2
Anaconda	{3}{G}		Creature	Snake	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Anarchist	{4}{R}		Creature	Human,Wizard	When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.	2	2
Ancient Silverback	{4}{G}{G}		Creature	Ape	{G}: Regenerate Ancient Silverback. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	6	5
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Blessing	{2}{W}		Sorcery		Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Angel's Feather	{2}		Artifact		Whenever a player casts a white spell, you may gain 1 life.		
Annex	{2}{U}{U}		Enchantment	Aura	Enchant land (Target a land as you cast this. This card enters the battlefield attached to that land.)|You control enchanted land.		
Archivist	{2}{U}{U}		Creature	Human,Wizard	{T}: Draw a card.	1	1
Aven Cloudchaser	{3}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Cloudchaser enters the battlefield, destroy target enchantment.	2	2
Aven Fisher	{3}{U}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Fisher dies, you may draw a card.	2	2
Aven Flock	{4}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|{W}: Aven Flock gets +0/+1 until end of turn.	2	3
Aven Windreader	{3}{U}{U}		Creature	Bird,Soldier,Wizard	Flying (This creature can't be blocked except by creatures with flying or reach.)|{1}{U}: Target player reveals the top card of his or her library.	3	3
Azure Drake	{3}{U}		Creature	Drake	Flying	2	4
Balduvian Barbarians	{1}{R}{R}		Creature	Human,Barbarian		3	2
Baleful Stare	{2}{U}		Sorcery		Target opponent reveals his or her hand. You draw a card for each Mountain and red card in it.		
Ballista Squad	{3}{W}		Creature	Human,Rebel	{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.	2	2
Battle of Wits	{3}{U}{U}		Enchantment		At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.		
Battlefield Forge			Land		{T}: Add {1} to your mana pool.|{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.		
Beast of Burden	{6}		Artifact,Creature	Golem	Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.	*	*
Biorhythm	{6}{G}{G}		Sorcery		Each player's life total becomes the number of creatures he or she controls.		
Blackmail	{B}		Sorcery		Target player reveals three cards from his or her hand and you choose one of them. That player discards that card.		
Blanchwood Armor	{2}{G}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +1/+1 for each Forest you control.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Blessed Orator	{3}{W}		Creature	Human,Cleric	Other creatures you control get +0/+1.	1	4
Blinding Angel	{3}{W}{W}		Creature	Angel	Flying (This creature can't be blocked except by creatures with flying or reach.)|Whenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.	2	4
Blinking Spirit	{3}{W}		Creature	Spirit	{0}: Return Blinking Spirit to its owner's hand.	2	2
Blood Moon	{2}{R}		Enchantment		Nonbasic lands are Mountains.		
Bloodfire Colossus	{6}{R}{R}		Creature	Giant	{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.	6	6
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Boiling Seas	{3}{R}		Sorcery		Destroy all Islands.		
Booby Trap	{6}		Artifact		As Booby Trap enters the battlefield, name a card other than a basic land card and choose an opponent.|The chosen player reveals each card he or she draws.|When the chosen player draws the named card, sacrifice Booby Trap. If you do, Booby Trap deals 10 damage to that player.		
Boomerang	{U}{U}		Instant		Return target permanent to its owner's hand.		
Bottle Gnomes	{3}		Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Brushland			Land		{T}: Add {1} to your mana pool.|{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.		
Caves of Koilos			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.		
Chastise	{3}{W}		Instant		Destroy target attacking creature. You gain life equal to its power.		
Circle of Protection: Black	{1}{W}		Enchantment		{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Red	{1}{W}		Enchantment		{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.		
Clone	{3}{U}		Creature	Shapeshifter	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	0	0
Coat of Arms	{5}		Artifact		Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)		
Coercion	{2}{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it. That player discards that card.		
Confiscate	{4}{U}{U}		Enchantment	Aura	Enchant permanent (Target a permanent as you cast this. This card enters the battlefield attached to that permanent.)|You control enchanted permanent.		
