Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abstruse Interference	{2}{U}	None	Instant	None	Devoid (This card has no color.)|Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has 'Sacrifice this creature: Add  to your mana pool.' ( represents colorless mana.)		
Affa Protector	{2}{W}	None	Creature	Human,Soldier,Ally	Vigilance	1	4
Akoum Flameseeker	{2}{R}	None	Creature	Human,Shaman,Ally	Cohort - {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.	3	2
Allied Reinforcements	{3}{W}	None	Sorcery	None	Create two 2/2 white Knight Ally creature tokens.		
Ancient Crab	{1}{U}{U}	None	Creature	Crab		1	5
Ayli, Eternal Pilgrim	{W}{B}	Legendary	Creature	Kor,Cleric	Deathtouch|{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.|{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate this ability only if you have at least 10 life more than your starting life total.	2	3
Baloth Null	{4}{B}{G}	None	Creature	Zombie,Beast	When Baloth Null enters the battlefield, return up to two target creature cards from your graveyard to your hand.	4	5
Baloth Pup	{1}{G}	None	Creature	Beast	Baloth Pup has trample as long as it has a +1/+1 counter on it.	3	1
Bearer of Silence	{1}{B}	None	Creature	Eldrazi	Devoid (This card has no color.)|When you cast Bearer of Silence, you may pay {1}. If you do, target opponent sacrifices a creature. ( represents colorless mana.)|Flying|Bearer of Silence can't block.	2	1
Birthing Hulk	{6}{G}	None	Creature	Eldrazi,Drone	Devoid (This card has no color.)|When Birthing Hulk enters the battlefield, create two 1/1 colorless Eldrazi Scion creature tokens. They have 'Sacrifice this creature: Add  to your mana pool.' ( represents colorless mana.)|{1}: Regenerate Birthing Hulk.	5	4
Blinding Drone	{1}{U}	None	Creature	Eldrazi,Drone	Devoid (This card has no color.)|, {T}: Tap target creature. ( represents colorless mana.)	1	3
Bonds of Mortality	{1}{G}	None	Enchantment	None	When Bonds of Mortality enters the battlefield, draw a card.|{G}: Creatures your opponents control lose hexproof and indestructible until end of turn.		
Bone Saw	{0}	None	Artifact	Equipment	Equipped creature gets +1/+0.|Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)		
Boulder Salvo	{4}{R}	None	Sorcery	None	Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)|Boulder Salvo deals 4 damage to target creature.		
Brute Strength	{1}{R}	None	Instant	None	Target creature gets +3/+1 and gains trample until end of turn.		
Call the Gatewatch	{2}{W}	None	Sorcery	None	Search your library for a planeswalker card, reveal it, and put it into your hand. Then shuffle your library.		
Canopy Gorger	{4}{G}{G}	None	Creature	Wurm		6	5
Captain's Claws	{2}	None	Artifact	Equipment	Equipped creature gets +1/+0.|Whenever equipped creature attacks, create a 1/1 white Kor Ally creature token that's tapped and attacking.|Equip {1}		
Chandra, Flamecaller	{4}{R}{R}	None	Planeswalker	Chandra	+1: Create two 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.|0: Discard all the cards in your hand, then draw that many cards plus one.|−X: Chandra, Flamecaller deals X damage to each creature.		
Chitinous Cloak	{3}	None	Artifact	Equipment	Equipped creature gets +2/+2 and has menace. (It can't be blocked except by two or more creatures.)|Equip {3}		
Cinder Barrens		None	Land	None	Cinder Barrens enters the battlefield tapped.|{T}: Add {B} or {R} to your mana pool.		
Cinder Hellion	{4}{R}	None	Creature	Hellion	Trample|When Cinder Hellion enters the battlefield, it deals 2 damage to target opponent.	4	4
Cliffhaven Vampire	{2}{W}{B}	None	Creature	Vampire,Warrior,Ally	Flying|Whenever you gain life, each opponent loses 1 life.	2	4
Comparative Analysis	{3}{U}	None	Instant	None	Surge {2}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)|Target player draws two cards.		
Consuming Sinkhole	{3}{R}	None	Instant	None	Devoid (This card has no color.)|Choose one -|• Exile target land creature.|• Consuming Sinkhole deals 4 damage to target player.		
Containment Membrane	{2}{U}	None	Enchantment	Aura	Surge {U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)|Enchant creature|Enchanted creature doesn't untap during its controller's untap step.		
