Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abandoned Outpost			Land		Abandoned Outpost enters the battlefield tapped.|{T}: Add {W} to your mana pool.|{T}, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.		
Aboshan, Cephalid Emperor	{4}{U}{U}	Legendary	Creature	Cephalid	Tap an untapped Cephalid you control: Tap target permanent.|{U}{U}{U}: Tap all creatures without flying.	3	3
Aboshan's Desire	{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.|Threshold - Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)		
Acceptable Losses	{3}{R}		Sorcery		As an additional cost to cast Acceptable Losses, discard a card at random.|Acceptable Losses deals 5 damage to target creature.		
Aegis of Honor	{W}		Enchantment		{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.		
Æther Burst	{1}{U}		Instant		Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Æther Burst in all graveyards as you cast Æther Burst.		
Afflict	{2}{B}		Instant		Target creature gets -1/-1 until end of turn.|Draw a card.		
Amugaba	{5}{U}{U}		Creature	Illusion	Flying|{2}{U}, Discard a card: Return Amugaba to its owner's hand.	6	6
Anarchist	{4}{R}		Creature	Human,Wizard	When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.	2	2
Ancestral Tribute	{5}{W}{W}		Sorcery		You gain 2 life for each card in your graveyard.|Flashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Angelic Wall	{1}{W}		Creature	Wall	Defender (This creature can't attack.)|Flying	0	4
Animal Boneyard	{2}{W}		Enchantment	Aura	Enchant land|Enchanted land has '{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.'		
Ashen Firebeast	{6}{R}{R}		Creature	Elemental,Beast	{1}{R}: Ashen Firebeast deals 1 damage to each creature without flying.	6	6
Atogatog	{W}{U}{B}{R}{G}	Legendary	Creature	Atog	Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power.	5	5
Aura Graft	{1}{U}		Instant		Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.		
Auramancer	{2}{W}		Creature	Human,Wizard	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.	2	2
Aven Archer	{3}{W}{W}		Creature	Bird,Soldier,Archer	Flying|{2}{W}, {T}: Aven Archer deals 2 damage to target attacking or blocking creature.	2	2
Aven Cloudchaser	{3}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Cloudchaser enters the battlefield, destroy target enchantment.	2	2
Aven Fisher	{3}{U}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Fisher dies, you may draw a card.	2	2
Aven Flock	{4}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|{W}: Aven Flock gets +0/+1 until end of turn.	2	3
Aven Shrine	{1}{W}{W}		Enchantment		Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.		
Aven Smokeweaver	{2}{U}{U}		Creature	Bird,Soldier	Flying, protection from red	2	3
Aven Windreader	{3}{U}{U}		Creature	Bird,Soldier,Wizard	Flying (This creature can't be blocked except by creatures with flying or reach.)|{1}{U}: Target player reveals the top card of his or her library.	3	3
Balancing Act	{2}{W}{W}		Sorcery		Each player chooses a number of permanents he or she controls equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.		
Balshan Beguiler	{2}{U}		Creature	Human,Wizard	Whenever Balshan Beguiler deals combat damage to a player, that player reveals the top two cards of his or her library. You choose one of those cards and put it into his or her graveyard.	1	1
Balshan Griffin	{3}{U}{U}		Creature	Griffin	Flying|{1}{U}, Discard a card: Return Balshan Griffin to its owner's hand.	3	2
Bamboozle	{2}{U}		Sorcery		Target player reveals the top four cards of his or her library. You choose two of those cards and put them into his or her graveyard. Put the rest on top of his or her library in any order.		
Barbarian Lunatic	{2}{R}		Creature	Human,Barbarian	{2}{R}, Sacrifice Barbarian Lunatic: Barbarian Lunatic deals 2 damage to target creature.	2	1
Barbarian Ring			Land		{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you.|Threshold - {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.		
Bash to Bits	{3}{R}		Instant		Destroy target artifact.|Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Battle of Wits	{3}{U}{U}		Enchantment		At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.		
Battle Strain	{1}{R}		Enchantment		Whenever a creature blocks, Battle Strain deals 1 damage to that creature's controller.		
Bearscape	{1}{G}{G}		Enchantment		{1}{G}, Exile two cards from your graveyard: Put a 2/2 green Bear creature token onto the battlefield.		
Beast Attack	{2}{G}{G}{G}		Instant		Put a 4/4 green Beast creature token onto the battlefield.|Flashback {2}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Beloved Chaplain	{1}{W}		Creature	Human,Cleric	Protection from creatures	1	1
Blazing Salvo	{R}		Instant		Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to him or her.		
Blessed Orator	{3}{W}		Creature	Human,Cleric	Other creatures you control get +0/+1.	1	4
Bloodcurdler	{1}{B}		Creature	Horror	Flying|At the beginning of your upkeep, put the top card of your library into your graveyard.|Threshold - As long as seven or more cards are in your graveyard, Bloodcurdler gets +1/+1 and has 'At the beginning of your end step, exile two cards from your graveyard.'	1	1
Bog Wreckage			Land		Bog Wreckage enters the battlefield tapped.|{T}: Add {B} to your mana pool.|{T}, Sacrifice Bog Wreckage: Add one mana of any color to your mana pool.		
Bomb Squad	{3}{R}		Creature	Dwarf	{T}: Put a fuse counter on target creature.|At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it.|Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.	1	1
Braids, Cabal Minion	{2}{B}{B}	Legendary	Creature	Human,Minion	At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land.	2	2
Buried Alive	{2}{B}		Sorcery		Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.		
Burning Sands	{3}{R}{R}		Enchantment		Whenever a creature dies, that creature's controller sacrifices a land.		
Cabal Inquisitor	{1}{B}		Creature	Human,Minion	Threshold - {1}{B}, {T}, Exile two cards from your graveyard: Target player discards a card. Activate this ability only any time you could cast a sorcery, and only if seven or more cards are in your graveyard.	1	1
Cabal Patriarch	{3}{B}{B}{B}	Legendary	Creature	Human,Wizard	{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.|{2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.	5	5
Cabal Pit			Land		{T}: Add {B} to your mana pool. Cabal Pit deals 1 damage to you.|Threshold - {B}, {T}, Sacrifice Cabal Pit: Target creature gets -2/-2 until end of turn. Activate this ability only if seven or more cards are in your graveyard.		
Cabal Shrine	{1}{B}{B}		Enchantment		Whenever a player casts a spell, that player discards X cards, where X is the number of cards in all graveyards with the same name as that spell.		
Call of the Herd	{2}{G}		Sorcery		Put a 3/3 green Elephant creature token onto the battlefield.|Flashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
