Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accursed Centaur	{B}		Creature	Zombie,Centaur	When Accursed Centaur enters the battlefield, sacrifice a creature.	2	2
Æther Charge	{4}{R}		Enchantment		Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.		
Aggravated Assault	{2}{R}		Enchantment		{3}{R}{R}: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate this ability only any time you could cast a sorcery.		
Airborne Aid	{3}{U}		Sorcery		Draw a card for each Bird on the battlefield.		
Airdrop Condor	{4}{R}		Creature	Bird	Flying|{1}{R}, Sacrifice a Goblin creature: Airdrop Condor deals damage equal to the sacrificed creature's power to target creature or player.	2	2
Akroma's Blessing	{2}{W}		Instant		Choose a color. Creatures you control gain protection from the chosen color until end of turn.|Cycling {W} ({W}, Discard this card: Draw a card.)		
Akroma's Vengeance	{4}{W}{W}		Sorcery		Destroy all artifacts, creatures, and enchantments.|Cycling {3} ({3}, Discard this card: Draw a card.)		
Ancestor's Prophet	{4}{W}		Creature	Human,Cleric	Tap five untapped Clerics you control: You gain 10 life.	1	5
Animal Magnetism	{4}{G}		Sorcery		Reveal the top five cards of your library. An opponent chooses a creature card from among them. Put that card onto the battlefield and the rest into your graveyard.		
Annex	{2}{U}{U}		Enchantment	Aura	Enchant land (Target a land as you cast this. This card enters the battlefield attached to that land.)|You control enchanted land.		
Anurid Murkdiver	{4}{B}{B}		Creature	Zombie,Frog,Beast	Swampwalk	4	3
Aphetto Alchemist	{1}{U}		Creature	Human,Wizard	{T}: Untap target artifact or creature.|Morph {U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	1	2
Aphetto Dredging	{3}{B}		Sorcery		Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.		
Aphetto Grifter	{2}{U}		Creature	Human,Wizard	Tap two untapped Wizards you control: Tap target permanent.	1	1
Aphetto Vulture	{4}{B}{B}		Creature	Zombie,Bird	Flying|When Aphetto Vulture dies, you may put target Zombie card from your graveyard on top of your library.	3	2
Arcanis the Omnipotent	{3}{U}{U}{U}	Legendary	Creature	Wizard	{T}: Draw three cards.|{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	3	4
Artificial Evolution	{U}		Instant		Change the text of target spell or permanent by replacing all instances of one creature type with another. The new creature type can't be Wall. (This effect lasts indefinitely.)		
Ascending Aven	{2}{U}{U}		Creature	Bird,Soldier	Flying|Ascending Aven can block only creatures with flying.|Morph {2}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	2
Astral Slide	{2}{W}		Enchantment		Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.		
Aura Extraction	{1}{W}		Instant		Put target enchantment on top of its owner's library.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Aurification	{2}{W}{W}		Enchantment		Whenever a creature deals damage to you, put a gold counter on it.|Each creature with a gold counter on it is a Wall in addition to its other creature types and has defender. (Those creatures can't attack.)|When Aurification leaves the battlefield, remove all gold counters from all creatures.		
Avarax	{3}{R}{R}		Creature	Beast	Haste|When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, and put it into your hand. If you do, shuffle your library.|{1}{R}: Avarax gets +1/+0 until end of turn.	3	3
Aven Brigadier	{3}{W}{W}{W}		Creature	Bird,Soldier	Flying|Other Bird creatures get +1/+1.|Other Soldier creatures get +1/+1.	3	5
Aven Fateshaper	{6}{U}		Creature	Bird,Wizard	Flying|When Aven Fateshaper enters the battlefield, look at the top four cards of your library, then put them back in any order.|{4}{U}: Look at the top four cards of your library, then put them back in any order.	4	5
Aven Soulgazer	{3}{W}{W}		Creature	Bird,Cleric	Flying|{2}{W}: Look at target face-down creature.	3	3
Backslide	{1}{U}		Instant		Turn target creature with morph face down.|Cycling {U} ({U}, Discard this card: Draw a card.)		
Barkhide Mauler	{4}{G}		Creature	Beast	Cycling {2} ({2}, Discard this card: Draw a card.)	4	4
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Battering Craghorn	{2}{R}{R}		Creature	Goat,Beast	First strike|Morph {1}{R}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	1
Battlefield Medic	{1}{W}		Creature	Human,Cleric	{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.	1	1
Biorhythm	{6}{G}{G}		Sorcery		Each player's life total becomes the number of creatures he or she controls.		
Birchlore Rangers	{G}		Creature	Elf,Druid	Tap two untapped Elves you control: Add one mana of any color to your mana pool.|Morph {G} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	1	1
Blackmail	{B}		Sorcery		Target player reveals three cards from his or her hand and you choose one of them. That player discards that card.		
Blatant Thievery	{4}{U}{U}{U}		Sorcery		For each opponent, gain control of target permanent that player controls. (This effect lasts indefinitely.)		
Blistering Firecat	{1}{R}{R}{R}		Creature	Elemental,Cat	Trample, haste|At the beginning of the end step, sacrifice Blistering Firecat.|Morph {R}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	7	1
Bloodline Shaman	{1}{G}		Creature	Elf,Wizard,Shaman	{T}: Choose a creature type. Reveal the top card of your library. If that card is a creature card of the chosen type, put it into your hand. Otherwise, put it into your graveyard.	1	1
Bloodstained Mire			Land		{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.		
Boneknitter	{1}{B}		Creature	Zombie,Cleric	{1}{B}: Regenerate target Zombie.|Morph {2}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	1	1
Break Open	{1}{R}		Instant		Turn target face-down creature an opponent controls face up.		
Brightstone Ritual	{R}		Instant		Add {R} to your mana pool for each Goblin on the battlefield.		
Broodhatch Nantuko	{1}{G}		Creature	Insect,Druid	Whenever Broodhatch Nantuko is dealt damage, you may put that many 1/1 green Insect creature tokens onto the battlefield.|Morph {2}{G} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	1	1
Butcher Orgg	{4}{R}{R}{R}		Creature	Orgg	You may assign Butcher Orgg's combat damage divided as you choose among defending player and/or any number of creatures he or she controls.	6	6
Cabal Archon	{2}{B}		Creature	Human,Cleric	{B}, Sacrifice a Cleric: Target player loses 2 life and you gain 2 life.	2	2
Cabal Executioner	{2}{B}{B}		Creature	Human,Cleric	Whenever Cabal Executioner deals combat damage to a player, that player sacrifices a creature.|Morph {3}{B}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	2	2
Cabal Slaver	{2}{B}		Creature	Human,Cleric	Whenever a Goblin deals combat damage to a player, that player discards a card.	2	1
Callous Oppressor	{1}{U}{U}		Creature	Cephalid	You may choose not to untap Callous Oppressor during your untap step.|As Callous Oppressor enters the battlefield, an opponent chooses a creature type.|{T}: Gain control of target creature that isn't of the chosen type for as long as Callous Oppressor remains tapped.	1	2
Catapult Master	{3}{W}{W}		Creature	Human,Soldier	Tap five untapped Soldiers you control: Exile target creature.	3	3
Catapult Squad	{1}{W}		Creature	Human,Soldier	Tap two untapped Soldiers you control: Catapult Squad deals 2 damage to target attacking or blocking creature.	2	1
Centaur Glade	{3}{G}{G}		Enchantment		{2}{G}{G}: Put a 3/3 green Centaur creature token onto the battlefield.		
Chain of Acid	{3}{G}		Sorcery		Destroy target noncreature permanent. Then that permanent's controller may copy this spell and may choose a new target for that copy.		
Chain of Plasma	{1}{R}		Instant		Chain of Plasma deals 3 damage to target creature or player. Then that player or that creature's controller may discard a card. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Chain of Silence	{1}{W}		Instant		Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Chain of Smog	{1}{B}		Sorcery		Target player discards two cards. That player may copy this spell and may choose a new target for that copy.		
Chain of Vapor	{U}		Instant		Return target nonland permanent to its owner's hand. Then that permanent's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Charging Slateback	{4}{R}		Creature	Beast	Charging Slateback can't block.|Morph {4}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	4	3
Choking Tethers	{3}{U}		Instant		Tap up to four target creatures.|Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)|When you cycle Choking Tethers, you may tap target creature.		
Circle of Solace	{3}{W}		Enchantment		As Circle of Solace enters the battlefield, choose a creature type.|{1}{W}: The next time a creature of the chosen type would deal damage to you this turn, prevent that damage.		
Clone	{3}{U}		Creature	Shapeshifter	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	0	0
Commando Raid	{2}{R}		Instant		Until end of turn, target creature you control gains 'When this creature deals combat damage to a player, you may have it deal damage equal to its power to target creature that player controls.'		
Complicate	{2}{U}		Instant		Counter target spell unless its controller pays {3}.|Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)|When you cycle Complicate, you may counter target spell unless its controller pays {1}.		
Contested Cliffs			Land		{T}: Add {1} to your mana pool.|{R}{G}, {T}: Target Beast creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)		
Convalescent Care	{1}{W}{W}		Enchantment		At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.		
Cover of Darkness	{1}{B}		Enchantment		As Cover of Darkness enters the battlefield, choose a creature type.|Creatures of the chosen type have fear. (They can't be blocked except by artifact creatures and/or black creatures.)		
Crafty Pathmage	{2}{U}		Creature	Human,Wizard	{T}: Target creature with power 2 or less can't be blocked this turn.	1	1
Crowd Favorites	{6}{W}		Creature	Human,Soldier	{3}{W}: Tap target creature.|{3}{W}: Crowd Favorites gets +0/+5 until end of turn.	4	4
Crown of Ascension	{1}{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.|Sacrifice Crown of Ascension: Enchanted creature and other creatures that share a creature type with it gain flying until end of turn.		
Crown of Awe	{1}{W}		Enchantment	Aura	Enchant creature|Enchanted creature has protection from black and from red.|Sacrifice Crown of Awe: Enchanted creature and other creatures that share a creature type with it gain protection from black and from red until end of turn.		
Crown of Fury	{1}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+0 and has first strike.|Sacrifice Crown of Fury: Enchanted creature and other creatures that share a creature type with it get +1/+0 and gain first strike until end of turn.		
Crown of Suspicion	{1}{B}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/-1.|Sacrifice Crown of Suspicion: Enchanted creature and other creatures that share a creature type with it get +2/-1 until end of turn.		
Crown of Vigor	{1}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1.|Sacrifice Crown of Vigor: Enchanted creature and other creatures that share a creature type with it get +1/+1 until end of turn.		
Crude Rampart	{3}{W}		Creature	Wall	Defender (This creature can't attack.)|Morph {4}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	4	5
Cruel Revival	{4}{B}		Instant		Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.		
Cryptic Gateway	{5}		Artifact		Tap two untapped creatures you control: You may put a creature card from your hand that shares a creature type with each creature tapped this way onto the battlefield.		
