Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aeon Chronicler	{3}{U}{U}		Creature	Avatar	Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.|Suspend X-{X}{3}{U}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)|Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.	*	*
Æther Membrane	{1}{R}{R}		Creature	Wall	Defender; reach (This creature can block creatures with flying.)|Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.	0	5
Akroma, Angel of Fury	{5}{R}{R}{R}	Legendary	Creature	Angel	Akroma, Angel of Fury can't be countered.|Flying, trample, protection from white and from blue|{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.|Morph {3}{R}{R}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	6	6
Ana Battlemage	{2}{G}		Creature	Human,Wizard	Kicker {2}{U} and/or {1}{B} (You may pay an additional {2}{U} and/or {1}{B} as you cast this spell.)|When Ana Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, target player discards three cards.|When Ana Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, tap target untapped creature and that creature deals damage equal to its power to its controller.	2	2
Aquamorph Entity	{2}{U}{U}		Creature	Shapeshifter	As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.|Morph {2}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	*	*
Auramancer's Guise	{2}{U}{U}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 for each Aura attached to it and has vigilance.		
Aven Riftwatcher	{2}{W}		Creature	Bird,Rebel,Soldier	Flying|Vanishing 3 (This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)|When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.	2	3
Battering Sliver	{5}{R}		Creature	Sliver	All Sliver creatures have trample.	4	4
Benalish Commander	{3}{W}		Creature	Human,Soldier	Benalish Commander's power and toughness are each equal to the number of Soldiers you control.|Suspend X-{X}{W}{W}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{W}{W} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)|Whenever a time counter is removed from Benalish Commander while it's exiled, put a 1/1 white Soldier creature token onto the battlefield.	*	*
Big Game Hunter	{1}{B}{B}		Creature	Human,Rebel,Assassin	When Big Game Hunter enters the battlefield, destroy target creature with power 4 or greater. It can't be regenerated.|Madness {B} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	1	1
