Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akroma's Vengeance	{4}{W}{W}		Sorcery		Destroy all artifacts, creatures, and enchantments.|Cycling {3} ({3}, Discard this card: Draw a card.)		
Ancient Den			Artifact,Land		(Ancient Den isn't a spell.)|{T}: Add {W} to your mana pool.		
Arc Lightning	{2}{R}		Sorcery		Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.		
Arcbound Crusher	{4}		Artifact,Creature	Juggernaut	Trample|Whenever another artifact enters the battlefield, put a +1/+1 counter on Arcbound Crusher.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Slith	{2}		Artifact,Creature	Slith	Whenever Arcbound Slith deals combat damage to a player, put a +1/+1 counter on it.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arsenal Thresher	{2}{W/B}{U}		Artifact,Creature	Construct	As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.	2	2
Ascendant Evincar	{4}{B}{B}	Legendary	Creature	Vampire	Flying (This creature can't be blocked except by creatures with flying or reach.)|Other black creatures get +1/+1.|Nonblack creatures get -1/-1.	3	3
Assault // Battery (Assault)	{R}		Sorcery		Assault deals 2 damage to target creature or player.|		
Balefire Liege	{2}{R/W}{R/W}{R/W}		Creature	Spirit,Horror	Other red creatures you control get +1/+1.|Other white creatures you control get +1/+1.|Whenever you cast a red spell, Balefire Liege deals 3 damage to target player.|Whenever you cast a white spell, you gain 3 life.	2	4
Assault // Battery (Battery)	{3}{G}		Sorcery		Put a 3/3 green Elephant creature token onto the battlefield.		
Battlegate Mimic	{1}{R/W}		Creature	Shapeshifter	Whenever you cast a spell that's both red and white, Battlegate Mimic becomes 4/2 and gains first strike until end of turn.	2	1
Beacon of Unrest	{3}{B}{B}		Sorcery		Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.		
Beast Hunt	{3}{G}		Sorcery		Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.		
Beseech the Queen			Sorcery		( can be paid with any two mana or with {B}. This card's converted mana cost is 6.)|Search your library for a card with converted mana cost less than or equal to the number of lands you control, reveal it, and put it into your hand. Then shuffle your library.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Bogardan Firefiend	{2}{R}		Creature	Elemental,Spirit	When Bogardan Firefiend dies, it deals 2 damage to target creature.	2	1
Bogardan Rager	{5}{R}		Creature	Elemental	Flash (You may cast this spell any time you could cast an instant.)|When Bogardan Rager enters the battlefield, target creature gets +4/+0 until end of turn.	3	4
Boros Garrison			Land		Boros Garrison enters the battlefield tapped.|When Boros Garrison enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{W} to your mana pool.		
Boros Guildmage	{R/W}{R/W}		Creature	Human,Wizard	{1}{R}: Target creature gains haste until end of turn.|{1}{W}: Target creature gains first strike until end of turn.	2	2
Boros Signet	{2}		Artifact		{1}, {T}: Add {R}{W} to your mana pool.		
Boros Swiftblade	{R}{W}		Creature	Human,Soldier	Double strike	1	2
Bosh, Iron Golem	{8}	Legendary	Artifact,Creature	Golem	Trample|{3}{R}, Sacrifice an artifact: Bosh, Iron Golem deals damage equal to the sacrificed artifact's converted mana cost to target creature or player.	6	7
Branching Bolt	{1}{R}{G}		Instant		Choose one or both - Branching Bolt deals 3 damage to target creature with flying; and/or Branching Bolt deals 3 damage to target creature without flying.		
Briarhorn	{3}{G}		Creature	Elemental	Flash|When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.|Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	3	3
Broodstar	{8}{U}{U}		Creature	Beast	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)|Flying|Broodstar's power and toughness are each equal to the number of artifacts you control.	*	*
Browbeat	{2}{R}		Sorcery		Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.		
Bull Cerodon	{4}{R}{W}		Creature	Beast	Vigilance, haste	5	5
Cabal Coffers			Land		{2}, {T}: Add {B} to your mana pool for each Swamp you control.		
