Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Arc Trail	{1}{R}		Sorcery		Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.		
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Armored Griffin	{3}{W}		Creature	Griffin	Flying, vigilance	2	3
Assassinate	{2}{B}		Sorcery		Destroy target tapped creature.		
Augury Owl	{1}{U}		Creature	Bird	Flying|When Augury Owl enters the battlefield, scry 3. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)	1	1
Aura Gnarlid	{2}{G}		Creature	Beast	Creatures with power less than Aura Gnarlid's power can't block it.|Aura Gnarlid gets +1/+1 for each Aura on the battlefield.	2	2
Auramancer	{2}{W}		Creature	Human,Wizard	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.	2	2
Auratouched Mage	{5}{W}		Creature	Human,Wizard	When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.	3	3
Awakening Zone	{2}{G}		Enchantment		At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has 'Sacrifice this creature: Add {1} to your mana pool.'		
Baleful Strix	{U}{B}		Artifact,Creature	Bird	Flying, deathtouch|When Baleful Strix enters the battlefield, draw a card.	1	1
Beast Within	{2}{G}		Instant		Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.		
Beetleback Chief	{2}{R}{R}		Creature	Goblin,Warrior	When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.	2	2
Bituminous Blast	{3}{B}{R}		Instant		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|Bituminous Blast deals 4 damage to target creature.		
Bloodbraid Elf	{2}{R}{G}		Creature	Elf,Berserker	Haste|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	3	2
Boar Umbra	{2}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+3.|Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)		
Bramble Elemental	{3}{G}{G}		Creature	Elemental	Whenever an Aura becomes attached to Bramble Elemental, put two 1/1 green Saproling creature tokens onto the battlefield.	4	4
Brindle Shoat	{1}{G}		Creature	Boar	When Brindle Shoat dies, put a 3/3 green Boar creature token onto the battlefield.	1	1
