Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Allied Strategies	{4}{U}		Sorcery		Domain - Target player draws a card for each basic land type among lands he or she controls.		
Alpha Kavu	{2}{G}		Creature	Kavu	{1}{G}: Target Kavu creature gets -1/+1 until end of turn.	2	2
Amphibious Kavu	{2}{G}		Creature	Kavu	Whenever Amphibious Kavu blocks or becomes blocked by one or more blue and/or black creatures, Amphibious Kavu gets +3/+3 until end of turn.	2	2
Ancient Spider	{2}{G}{W}		Creature	Spider	First strike; reach (This creature can block creatures with flying.)	2	5
Arctic Merfolk	{1}{U}		Creature	Merfolk	Kicker-Return a creature you control to its owner's hand. (You may return a creature you control to its owner's hand in addition to any other costs as you cast this spell.)|If Arctic Merfolk was kicked, it enters the battlefield with a +1/+1 counter on it.	1	1
Aura Blast	{1}{W}		Instant		Destroy target enchantment.|Draw a card.		
Aurora Griffin	{3}{W}		Creature	Griffin	Flying|{W}: Target permanent becomes white until end of turn.	2	2
Bog Down	{2}{B}		Sorcery		Kicker-Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)|Target player discards two cards. If Bog Down was kicked, that player discards three cards instead.		
Caldera Kavu	{2}{R}		Creature	Kavu	{1}{B}: Caldera Kavu gets +1/+1 until end of turn.|{G}: Caldera Kavu becomes the color of your choice until end of turn.	2	2
Cavern Harpy	{U}{B}		Creature	Harpy,Beast	Flying|When Cavern Harpy enters the battlefield, return a blue or black creature you control to its owner's hand.|Pay 1 life: Return Cavern Harpy to its owner's hand.	2	1
Cloud Cover	{2}{W}{U}		Enchantment		Whenever another permanent you control becomes the target of a spell or ability an opponent controls, you may return that permanent to its owner's hand.		
Confound	{1}{U}		Instant		Counter target spell that targets one or more creatures.||Draw a card.		
Crosis's Catacombs			Land	Lair	When Crosis's Catacombs enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.|{T}: Add {U}, {B}, or {R} to your mana pool.		
Crosis's Charm	{U}{B}{R}		Instant		Choose one - Return target permanent to its owner's hand; or destroy target nonblack creature, and it can't be regenerated; or destroy target artifact.		
Darigaaz's Caldera			Land	Lair	When Darigaaz's Caldera enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.|{T}: Add {B}, {R}, or {G} to your mana pool.		
