Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Nightstalker	{3}{B}		Creature	Nightstalker	Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.	2	2
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Alaborn Cavalier	{2}{W}{W}		Creature	Human,Knight	Whenever Alaborn Cavalier attacks, you may tap target creature.	2	2
Alaborn Grenadier	{W}{W}		Creature	Human,Soldier	Vigilance	2	2
Alaborn Musketeer	{1}{W}		Creature	Human,Soldier	Reach (This creature can block creatures with flying.)	2	1
Alaborn Trooper	{2}{W}		Creature	Human,Soldier		2	3
Alaborn Veteran	{2}{W}		Creature	Human,Knight	{T}: Target creature gets +2/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.	2	2
Alaborn Zealot	{W}		Creature	Human,Soldier	When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.	1	1
Alluring Scent	{1}{G}{G}		Sorcery		All creatures able to block target creature this turn do so.		
Ancient Craving	{3}{B}		Sorcery		You draw three cards and you lose 3 life.		
Angel of Fury	{4}{W}{W}		Creature	Angel	Flying|When Angel of Fury is put into your graveyard from the battlefield, you may shuffle it into your library.	3	5
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Blessing	{2}{W}		Sorcery		Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Angelic Wall	{1}{W}		Creature	Wall	Defender (This creature can't attack.)|Flying	0	4
Apprentice Sorcerer	{2}{U}		Creature	Human,Wizard	{T}: Apprentice Sorcerer deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.	1	1
Archangel	{5}{W}{W}		Creature	Angel	Flying, vigilance	5	5
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Armored Galleon	{4}{U}		Creature	Human,Pirate	Armored Galleon can't attack unless defending player controls an Island.	5	4
Armored Griffin	{3}{W}		Creature	Griffin	Flying, vigilance	2	3
Barbtooth Wurm	{5}{G}		Creature	Wurm		6	4
Bargain	{2}{W}		Sorcery		Target opponent draws a card.|You gain 7 life.		
Bear Cub	{1}{G}		Creature	Bear		2	2
Bee Sting	{3}{G}		Sorcery		Bee Sting deals 2 damage to target creature or player.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Bloodcurdling Scream	{X}{B}		Sorcery		Target creature gets +X/+0 until end of turn.		
Breath of Life	{3}{W}		Sorcery		Return target creature card from your graveyard to the battlefield.		
Brimstone Dragon	{6}{R}{R}		Creature	Dragon	Flying, haste	6	6
