Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Alert Shu Infantry	{2}{W}		Creature	Human,Soldier	Vigilance	2	2
Ambition's Cost	{3}{B}		Sorcery		You draw three cards and you lose 3 life.		
Balance of Power	{3}{U}{U}		Sorcery		If target opponent has more cards in hand than you, draw cards equal to the difference.		
Barbarian General	{4}{R}		Creature	Human,Barbarian,Soldier	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)	3	2
Barbarian Horde	{3}{R}		Creature	Human,Barbarian,Soldier		3	3
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Borrowing 100,000 Arrows	{2}{U}		Sorcery		Draw a card for each tapped creature target opponent controls.		
Borrowing the East Wind	{X}{G}{G}		Sorcery		Borrowing the East Wind deals X damage to each creature with horsemanship and each player.		
Brilliant Plan	{4}{U}		Sorcery		Draw three cards.		
Broken Dam	{U}		Sorcery		Tap one or two target creatures without horsemanship.		
Burning Fields	{4}{R}		Sorcery		Burning Fields deals 5 damage to target opponent.		
Burning of Xinye	{4}{R}{R}		Sorcery		Choose four lands you control and destroy those lands. Then target opponent chooses four lands he or she controls. Destroy those lands. Then Burning of Xinye deals 4 damage to each creature.		
Cao Cao, Lord of Wei	{3}{B}{B}	Legendary	Creature	Human,Soldier	{T}: Target opponent discards two cards. Activate this ability only during your turn, before attackers are declared.	3	3
Cao Ren, Wei Commander	{2}{B}{B}	Legendary	Creature	Human,Soldier,Warrior	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)|When Cao Ren, Wei Commander enters the battlefield, you lose 3 life.	3	3
Capture of Jingzhou	{3}{U}{U}		Sorcery		Take an extra turn after this one.		
Champion's Victory	{U}		Instant		Cast Champion's Victory only during the declare attackers step and only if you've been attacked this step.|Return target attacking creature to its owner's hand.		
Coercion	{2}{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it. That player discards that card.		
Control of the Court	{1}{R}		Sorcery		Draw four cards, then discard three cards at random.		
Corrupt Court Official	{1}{B}		Creature	Human,Advisor	When Corrupt Court Official enters the battlefield, target opponent discards a card.	1	1
Corrupt Eunuchs	{3}{R}		Creature	Human,Advisor	When Corrupt Eunuchs enters the battlefield, it deals 2 damage to target creature.	2	2
Council of Advisors	{2}{U}		Creature	Human,Advisor	When Council of Advisors enters the battlefield, draw a card.	1	1
Counterintelligence	{2}{U}{U}		Sorcery		Return one or two target creatures to their owners' hands.		
Cunning Advisor	{3}{B}		Creature	Human,Advisor	{T}: Target opponent discards a card. Activate this ability only during your turn, before attackers are declared.	1	1
Deception	{2}{B}		Sorcery		Target opponent discards two cards.		
Desert Sandstorm	{2}{R}		Sorcery		Desert Sandstorm deals 1 damage to each creature.		
Desperate Charge	{2}{B}		Sorcery		Creatures you control get +2/+0 until end of turn.		
Diaochan, Artful Beauty	{3}{R}	Legendary	Creature	Human,Advisor	{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate this ability only during your turn, before attackers are declared.	1	1
Dong Zhou, the Tyrant	{4}{R}	Legendary	Creature	Human,Soldier	When Dong Zhou, the Tyrant enters the battlefield, target creature an opponent controls deals damage equal to its power to that player.	3	3
Eightfold Maze	{2}{W}		Instant		Cast Eightfold Maze only during the declare attackers step and only if you've been attacked this step.|Destroy target attacking creature.		
Empty City Ruse	{W}		Sorcery		Target opponent skips all combat phases of his or her next turn.		
Eunuchs' Intrigues	{2}{R}		Sorcery		Target opponent chooses a creature he or she controls. Other creatures he or she controls can't block this turn.		
Exhaustion	{2}{U}		Sorcery		Creatures and lands target opponent controls don't untap during his or her next untap step.		
Extinguish	{1}{U}		Instant		Counter target sorcery spell.		
False Defeat	{3}{W}		Sorcery		Return target creature card from your graveyard to the battlefield.		
False Mourning	{G}		Sorcery		Put target card from your graveyard on top of your library.		
Famine	{3}{B}{B}		Sorcery		Famine deals 3 damage to each creature and each player.		
Fire Ambush	{1}{R}		Sorcery		Fire Ambush deals 3 damage to target creature or player.		
Fire Bowman	{R}		Creature	Human,Soldier,Archer	Sacrifice Fire Bowman: Fire Bowman deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.	1	1
Flanking Troops	{2}{W}{W}		Creature	Human,Soldier	Whenever Flanking Troops attacks, you may tap target creature.	2	2
Forced Retreat	{2}{U}		Sorcery		Put target creature on top of its owner's library.		
Forest		Basic	Land	Forest	G		
Forest Bear	{1}{G}		Creature	Bear		2	2
Ghostly Visit	{2}{B}		Sorcery		Destroy target nonblack creature.		
Guan Yu, Sainted Warrior	{3}{W}{W}	Legendary	Creature	Human,Soldier,Warrior	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)|When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.	3	5
Guan Yu's 1,000-Li March	{4}{W}{W}		Sorcery		Destroy all tapped creatures.		
Heavy Fog	{1}{G}		Instant		Cast Heavy Fog only during the declare attackers step and only if you've been attacked this step.|Prevent all damage that would be dealt to you this turn by attacking creatures.		
Hua Tuo, Honored Physician	{1}{G}{G}	Legendary	Creature	Human	{T}: Put target creature card from your graveyard on top of your library. Activate this ability only during your turn, before attackers are declared.	1	2
Huang Zhong, Shu General	{2}{W}{W}	Legendary	Creature	Human,Soldier	Huang Zhong, Shu General can't be blocked by more than one creature.	2	3
Hunting Cheetah	{2}{G}		Creature	Cat	Whenever Hunting Cheetah deals damage to an opponent, you may search your library for a Forest card, reveal that card, put it into your hand, then shuffle your library.	2	3
Imperial Edict	{1}{B}		Sorcery		Target opponent chooses a creature he or she controls. Destroy it.		
Imperial Recruiter	{2}{R}		Creature	Human,Advisor	When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, and put it into your hand. Then shuffle your library.	1	1
Imperial Seal	{B}		Sorcery		Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.		
Independent Troops	{1}{R}		Creature	Human,Soldier		2	1
Island		Basic	Land	Island	U		
Kongming, 'Sleeping Dragon'	{2}{W}{W}	Legendary	Creature	Human,Advisor	Other creatures you control get +1/+1.	2	2
Kongming's Contraptions	{3}{W}		Creature	Human,Soldier	{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate this ability only during the declare attackers step and only if you've been attacked this step.	2	4
Lady Sun	{1}{U}{U}	Legendary	Creature	Human,Advisor	{T}: Return Lady Sun and another target creature to their owners' hands. Activate this ability only during your turn, before attackers are declared.	1	1
Lady Zhurong, Warrior Queen	{4}{G}	Legendary	Creature	Human,Soldier,Warrior	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)	4	3
Liu Bei, Lord of Shu	{3}{W}{W}	Legendary	Creature	Human,Soldier	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)|Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.	2	4
Lone Wolf	{2}{G}		Creature	Wolf	You may have Lone Wolf assign its combat damage as though it weren't blocked.	2	2
