Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ball Lightning	{R}{R}{R}		Creature	Elemental	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)|Haste (This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Ball Lightning.	6	1
Barbarian Ring			Land		{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you.|Threshold - {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.		
Boggart Ram-Gang	{R/G}{R/G}{R/G}		Creature	Goblin,Warrior	Haste|Wither (This deals damage to creatures in the form of -1/-1 counters.)	3	3
Browbeat	{2}{R}		Sorcery		Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.		
Chain Lightning	{R}		Sorcery		Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Cinder Pyromancer	{2}{R}		Creature	Elemental,Shaman	{T}: Cinder Pyromancer deals 1 damage to target player.|Whenever you cast a red spell, you may untap Cinder Pyromancer.	0	1
Figure of Destiny	{R/W}		Creature	Kithkin	{R/W}: Figure of Destiny becomes a 2/2 Kithkin Spirit.|{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a 4/4 Kithkin Spirit Warrior.|{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes an 8/8 Kithkin Spirit Warrior Avatar with flying and first strike.	1	1
Fire Servant	{3}{R}{R}		Creature	Elemental	If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.	4	3
Fireball	{X}{R}		Sorcery		Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.|Fireball costs {1} more to cast for each target beyond the first.		
Fireblast	{4}{R}{R}		Instant		You may sacrifice two Mountains rather than pay Fireblast's mana cost.|Fireblast deals 4 damage to target creature or player.		
Flames of the Blood Hand	{2}{R}		Instant		Flames of the Blood Hand deals 4 damage to target player. The damage can't be prevented. If that player would gain life this turn, that player gains no life instead.		
Ghitu Encampment			Land		Ghitu Encampment enters the battlefield tapped.|{T}: Add {R} to your mana pool.|{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)		
Grim Lavamancer	{R}		Creature	Human,Wizard	{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to target creature or player.	1	1
Hammer of Bogardan	{1}{R}{R}		Sorcery		Hammer of Bogardan deals 3 damage to target creature or player.|{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate this ability only during your upkeep.		
Hellspark Elemental	{1}{R}		Creature	Elemental	Trample, haste|At the beginning of the end step, sacrifice Hellspark Elemental.|Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	3	1
Jackal Pup	{R}		Creature	Hound	Whenever Jackal Pup is dealt damage, it deals that much damage to you.	2	1
Jaya Ballard, Task Mage	{1}{R}{R}	Legendary	Creature	Human,Spellshaper	{R}, {T}, Discard a card: Destroy target blue permanent.|{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.|{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player.	2	2
Keldon Champion	{2}{R}{R}		Creature	Human,Barbarian	Haste|Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Keldon Champion enters the battlefield, it deals 3 damage to target player.	3	2
Keldon Marauders	{1}{R}		Creature	Human,Warrior	Vanishing 2 (This permanent enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)|When Keldon Marauders enters the battlefield or leaves the battlefield, it deals 1 damage to target player.	3	3
Lightning Bolt	{R}		Instant		Lightning Bolt deals 3 damage to target creature or player.		
Mogg Fanatic	{R}		Creature	Goblin	Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.	1	1
Mogg Flunkies	{1}{R}		Creature	Goblin	Mogg Flunkies can't attack or block alone.	3	3
Mountain		Basic	Land	Mountain	R		
Pillage	{1}{R}{R}		Sorcery		Destroy target artifact or land. It can't be regenerated.		
Price of Progress	{1}{R}		Instant		Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.		
Reverberate	{R}{R}		Instant		Copy target instant or sorcery spell. You may choose new targets for the copy.		
Spark Elemental	{R}		Creature	Elemental	Trample, haste (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker. This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Spark Elemental.	3	1
Sudden Impact	{3}{R}		Instant		Sudden Impact deals damage to target player equal to the number of cards in that player's hand.		
Teetering Peaks			Land		Teetering Peaks enters the battlefield tapped.|When Teetering Peaks enters the battlefield, target creature gets +2/+0 until end of turn.|{T}: Add {R} to your mana pool.		
Thunderbolt	{1}{R}		Instant		Choose one - Thunderbolt deals 3 damage to target player; or Thunderbolt deals 4 damage to target creature with flying.		
Vulshok Sorcerer	{1}{R}{R}		Creature	Human,Shaman	Haste|{T}: Vulshok Sorcerer deals 1 damage to target creature or player.	1	1
