Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Arena			Land		{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. (Each deals damage equal to its power to the other.)		
Avatar of Hope	{6}{W}{W}		Creature	Avatar	If you have 3 or less life, Avatar of Hope costs {6} less to cast.|Flying|Avatar of Hope can block any number of creatures.	4	9
Beast of Burden	{6}		Artifact,Creature	Golem	Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.	*	*
Dirtcowl Wurm	{4}{G}		Creature	Wurm	Whenever an opponent plays a land, put a +1/+1 counter on Dirtcowl Wurm.	3	4
False Prophet	{2}{W}{W}		Creature	Human,Cleric	When False Prophet dies, exile all creatures.	2	2
Feral Throwback	{4}{G}{G}		Creature	Beast	Amplify 2 (As this creature enters the battlefield, put two +1/+1 counters on it for each Beast card you reveal in your hand.)|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able.)	3	3
Fungal Shambler	{4}{G}{U}{B}		Creature	Fungus,Beast	Trample|Whenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card.	6	4
Giant Badger	{1}{G}{G}		Creature	Badger	Whenever Giant Badger blocks, it gets +2/+2 until end of turn.	2	2
Glory	{3}{W}{W}		Creature	Incarnation	Flying|{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.	3	3
Helm of Kaldra	{3}	Legendary	Artifact	Equipment	Equipped creature has first strike, trample, and haste.|{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.|Equip {2}		
Laquatus's Champion	{4}{B}{B}		Creature	Nightmare,Horror	When Laquatus's Champion enters the battlefield, target player loses 6 life.|When Laquatus's Champion leaves the battlefield, that player gains 6 life.|{B}: Regenerate Laquatus's Champion.	6	3
Lightning Dragon	{2}{R}{R}		Creature	Dragon	Flying|Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|{R}: Lightning Dragon gets +1/+0 until end of turn.	4	4
Mana Crypt	{0}		Artifact		At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.|{T}: Add {2} to your mana pool.		
Monstrous Hound	{3}{R}		Creature	Hound	Monstrous Hound can't attack unless you control more lands than defending player.|Monstrous Hound can't block unless you control more lands than attacking player.	4	4
Nalathni Dragon	{2}{R}{R}		Creature	Dragon	Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|{R}: Nalathni Dragon gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Nalathni Dragon at the beginning of the next end step.	1	1
Overtaker	{1}{U}		Creature	Merfolk,Spellshaper	{3}{U}, {T}, Discard a card: Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.	1	1
Questing Phelddagrif	{1}{G}{W}{U}		Creature	Phelddagrif	{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent puts a 1/1 green Hippo creature token onto the battlefield.|{W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life.|{U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.	4	4
Raging Kavu	{1}{R}{G}		Creature	Kavu	Flash|Haste	3	1
Rathi Assassin	{2}{B}{B}		Creature	Zombie,Mercenary,Assassin	{1}{B}{B}, {T}: Destroy target tapped nonblack creature.|{3}, {T}: Search your library for a Mercenary permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.	2	2
Revenant	{4}{B}		Creature	Spirit	Flying|Revenant's power and toughness are each equal to the number of creature cards in your graveyard.	*	*
Ryusei, the Falling Star	{5}{R}	Legendary	Creature	Dragon,Spirit	Flying|When Ryusei, the Falling Star dies, it deals 5 damage to each creature without flying.	5	5
Sewers of Estark	{2}{B}{B}		Instant		Choose target creature. If it's attacking, it can't be blocked this turn. If it's blocking, prevent all combat damage that would be dealt this combat by it and each creature it's blocking.		
Shield of Kaldra	{4}	Legendary	Artifact	Equipment	Equipment named Sword of Kaldra, Shield of Kaldra, and Helm of Kaldra have indestructible.|Equipped creature has indestructible. (Damage and effects that say 'destroy' don't destroy it.)|Equip {4}		
Silent Specter	{4}{B}{B}		Creature	Specter	Flying|Whenever Silent Specter deals combat damage to a player, that player discards two cards.|Morph {3}{B}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	4	4
Soul Collector	{3}{B}{B}		Creature	Vampire	Flying|Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control.|Morph {B}{B}{B} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	4
Sword of Kaldra	{4}	Legendary	Artifact	Equipment	Equipped creature gets +5/+5.|Whenever equipped creature deals damage to a creature, exile that creature.|Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)		
Windseeker Centaur	{1}{R}{R}		Creature	Centaur	Vigilance	2	2
