Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abolish	{1}{W}{W}		Instant		You may discard a Plains card rather than pay Abolish's mana cost.|Destroy target artifact or enchantment.		
Agent of Shauku	{1}{B}		Creature	Human,Mercenary	{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.	1	1
Alexi, Zephyr Mage	{3}{U}{U}	Legendary	Creature	Human,Spellshaper	{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.	3	3
Alexi's Cloak	{1}{U}		Enchantment	Aura	Flash|Enchant creature|Enchanted creature has shroud. (It can't be the target of spells or abilities.)		
Aura Fracture	{2}{W}		Enchantment		Sacrifice a land: Destroy target enchantment.		
Avatar of Fury	{6}{R}{R}		Creature	Avatar	If an opponent controls seven or more lands, Avatar of Fury costs {6} less to cast.|Flying|{R}: Avatar of Fury gets +1/+0 until end of turn.	6	6
Avatar of Hope	{6}{W}{W}		Creature	Avatar	If you have 3 or less life, Avatar of Hope costs {6} less to cast.|Flying|Avatar of Hope can block any number of creatures.	4	9
Avatar of Might	{6}{G}{G}		Creature	Avatar	If an opponent controls at least four more creatures than you, Avatar of Might costs {6} less to cast.|Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	8	8
Avatar of Will	{6}{U}{U}		Creature	Avatar	If an opponent has no cards in hand, Avatar of Will costs {6} less to cast.|Flying	5	6
Avatar of Woe	{6}{B}{B}		Creature	Avatar	If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.|Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|{T}: Destroy target creature. It can't be regenerated.	6	5
Barbed Field	{2}{R}{R}		Enchantment	Aura	Enchant land|Enchanted land has '{T}: This land deals 1 damage to target creature or player.'		
Blessed Wind	{7}{W}{W}		Sorcery		Target player's life total becomes 20.		
Bog Elemental	{3}{B}{B}		Creature	Elemental	Protection from white|At the beginning of your upkeep, sacrifice Bog Elemental unless you sacrifice a land.	5	4
Bog Glider	{2}{B}		Creature	Human,Mercenary	Flying|{T}, Sacrifice a land: Search your library for a Mercenary permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.	1	1
Branded Brawlers	{R}		Creature	Human,Soldier	Branded Brawlers can't attack if defending player controls an untapped land.|Branded Brawlers can't block if you control an untapped land.	2	2
Brutal Suppression	{R}		Enchantment		Activated abilities of nontoken Rebels cost an additional 'Sacrifice a land' to activate.		
Calming Verse	{3}{G}		Sorcery		Destroy all enchantments you don't control. Then, if you control an untapped land, destroy all enchantments you control.		
Celestial Convergence	{2}{W}{W}		Enchantment		Celestial Convergence enters the battlefield with seven omen counters on it.|At the beginning of your upkeep, remove an omen counter from Celestial Convergence. If there are no omen counters on Celestial Convergence, the player with the highest life total wins the game. If two or more players are tied for highest life total, the game is a draw.		
Chilling Apparition	{2}{B}		Creature	Spirit	{B}: Regenerate Chilling Apparition.|Whenever Chilling Apparition deals combat damage to a player, that player discards a card.	1	1
Chimeric Idol	{3}		Artifact		{0}: Tap all lands you control. Chimeric Idol becomes a 3/3 Turtle artifact creature until end of turn.		
Citadel of Pain	{2}{R}		Enchantment		At the beginning of each player's end step, Citadel of Pain deals X damage to that player, where X is the number of untapped lands he or she controls.		
Coastal Hornclaw	{4}{U}		Creature	Bird	Sacrifice a land: Coastal Hornclaw gains flying until end of turn.	3	3
