Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Agrus Kos, Wojek Veteran	{3}{R}{W}	Legendary	Creature	Human,Soldier	Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.	3	3
Auratouched Mage	{5}{W}		Creature	Human,Wizard	When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.	3	3
Autochthon Wurm	{10}{G}{G}{G}{W}{W}		Creature	Wurm	Convoke (Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)|Trample	9	14
Barbarian Riftcutter	{4}{R}		Creature	Human,Barbarian	{R}, Sacrifice Barbarian Riftcutter: Destroy target land.	3	3
Bathe in Light	{1}{W}		Instant		Radiance - Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.		
Belltower Sphinx	{4}{U}		Creature	Sphinx	Flying|Whenever a source deals damage to Belltower Sphinx, that source's controller puts that many cards from the top of his or her library into his or her graveyard.	2	5
Benevolent Ancestor	{2}{W}		Creature	Spirit	Defender (This creature can't attack.)|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	0	4
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blazing Archon	{6}{W}{W}{W}		Creature	Archon	Flying|Creatures can't attack you.	5	6
Blockbuster	{3}{R}{R}		Enchantment		{1}{R}, Sacrifice Blockbuster: Blockbuster deals 3 damage to each tapped creature and each player.		
Blood Funnel	{1}{B}		Enchantment		Noncreature spells you cast cost {2} less to cast.|Whenever you cast a noncreature spell, counter that spell unless you sacrifice a creature.		
Bloodbond March	{2}{B}{G}		Enchantment		Whenever a player casts a creature spell, each player returns all cards with the same name as that spell from his or her graveyard to the battlefield.		
Bloodletter Quill	{3}		Artifact		{2}, {T}, Put a blood counter on Bloodletter Quill: Draw a card, then lose 1 life for each blood counter on Bloodletter Quill.|{U}{B}: Remove a blood counter from Bloodletter Quill.		
Boros Fury-Shield	{2}{W}		Instant		Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast Boros Fury-Shield, it deals damage to that creature's controller equal to the creature's power.		
Boros Garrison			Land		Boros Garrison enters the battlefield tapped.|When Boros Garrison enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{W} to your mana pool.		
Boros Guildmage	{R/W}{R/W}		Creature	Human,Wizard	{1}{R}: Target creature gains haste until end of turn.|{1}{W}: Target creature gains first strike until end of turn.	2	2
Boros Recruit	{R/W}		Creature	Goblin,Soldier	({R/W} can be paid with either {R} or {W}.)|First strike	1	1
Boros Signet	{2}		Artifact		{1}, {T}: Add {R}{W} to your mana pool.		
Boros Swiftblade	{R}{W}		Creature	Human,Soldier	Double strike	1	2
Bottled Cloister	{4}		Artifact		At the beginning of each opponent's upkeep, exile all cards from your hand face down.|At the beginning of your upkeep, return all cards you own exiled with Bottled Cloister to your hand, then draw a card.		
Brainspoil	{3}{B}{B}		Sorcery		Destroy target creature that isn't enchanted. It can't be regenerated.|Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)		
Bramble Elemental	{3}{G}{G}		Creature	Elemental	Whenever an Aura becomes attached to Bramble Elemental, put two 1/1 green Saproling creature tokens onto the battlefield.	4	4
Breath of Fury	{2}{R}{R}		Enchantment	Aura	Enchant creature you control|When enchanted creature deals combat damage to a player, sacrifice it and attach Breath of Fury to a creature you control. If you do, untap all creatures you control and after this phase, there is an additional combat phase.		
