Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Aladdin's Lamp	{10}		Artifact		{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.		
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Animate Artifact	{3}{U}		Enchantment	Aura	Enchant artifact|As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.		
Animate Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Armageddon Clock	{6}		Artifact		At the beginning of your upkeep, put a doom counter on Armageddon Clock.|At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.|{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.		
Aspect of Wolf	{1}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.		
Atog	{1}{R}		Creature	Atog	Sacrifice an artifact: Atog gets +2/+2 until end of turn.	1	2
Bad Moon	{1}{B}		Enchantment		Black creatures get +1/+1.		
Badlands			Land	Swamp,Mountain	ocT: Add either oR or oB to your mana pool.|Counts as both mountains and swamp and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.		
Balance	{1}{W}		Sorcery		Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Basalt Monolith	{3}		Artifact		Basalt Monolith doesn't untap during your untap step.|{T}: Add {3} to your mana pool.|{3}: Untap Basalt Monolith.		
Bayou			Land	Swamp,Forest	ocT: Add either oB or oG to your mana pool.|Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.		
Benalish Hero	{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	1
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Black Knight	{B}{B}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
Black Vise	{1}		Artifact		As Black Vise enters the battlefield, choose an opponent.|At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in his or her hand minus 4.		
Black Ward	{W}		Enchantment	Aura	Enchant creature|Enchanted creature has protection from black. This effect doesn't remove Black Ward.		
Blessing	{W}{W}		Enchantment	Aura	Enchant creature|{W}: Enchanted creature gets +1/+1 until end of turn.		
Blue Elemental Blast	{U}		Instant		Choose one - Counter target red spell; or destroy target red permanent.		
Blue Ward	{W}		Enchantment	Aura	Enchant creature|Enchanted creature has protection from blue. This effect doesn't remove Blue Ward.		
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Bottle of Suleiman	{4}		Artifact		{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you lose the flip, Bottle of Suleiman deals 5 damage to you. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield.		
Braingeyser	{X}{U}{U}		Sorcery		Target player draws X cards.		
Brass Man	{1}		Artifact,Creature	Construct	Brass Man doesn't untap during your untap step.|At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.	1	3
Burrowing	{R}		Enchantment	Aura	Enchant creature|Enchanted creature has mountainwalk.		
Castle	{3}{W}		Enchantment		Untapped creatures you control get +0/+2.		
Celestial Prism	{3}		Artifact		{2}, {T}: Add one mana of any color to your mana pool.		
Channel	{G}{G}		Sorcery		Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.		
Chaoslace	{R}		Instant		Target spell or permanent becomes red. (Its mana symbols remain unchanged.)		
Circle of Protection: Black	{1}{W}		Enchantment		{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Blue	{1}{W}		Enchantment		{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Green	{1}{W}		Enchantment		{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Red	{1}{W}		Enchantment		{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: White	{1}{W}		Enchantment		{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.		
Clockwork Beast	{6}		Artifact,Creature	Beast	Clockwork Beast enters the battlefield with seven +1/+0 counters on it.|At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.|{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.	0	4
Clone	{3}{U}		Creature	Shapeshifter	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	0	0
Cockatrice	{3}{G}{G}		Creature	Cockatrice	Flying|Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.	2	4
Conservator	{4}		Artifact		{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.		
Contract from Below	{B}		Sorcery		Remove Contract from Below from your deck before playing if you're not playing for ante.|Discard your hand, add the top card of your library to the ante, then draw seven cards.		
Control Magic	{2}{U}{U}		Enchantment	Aura	Enchant creature|You control enchanted creature.		
Conversion	{2}{W}{W}		Enchantment		At the beginning of your upkeep, sacrifice Conversion unless you pay {W}{W}.|All Mountains are Plains.		
Copy Artifact	{1}{U}		Enchantment		You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.		
Counterspell	{U}{U}		Instant		Counter target spell.		
Craw Wurm	{4}{G}{G}		Creature	Wurm		6	4
Creature Bond	{1}{U}		Enchantment	Aura	Enchant creature|When enchanted creature dies, Creature Bond deals damage equal to that creature's toughness to the creature's controller.		
Crumble	{G}		Instant		Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.		
Crusade	{W}{W}		Enchantment		White creatures get +1/+1.		
Crystal Rod	{1}		Artifact		Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.		
Cursed Land	{2}{B}{B}		Enchantment	Aura	Enchant land|At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.		
Dancing Scimitar	{4}		Artifact,Creature	Spirit	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	5
Dark Ritual	{B}		Instant		Add {B}{B}{B} to your mana pool.		
Darkpact	{B}{B}{B}		Sorcery		Remove Darkpact from your deck before playing if you're not playing for ante.|You own target card in the ante. Exchange that card with the top card of your library.		
Death Ward	{W}		Instant		Regenerate target creature.		
Deathgrip	{B}{B}		Enchantment		{B}{B}: Counter target green spell.		
Deathlace	{B}		Instant		Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)		
Demonic Attorney	{1}{B}{B}		Sorcery		Remove Demonic Attorney from your deck before playing if you're not playing for ante.|Each player antes the top card of his or her library.		
Demonic Hordes	{3}{B}{B}{B}		Creature	Demon	{T}: Destroy target land.|At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice.	5	5
Demonic Tutor	{1}{B}		Sorcery		Search your library for a card and put that card into your hand. Then shuffle your library.		
Desert Twister	{4}{G}{G}		Sorcery		Destroy target permanent.		
Dingus Egg	{4}		Artifact		Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.		
Disenchant	{1}{W}		Instant		Destroy target artifact or enchantment.		
Disintegrate	{X}{R}		Sorcery		Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.		
Disrupting Scepter	{3}		Artifact		{3}, {T}: Target player discards a card. Activate this ability only during your turn.		
Dragon Engine	{3}		Artifact,Creature	Construct	{2}: Dragon Engine gets +1/+0 until end of turn.	1	3
Dragon Whelp	{2}{R}{R}		Creature	Dragon	Flying|{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.	2	3
Drain Life	{X}{1}{B}		Sorcery		Spend only black mana on X.|Drain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.		
Drain Power	{U}{U}		Sorcery		Target player activates a mana ability of each land he or she controls. Then put all mana from that player's mana pool into yours.		
Drudge Skeletons	{1}{B}		Creature	Skeleton	{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	1	1
Dwarven Warriors	{2}{R}		Creature	Dwarf,Warrior	{T}: Target creature with power 2 or less can't be blocked this turn.	1	1
Dwarven Weaponsmith	{1}{R}		Creature	Dwarf,Artificer	{T}, Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate this ability only during your upkeep.	1	1
Earth Elemental	{3}{R}{R}		Creature	Elemental		4	5
Earthbind	{R}		Enchantment	Aura	Enchant creature|When Earthbind enters the battlefield, if enchanted creature has flying, Earthbind deals 2 damage to that creature and Earthbind gains 'Enchanted creature loses flying.'		
Earthquake	{X}{R}		Sorcery		Earthquake deals X damage to each creature without flying and each player.		
Ebony Horse	{3}		Artifact		{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.		
El-Hajjâj	{1}{B}{B}		Creature	Human,Wizard	Whenever El-Hajjâj deals damage, you gain that much life.	1	1
Elvish Archers	{1}{G}		Creature	Elf,Archer	First strike	2	1
Energy Flux	{2}{U}		Enchantment		All artifacts have 'At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.'		
Erg Raiders	{1}{B}		Creature	Human,Warrior	At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.	2	3
Evil Presence	{B}		Enchantment	Aura	Enchant land|Enchanted land is a Swamp.		
Eye for an Eye	{W}{W}		Instant		The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.		
Farmstead	{W}{W}{W}		Enchantment	Aura	Enchant land|Enchanted land has 'At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life.'		
Fastbond	{G}		Enchantment		You may play any number of additional lands on each of your turns.|Whenever you play a land, if it wasn't the first land you played this turn, Fastbond deals 1 damage to you.		
Fear	{B}{B}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)		
Feedback	{2}{U}		Enchantment	Aura	Enchant enchantment|At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.		
Fire Elemental	{3}{R}{R}		Creature	Elemental		5	4
Fireball	{X}{R}		Sorcery		Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.|Fireball costs {1} more to cast for each target beyond the first.		
Firebreathing	{R}		Enchantment	Aura	Enchant creature|{R}: Enchanted creature gets +1/+0 until end of turn.		
Flashfires	{3}{R}		Sorcery		Destroy all Plains.		
Flight	{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.		
Flying Carpet	{4}		Artifact		{2}, {T}: Target creature gains flying until end of turn.		
Fog	{G}		Instant		Prevent all combat damage that would be dealt this turn.		
Force of Nature	{2}{G}{G}{G}{G}		Creature	Elemental	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)|At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.	8	8
Forest		Basic	Land	Forest	G		
Fork	{R}{R}		Instant		Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy.		
Frozen Shade	{2}{B}		Creature	Shade	{B}: Frozen Shade gets +1/+1 until end of turn.	0	1
Fungusaur	{3}{G}		Creature	Fungus,Lizard	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	2	2
Gaea's Liege	{3}{G}{G}{G}		Creature	Avatar	As long as Gaea's Liege isn't attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaea's Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.|{T}: Target land becomes a Forest until Gaea's Liege leaves the battlefield.	*	*
Giant Growth	{G}		Instant		Target creature gets +3/+3 until end of turn.		
Giant Spider	{3}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)	2	4
Glasses of Urza	{1}		Artifact		{T}: Look at target player's hand.		
Gloom	{2}{B}		Enchantment		White spells cost {3} more to cast.|Activated abilities of white enchantments cost {3} more to activate.		
Goblin Balloon Brigade	{R}		Creature	Goblin,Warrior	{R}: Goblin Balloon Brigade gains flying until end of turn.	1	1
Goblin King	{1}{R}{R}		Creature	Goblin	Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)	2	2
Granite Gargoyle	{2}{R}		Creature	Gargoyle	Flying|{R}: Granite Gargoyle gets +0/+1 until end of turn.	2	2
Gray Ogre	{2}{R}		Creature	Ogre		2	2
Green Ward	{W}		Enchantment	Aura	Enchant creature|Enchanted creature has protection from green. This effect doesn't remove Green Ward.		
Grizzly Bears	{1}{G}		Creature	Bear		2	2
Guardian Angel	{X}{W}		Instant		Prevent the next X damage that would be dealt to target creature or player this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that creature or player this turn.		
Healing Salve	{W}		Instant		Choose one - Target player gains 3 life; or prevent the next 3 damage that would be dealt to target creature or player this turn.		
Helm of Chatzuk	{1}		Artifact		{1}, {T}: Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)		
Hill Giant	{3}{R}		Creature	Giant		3	3
Holy Armor	{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +0/+2.|{W}: Enchanted creature gets +0/+1 until end of turn.		
Holy Strength	{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+2.		
Howl from Beyond	{X}{B}		Instant		Target creature gets +X/+0 until end of turn.		
Howling Mine	{2}		Artifact		At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.		
Hurkyl's Recall	{1}{U}		Instant		Return all artifacts target player owns to his or her hand.		
Hurloon Minotaur	{1}{R}{R}		Creature	Minotaur		2	3
Hurricane	{X}{G}		Sorcery		Hurricane deals X damage to each creature with flying and each player.		
Hypnotic Specter	{1}{B}{B}		Creature	Specter	Flying|Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.	2	2
Instill Energy	{G}		Enchantment	Aura	Enchant creature|Enchanted creature can attack as though it had haste.|{0}: Untap enchanted creature. Activate this ability only during your turn and only once each turn.		
Iron Star	{1}		Artifact		Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.		
Ironroot Treefolk	{4}{G}		Creature	Treefolk		3	5
Island		Basic	Land	Island	U		
Island Fish Jasconius	{4}{U}{U}{U}		Creature	Fish	Island Fish Jasconius doesn't untap during your untap step.|At the beginning of your upkeep, you may pay {U}{U}{U}. If you do, untap Island Fish Jasconius.|Island Fish Jasconius can't attack unless defending player controls an Island.|When you control no Islands, sacrifice Island Fish Jasconius.	6	8
Island Sanctuary	{1}{W}		Enchantment		If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.		
Ivory Cup	{1}		Artifact		Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.		
Ivory Tower	{1}		Artifact		At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.		
Jade Monolith	{4}		Artifact		{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.		
Jandor's Ring	{6}		Artifact		{2}, {T}, Discard the last card you drew this turn: Draw a card.		
Jandor's Saddlebags	{2}		Artifact		{3}, {T}: Untap target creature.		
