Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Affa Guard Hound	{2}{W}		Creature	Hound	Flash|When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.	2	2
Akoum Boulderfoot	{4}{R}{R}		Creature	Giant,Warrior	When Akoum Boulderfoot enters the battlefield, it deals 1 damage to target creature or player.	4	5
All Is Dust	{7}		Tribal,Sorcery	Eldrazi	Each player sacrifices all colored permanents he or she controls.		
Ancient Stirrings	{G}		Sorcery		Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. (Cards with no colored mana in their mana costs are colorless. Lands are also colorless.)		
Angelheart Vial	{5}		Artifact		Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.|{2}, {T}, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.		
Arrogant Bloodlord	{1}{B}{B}		Creature	Vampire,Knight	Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.	4	4
Artisan of Kozilek	{9}		Creature	Eldrazi	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)	10	9
Aura Finesse	{U}		Instant		Attach target Aura you control to target creature.|Draw a card.		
Aura Gnarlid	{2}{G}		Creature	Beast	Creatures with power less than Aura Gnarlid's power can't block it.|Aura Gnarlid gets +1/+1 for each Aura on the battlefield.	2	2
Awakening Zone	{2}{G}		Enchantment		At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has 'Sacrifice this creature: Add {1} to your mana pool.'		
Bala Ged Scorpion	{3}{B}		Creature	Scorpion	When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.	2	3
Baneful Omen	{4}{B}{B}{B}		Enchantment		At the beginning of your end step, you may reveal the top card of your library. If you do, each opponent loses life equal to that card's converted mana cost.		
Battle Rampart	{2}{R}		Creature	Wall	Defender|{T}: Target creature gains haste until end of turn.	1	3
Battle-Rattle Shaman	{3}{R}		Creature	Goblin,Shaman	At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.	2	2
Bear Umbra	{2}{G}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has 'Whenever this creature attacks, untap all lands you control.'|Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)		
Beastbreaker of Bala Ged	{1}{G}		Creature	Human,Warrior	Level up {2}{G} ({2}{G}: Put a level counter on this. Level up only as a sorcery.)|LEVEL 1-3|4/4||LEVEL 4+|6/6|Trample	2	2
Bloodrite Invoker	{2}{B}		Creature	Vampire,Shaman	{8}: Target player loses 3 life and you gain 3 life.	3	1
Bloodthrone Vampire	{1}{B}		Creature	Vampire	Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.	1	1
Boar Umbra	{2}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+3.|Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)		
Bramblesnap	{1}{G}		Creature	Elemental	Trample|Tap an untapped creature you control: Bramblesnap gets +1/+1 until end of turn.	1	1
Brimstone Mage	{2}{R}		Creature	Human,Shaman	Level up {3}{R} ({3}{R}: Put a level counter on this. Level up only as a sorcery.)|LEVEL 1-2|2/3|{T}: Brimstone Mage deals 1 damage to target creature or player.|LEVEL 3+|2/4|{T}: Brimstone Mage deals 3 damage to target creature or player.	2	2
Brood Birthing	{1}{R}		Sorcery		If you control an Eldrazi Spawn, put three 0/1 colorless Eldrazi Spawn creature tokens onto the battlefield. They have 'Sacrifice this creature: Add {1} to your mana pool.' Otherwise, put one of those tokens onto the battlefield.		
Broodwarden	{3}{G}{G}		Creature	Eldrazi,Drone	Eldrazi Spawn creatures you control get +2/+1.	4	4
Cadaver Imp	{1}{B}{B}		Creature	Imp	Flying|When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.	1	1
Caravan Escort	{W}		Creature	Human,Knight	Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)|LEVEL 1-4|2/2||LEVEL 5+|5/5|First strike	1	1
Cast Through Time	{4}{U}{U}{U}		Enchantment		Instant and sorcery spells you control have rebound. (Exile the spell as it resolves if you cast it from your hand. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.)		
Champion's Drake	{1}{U}		Creature	Drake	Flying|Champion's Drake gets +3/+3 as long as you control a creature with three or more level counters on it.	1	1
Conquering Manticore	{4}{R}{R}		Creature	Manticore	Flying|When Conquering Manticore enters the battlefield, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.	5	5
Consume the Meek	{3}{B}{B}		Instant		Destroy each creature with converted mana cost 3 or less. They can't be regenerated.		
Consuming Vapors	{3}{B}		Sorcery		Target player sacrifices a creature. You gain life equal to that creature's toughness.|Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)		
Contaminated Ground	{1}{B}		Enchantment	Aura	Enchant land|Enchanted land is a Swamp.|Whenever enchanted land becomes tapped, its controller loses 2 life.		
Coralhelm Commander	{U}{U}		Creature	Merfolk,Soldier	Level up {1} ({1}: Put a level counter on this. Level up only as a sorcery.)|LEVEL 2-3|3/3|Flying|LEVEL 4+|4/4|Flying|Other Merfolk creatures you control get +1/+1.	2	2
Corpsehatch	{3}{B}{B}		Sorcery		Destroy target nonblack creature. Put two 0/1 colorless Eldrazi Spawn creature tokens onto the battlefield. They have 'Sacrifice this creature: Add {1} to your mana pool.'		
Crab Umbra	{U}		Enchantment	Aura	Enchant creature|{2}{U}: Untap enchanted creature.|Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)		
