Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adamaro, First to Desire	{1}{R}{R}	Legendary	Creature	Spirit	Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.	*	*
Æther Shockwave	{3}{W}		Instant		Choose one - Tap all Spirits; or tap all non-Spirit creatures.		
Akki Drillmaster	{2}{R}		Creature	Goblin,Shaman	{T}: Target creature gains haste until end of turn.	2	2
Akki Underling	{1}{R}		Creature	Goblin,Warrior	As long as you have seven or more cards in hand, Akki Underling gets +2/+1 and has first strike.	2	1
Akuta, Born of Ash	{2}{B}{B}	Legendary	Creature	Spirit	Haste|At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta, Born of Ash from your graveyard to the battlefield.	3	2
Araba Mothrider	{1}{W}		Creature	Human,Samurai	Flying|Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)	1	1
Arashi, the Sky Asunder	{3}{G}{G}	Legendary	Creature	Spirit	{X}{G}, {T}: Arashi, the Sky Asunder deals X damage to target creature with flying.|Channel - {X}{G}{G}, Discard Arashi: Arashi deals X damage to each creature with flying.	5	5
Ashes of the Fallen	{2}		Artifact		As Ashes of the Fallen enters the battlefield, choose a creature type.|Each creature card in your graveyard has the chosen creature type in addition to its other types.		
Ayumi, the Last Visitor	{3}{G}{G}	Legendary	Creature	Spirit	Legendary landwalk	7	3
Barrel Down Sokenzan	{2}{R}		Instant	Arcane	Sweep - Return any number of Mountains you control to their owner's hand. Barrel Down Sokenzan deals damage to target creature equal to twice the number of Mountains returned this way.		
Blood Clock	{4}		Artifact		At the beginning of each player's upkeep, that player returns a permanent he or she controls to its owner's hand unless he or she pays 2 life.		
Bounteous Kirin	{5}{G}{G}	Legendary	Creature	Kirin,Spirit	Flying|Whenever you cast a Spirit or Arcane spell, you may gain life equal to that spell's converted mana cost.	4	4
Briarknit Kami	{3}{G}{G}		Creature	Spirit	Whenever you cast a Spirit or Arcane spell, put a +1/+1 counter on target creature.	3	3
Burning-Eye Zubera	{2}{R}{R}		Creature	Zubera,Spirit	When Burning-Eye Zubera dies, if 4 or more damage was dealt to it this turn, Burning-Eye Zubera deals 3 damage to target creature or player.	3	3
Captive Flame	{2}{R}		Enchantment		{R}: Target creature gets +1/+0 until end of turn.		
Celestial Kirin	{2}{W}{W}	Legendary	Creature	Kirin,Spirit	Flying|Whenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's converted mana cost.	3	3
Charge Across the Araba	{4}{W}		Instant	Arcane	Sweep - Return any number of Plains you control to their owner's hand. Creatures you control get +1/+1 until end of turn for each Plains returned this way.		
Choice of Damnations	{5}{B}		Sorcery	Arcane	Target opponent chooses a number. You may have that player lose that much life. If you don't, that player sacrifices all but that many permanents.		
Cloudhoof Kirin	{3}{U}{U}	Legendary	Creature	Kirin,Spirit	Flying|Whenever you cast a Spirit or Arcane spell, you may have target player put the top X cards of his or her library into his or her graveyard, where X is that spell's converted mana cost.	4	4
Cowed by Wisdom	{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block unless its controller pays {1} for each card in your hand.		
Curtain of Light	{1}{W}		Instant		Cast Curtain of Light only during combat after blockers are declared.|Target unblocked attacking creature becomes blocked. (This spell works on creatures that can't be blocked.)|Draw a card.		
