Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accelerated Mutation	{3}{G}{G}		Instant		Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.		
Ageless Sentinels	{3}{W}		Creature	Wall	Defender (This creature can't attack.)|Flying|When Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)	4	4
Alpha Status	{2}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 for each other creature on the battlefield that shares a creature type with it.		
Ambush Commander	{3}{G}{G}		Creature	Elf	Forests you control are 1/1 green Elf creatures that are still lands.|{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.	2	2
Ancient Ooze	{5}{G}{G}		Creature	Ooze	Ancient Ooze's power and toughness are each equal to the total converted mana cost of other creatures you control.	*	*
Aphetto Runecaster	{3}{U}		Creature	Human,Wizard	Whenever a permanent is turned face up, you may draw a card.	2	3
Ark of Blight	{2}		Artifact		{3}, {T}, Sacrifice Ark of Blight: Destroy target land.		
Astral Steel	{2}{W}		Instant		Target creature gets +1/+2 until end of turn.|Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)		
Aven Farseer	{1}{W}		Creature	Bird,Soldier	Flying|Whenever a permanent is turned face up, put a +1/+1 counter on Aven Farseer.	1	1
Aven Liberator	{2}{W}{W}		Creature	Bird,Soldier	Flying|Morph {3}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Aven Liberator is turned face up, target creature you control gains protection from the color of your choice until end of turn.	2	3
Bladewing the Risen	{3}{B}{B}{R}{R}	Legendary	Creature	Zombie,Dragon	Flying|When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.|{B}{R}: Dragon creatures get +1/+1 until end of turn.	4	4
Bladewing's Thrall	{2}{B}{B}		Creature	Zombie	Bladewing's Thrall has flying as long as you control a Dragon.|When a Dragon enters the battlefield, you may return Bladewing's Thrall from your graveyard to the battlefield.	3	3
