Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Horror	{4}{B}{B}		Creature	Horror	Flying|When Abyssal Horror enters the battlefield, target player discards two cards.	2	2
Abyssal Specter	{2}{B}{B}		Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Adarkar Wastes			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.		
Æther Flash	{2}{R}{R}		Enchantment		Whenever a creature enters the battlefield, Æther Flash deals 2 damage to it.		
Agonizing Memories	{2}{B}{B}		Sorcery		Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.		
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Anaconda	{3}{G}		Creature	Snake	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Ancestral Memories	{2}{U}{U}{U}		Sorcery		Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.		
Ancient Silverback	{4}{G}{G}		Creature	Ape	{G}: Regenerate Ancient Silverback. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	6	5
Angelic Page	{1}{W}		Creature	Angel,Spirit	Flying|{T}: Target attacking or blocking creature gets +1/+1 until end of turn.	1	1
Arcane Laboratory	{2}{U}		Enchantment		Each player can't cast more than one spell each turn.		
Archivist	{2}{U}{U}		Creature	Human,Wizard	{T}: Draw a card.	1	1
Ardent Militia	{4}{W}		Creature	Human,Soldier	Vigilance	2	5
Balduvian Barbarians	{1}{R}{R}		Creature	Human,Barbarian		3	2
Baleful Stare	{2}{U}		Sorcery		Target opponent reveals his or her hand. You draw a card for each Mountain and red card in it.		
Beast of Burden	{6}		Artifact,Creature	Golem	Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.	*	*
Bedlam	{2}{R}{R}		Enchantment		Creatures can't block.		
Befoul	{2}{B}{B}		Sorcery		Destroy target land or nonblack creature. It can't be regenerated.		
Bellowing Fiend	{4}{B}		Creature	Spirit	Flying||Whenever Bellowing Fiend deals damage to a creature, Bellowing Fiend deals 3 damage to that creature's controller and 3 damage to you.	3	3
Benthic Behemoth	{5}{U}{U}{U}		Creature	Serpent	Islandwalk	7	6
Bereavement	{1}{B}		Enchantment		Whenever a green creature dies, its controller discards a card.		
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blanchwood Armor	{2}{G}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +1/+1 for each Forest you control.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Blessed Reversal	{1}{W}		Instant		You gain 3 life for each creature attacking you.		
Blood Pet	{B}		Creature	Thrull	Sacrifice Blood Pet: Add {B} to your mana pool.	1	1
Bloodshot Cyclops	{5}{R}		Creature	Cyclops,Giant	{T}, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to target creature or player.	4	4
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
