Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Advice from the Fae	{2/U}{2/U}{2/U}	None	Sorcery	None	({2/U} can be paid with any two mana or with {U}. This card's converted mana cost is 6.)|Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.		
Æthertow	{3}{W/U}	None	Instant	None	Put target attacking or blocking creature on top of its owner's library.|Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)		
Aphotic Wisps	{B}	None	Instant	None	Target creature becomes black and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)|Draw a card.		
Apothecary Initiate	{W}	None	Creature	Kithkin,Cleric	Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.	1	1
Armored Ascension	{3}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1 for each Plains you control and has flying.		
Ashenmoor Cohort	{5}{B}	None	Creature	Elemental,Warrior	Ashenmoor Cohort gets +1/+1 as long as you control another black creature.	4	3
Ashenmoor Gouger	{B/R}{B/R}{B/R}	None	Creature	Elemental,Warrior	Ashenmoor Gouger can't block.	4	4
Ashenmoor Liege	{1}{B/R}{B/R}{B/R}	None	Creature	Elemental,Knight	Other black creatures you control get +1/+1.|Other red creatures you control get +1/+1.|Whenever Ashenmoor Liege becomes the target of a spell or ability an opponent controls, that player loses 4 life.	4	1
Augury Adept	{1}{W/U}{W/U}	None	Creature	Kithkin,Wizard	Whenever Augury Adept deals combat damage to a player, reveal the top card of your library and put that card into your hand. You gain life equal to its converted mana cost.	2	2
Ballynock Cohort	{2}{W}	None	Creature	Kithkin,Soldier	First strike|Ballynock Cohort gets +1/+1 as long as you control another white creature.	2	2
Barkshell Blessing	{G/W}	None	Instant	None	Target creature gets +2/+2 until end of turn.|Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)		
Barrenton Cragtreads	{2}{W/U}{W/U}	None	Creature	Kithkin,Scout	Barrenton Cragtreads can't be blocked by red creatures.	3	3
Barrenton Medic	{4}{W}	None	Creature	Kithkin,Cleric	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|Put a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.	0	4
Beseech the Queen	{2/B}{2/B}{2/B}	None	Sorcery	None	({2/B} can be paid with any two mana or with {B}. This card's converted mana cost is 6.)|Search your library for a card with converted mana cost less than or equal to the number of lands you control, reveal it, and put it into your hand. Then shuffle your library.		
Biting Tether	{4}{U}	None	Enchantment	Aura	Enchant creature|You control enchanted creature.|At the beginning of your upkeep, put a -1/-1 counter on enchanted creature.		
Blazethorn Scarecrow	{5}	None	Artifact,Creature	Scarecrow	Blazethorn Scarecrow has haste as long as you control a red creature.|Blazethorn Scarecrow has wither as long as you control a green creature. (It deals damage to creatures in the form of -1/-1 counters.)	3	3
Blight Sickle	{2}	None	Artifact	Equipment	Equipped creature gets +1/+0 and has wither. (It deals damage to creatures in the form of -1/-1 counters.)|Equip {2}		
Blistering Dieflyn	{3}{R}	None	Creature	Imp	Flying|{B/R}: Blistering Dieflyn gets +1/+0 until end of turn.	0	1
Bloodmark Mentor	{1}{R}	None	Creature	Goblin,Warrior	Red creatures you control have first strike.	1	1
Bloodshed Fever	{R}	None	Enchantment	Aura	Enchant creature|Enchanted creature attacks each turn if able.		
Blowfly Infestation	{2}{B}	None	Enchantment	None	Whenever a creature dies, if it had a -1/-1 counter on it, put a -1/-1 counter on target creature.		
Boartusk Liege	{1}{R/G}{R/G}{R/G}	None	Creature	Goblin,Knight	Trample|Other red creatures you control get +1/+1.|Other green creatures you control get +1/+1.	3	4
Boggart Arsonists	{2}{R}	None	Creature	Goblin,Rogue	Plainswalk|{2}{R}, Sacrifice Boggart Arsonists: Destroy target Scarecrow or Plains.	2	1
Boggart Ram-Gang	{R/G}{R/G}{R/G}	None	Creature	Goblin,Warrior	Haste|Wither (This deals damage to creatures in the form of -1/-1 counters.)	3	3
Boon Reflection	{4}{W}	None	Enchantment	None	If you would gain life, you gain twice that much life instead.		
Briarberry Cohort	{1}{U}	None	Creature	Faerie,Soldier	Flying|Briarberry Cohort gets +1/+1 as long as you control another blue creature.	1	1
Burn Trail	{3}{R}	None	Sorcery	None	Burn Trail deals 3 damage to target creature or player.|Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)		
Cauldron of Souls	{5}	None	Artifact	None	{T}: Choose any number of target creatures. Each of those creatures gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)		
Cemetery Puca	{1}{U/B}{U/B}	None	Creature	Shapeshifter	Whenever a creature dies, you may pay {1}. If you do, Cemetery Puca becomes a copy of that creature and gains this ability.	1	2
Cerulean Wisps	{U}	None	Instant	None	Target creature becomes blue until end of turn. Untap that creature.|Draw a card.		
