Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aberrant Researcher	{3}{U}	None	Creature	Human,Insect	Flying|At the beginning of your upkeep, put the top card of your library into your graveyard. If it's an instant or sorcery card, transform Aberrant Researcher.	3	2
Accursed Witch	{3}{B}	None	Creature	Human,Shaman	Spells your opponents cast that target Accursed Witch cost {1} less to cast.|When Accursed Witch dies, return it to the battlefield transformed under your control attached to target opponent.	4	2
Aim High	{1}{G}	None	Instant	None	Untap target creature. It gets +2/+2 and gains reach until end of turn. (It can block creatures with flying.)		
Alms of the Vein	{2}{B}	None	Sorcery	None	Target opponent loses 3 life and you gain 3 life. |Madness {B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)		
Altered Ego	{X}{2}{G}{U}	None	Creature	Shapeshifter	Altered Ego can't be countered.|You may have Altered Ego enter the battlefield as a copy of any creature on the battlefield, except it enters with X additional +1/+1 counters on it.	0	0
Always Watching	{1}{W}{W}	None	Enchantment	None	Nontoken creatures you control get +1/+1 and have vigilance.		
Ancient of the Equinox		None	Creature	Treefolk	Trample, hexproof	4	4
Angel of Deliverance	{6}{W}{W}	None	Creature	Angel	Flying|Delirium - Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.	6	6
Angelic Purge	{2}{W}	None	Sorcery	None	As an additional cost to cast Angelic Purge, sacrifice a permanent.|Exile target artifact, creature, or enchantment.		
Anguished Unmaking	{1}{W}{B}	None	Instant	None	Exile target nonland permanent. You lose 3 life.		
Apothecary Geist	{3}{W}	None	Creature	Spirit	Flying|When Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life.	2	3
Archangel Avacyn	{3}{W}{W}	Legendary	Creature	Angel	Flash|Flying, vigilance|When Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.|When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.	4	4
Arlinn Kord	{2}{R}{G}	None	Planeswalker	Arlinn	+1: Until end of turn, up to one target creature gets +2/+2 and gains vigilance and haste.|0: Create a 2/2 green Wolf creature token. Transform Arlinn Kord.		
Arlinn, Embraced by the Moon		None	Planeswalker	Arlinn	+1: Creatures you control get +1/+1 and gain trample until end of turn.|−1: Arlinn, Embraced by the Moon deals 3 damage to target creature or player. Transform Arlinn, Embraced by the Moon.|−6: You get an emblem with 'Creatures you control have haste and ‘{T}: This creature deals damage equal to its power to target creature or player.''		
