Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ad Nauseam	{3}{B}{B}		Instant		Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.		
Agony Warp	{U}{B}		Instant		Target creature gets -3/-0 until end of turn.|Target creature gets -0/-3 until end of turn.		
Ajani Vengeant	{2}{R}{W}		Planeswalker	Ajani	+1: Target permanent doesn't untap during its controller's next untap step.|-2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.|-7: Destroy all lands target player controls.		
Akrasan Squire	{W}		Creature	Human,Soldier	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	1	1
Algae Gharial	{3}{G}		Creature	Crocodile	Shroud|Whenever another creature dies, you may put a +1/+1 counter on Algae Gharial.	1	1
Angelic Benediction	{3}{W}		Enchantment		Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, you may tap target creature.		
Angel's Herald	{W}		Creature	Human,Cleric	{2}{W}, {T}, Sacrifice a green creature, a white creature, and a blue creature: Search your library for a card named Empyrial Archangel and put it onto the battlefield. Then shuffle your library.	1	1
Angelsong	{1}{W}		Instant		Prevent all combat damage that would be dealt this turn.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Arcane Sanctum			Land		Arcane Sanctum enters the battlefield tapped.|{T}: Add {W}, {U}, or {B} to your mana pool.		
Archdemon of Unx	{5}{B}{B}		Creature	Demon	Flying, trample|At the beginning of your upkeep, sacrifice a non-Zombie creature, then put a 2/2 black Zombie creature token onto the battlefield.	6	6
Banewasp Affliction	{1}{B}		Enchantment	Aura	Enchant creature|When enchanted creature dies, that creature's controller loses life equal to its toughness.		
Bant Battlemage	{2}{W}		Creature	Human,Wizard	{G}, {T}: Target creature gains trample until end of turn.|{U}, {T}: Target creature gains flying until end of turn.	2	2
Bant Charm	{G}{W}{U}		Instant		Choose one - Destroy target artifact; or put target creature on the bottom of its owner's library; or counter target instant spell.		
Bant Panorama			Land		{T}: Add {1} to your mana pool.|{1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped. Then shuffle your library.		
Battlegrace Angel	{3}{W}{W}		Creature	Angel	Flying|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, it gains lifelink until end of turn.	4	4
Behemoth's Herald	{G}		Creature	Elf,Shaman	{2}{G}, {T}, Sacrifice a red creature, a green creature, and a white creature: Search your library for a card named Godsire and put it onto the battlefield. Then shuffle your library.	1	1
Blightning	{1}{B}{R}		Sorcery		Blightning deals 3 damage to target player. That player discards two cards.		
Blister Beetle	{1}{B}		Creature	Insect	When Blister Beetle enters the battlefield, target creature gets -1/-1 until end of turn.	1	1
Blood Cultist	{1}{B}{R}		Creature	Human,Wizard	{T}: Blood Cultist deals 1 damage to target creature.|Whenever a creature dealt damage by Blood Cultist this turn dies, put a +1/+1 counter on Blood Cultist.	1	1
Bloodpyre Elemental	{4}{R}		Creature	Elemental	Sacrifice Bloodpyre Elemental: Bloodpyre Elemental deals 4 damage to target creature. Activate this ability only any time you could cast a sorcery.	4	1
Bloodthorn Taunter	{1}{R}		Creature	Human,Scout	Haste|{T}: Target creature with power 5 or greater gains haste until end of turn.	1	1
Bone Splinters	{B}		Sorcery		As an additional cost to cast Bone Splinters, sacrifice a creature.|Destroy target creature.		
Branching Bolt	{1}{R}{G}		Instant		Choose one or both - Branching Bolt deals 3 damage to target creature with flying; and/or Branching Bolt deals 3 damage to target creature without flying.		
Brilliant Ultimatum	{W}{W}{U}{U}{U}{B}{B}		Sorcery		Exile the top five cards of your library. An opponent separates those cards into two piles. You may play any number of cards from one of those piles without paying their mana costs.		
