Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Angelic Blessing	{2}{W}		Sorcery		Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Armored Pegasus	{1}{W}		Creature	Pegasus	Flying	1	2
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Breath of Life	{3}{W}		Sorcery		Return target creature card from your graveyard to the battlefield.		
Coercion	{2}{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it. That player discards that card.		
Counterspell	{U}{U}		Instant		Counter target spell.		
Disenchant	{1}{W}		Instant		Destroy target artifact or enchantment.		
Drudge Skeletons	{1}{B}		Creature	Skeleton	{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	1	1
Durkwood Boars	{4}{G}		Creature	Boar		4	4
Eager Cadet	{W}		Creature	Human,Soldier		1	1
Flame Spirit	{4}{R}		Creature	Elemental,Spirit	{R}: Flame Spirit gets +1/+0 until end of turn.	2	3
Flight	{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.		
Forest		Basic	Land	Forest	G		
Giant Growth	{G}		Instant		Target creature gets +3/+3 until end of turn.		
Giant Octopus	{3}{U}		Creature	Octopus		3	3
Goblin Hero	{2}{R}		Creature	Goblin		2	2
Hand of Death	{2}{B}		Sorcery		Destroy target nonblack creature.		
Hero's Resolve	{1}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+5.		
Inspiration	{3}{U}		Instant		Target player draws two cards.		
Island		Basic	Land	Island	U		
Knight Errant	{1}{W}		Creature	Human,Knight		2	2
Lava Axe	{4}{R}		Sorcery		Lava Axe deals 5 damage to target player.		
Llanowar Elves	{G}		Creature	Elf,Druid	{T}: Add {G} to your mana pool.	1	1
Merfolk of the Pearl Trident	{U}		Creature	Merfolk		1	1
Mons's Goblin Raiders	{R}		Creature	Goblin		1	1
Monstrous Growth	{1}{G}		Sorcery		Target creature gets +4/+4 until end of turn.		
Moon Sprite	{1}{G}		Creature	Faerie	Flying	1	1
Mountain		Basic	Land	Mountain	R		
Obsianus Golem	{6}		Artifact,Creature	Golem		4	6
Ogre Warrior	{3}{R}		Creature	Ogre,Warrior		3	3
Orcish Oriflamme	{3}{R}		Enchantment		Attacking creatures you control get +1/+0.		
Plains		Basic	Land	Plains	W		
Prodigal Sorcerer	{2}{U}		Creature	Human,Wizard	{T}: Prodigal Sorcerer deals 1 damage to target creature or player.	1	1
Python	{1}{B}{B}		Creature	Snake		3	2
Rod of Ruin	{4}		Artifact		{3}, {T}: Rod of Ruin deals 1 damage to target creature or player.		
Royal Falcon	{1}{W}		Creature	Bird	Flying	1	1
Samite Healer	{1}{W}		Creature	Human,Cleric	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	1	1
Scathe Zombies	{2}{B}		Creature	Zombie		2	2
Sea Eagle	{1}{U}		Creature	Bird	Flying	1	1
Shock	{R}		Instant		Shock deals 2 damage to target creature or player.		
Soul Net	{1}		Artifact		Whenever a creature dies, you may pay {1}. If you do, you gain 1 life.		
Spined Wurm	{4}{G}		Creature	Wurm		5	4
Stone Rain	{2}{R}		Sorcery		Destroy target land.		
Swamp		Basic	Land	Swamp	B		
Terror	{1}{B}		Instant		Destroy target nonartifact, nonblack creature. It can't be regenerated.		
Time Ebb	{2}{U}		Sorcery		Put target creature on top of its owner's library.		
Trained Orgg	{6}{R}		Creature	Orgg		6	6
Venerable Monk	{2}{W}		Creature	Human,Monk,Cleric	When Venerable Monk enters the battlefield, you gain 2 life.	2	2
Vizzerdrix	{6}{U}		Creature	Rabbit,Beast		6	6
Wild Griffin	{2}{W}		Creature	Griffin	Flying	2	2
Willow Elf	{G}		Creature	Elf		1	1
Wind Drake	{2}{U}		Creature	Drake	Flying	2	2
