Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Sliver	{B}{R}		Creature	Sliver	All Slivers have '{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player.'	2	2
Amok	{1}{R}		Enchantment		{1}, Discard a card at random: Put a +1/+1 counter on target creature.		
Awakening	{2}{G}{G}		Enchantment		At the beginning of each upkeep, untap all creatures and lands.		
Bandage	{W}		Instant		Prevent the next 1 damage that would be dealt to target creature or player this turn.|Draw a card.		
Bottomless Pit	{1}{B}{B}		Enchantment		At the beginning of each player's upkeep, that player discards a card at random.		
Brush with Death	{2}{B}		Sorcery		Buyback {2}{B}{B} (You may pay an additional {2}{B}{B} as you cast this spell. If you do, put this card into your hand as it resolves.)|Target opponent loses 2 life. You gain 2 life.		
Bullwhip	{4}		Artifact		{2}, {T}: Bullwhip deals 1 damage to target creature. That creature attacks this turn if able.		
Burgeoning	{G}		Enchantment		Whenever an opponent plays a land, you may put a land card from your hand onto the battlefield.		
Calming Licid	{2}{W}		Creature	Licid	{W}, {T}: Calming Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {W} to end this effect.|Enchanted creature can't attack.	2	2
Cannibalize	{1}{B}		Sorcery		Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.		
Carnassid	{4}{G}{G}		Creature	Beast	Trample||{1}{G}: Regenerate Carnassid.	5	4
Change of Heart	{W}		Instant		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Target creature can't attack this turn.		
Cloud Spirit	{2}{U}		Creature	Spirit	Flying|Cloud Spirit can block only creatures with flying.	3	1
Constant Mists	{1}{G}		Instant		Buyback-Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|Prevent all combat damage that would be dealt this turn.		
Contemplation	{1}{W}{W}		Enchantment		Whenever you cast a spell, you gain 1 life.		
Contempt	{1}{U}		Enchantment	Aura	Enchant creature|Whenever enchanted creature attacks, return it and Contempt to their owners' hands at end of combat.		
Conviction	{1}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+3.|{W}: Return Conviction to its owner's hand.		
Convulsing Licid	{2}{R}		Creature	Licid	{R}, {T}: Convulsing Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {R} to end this effect.|Enchanted creature can't block.	2	2
Corrupting Licid	{2}{B}		Creature	Licid	{B}, {T}: Corrupting Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {B} to end this effect.|Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)	2	2
Craven Giant	{2}{R}		Creature	Giant	Craven Giant can't block.	4	1
Crossbow Ambush	{G}		Instant		Creatures you control gain reach until end of turn. (They can block creatures with flying.)		
Crovax the Cursed	{2}{B}{B}	Legendary	Creature	Vampire	Crovax the Cursed enters the battlefield with four +1/+1 counters on it.|At the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.|{B}: Crovax gains flying until end of turn.	0	0
Crystalline Sliver	{W}{U}		Creature	Sliver	All Slivers have shroud. (They can't be the targets of spells or abilities.)	2	2
Dauthi Trapper	{2}{B}		Creature	Dauthi,Minion	{T}: Target creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.)	1	1
Death Stroke	{B}{B}		Sorcery		Destroy target tapped creature.		
Dream Halls	{3}{U}{U}		Enchantment		Rather than pay the mana cost for a spell, its controller may discard a card that shares a color with that spell.		
Dream Prowler	{2}{U}{U}		Creature	Illusion	Dream Prowler can't be blocked as long as it's attacking alone.	1	5
Duct Crawler	{R}		Creature	Insect	{1}{R}: Target creature can't block Duct Crawler this turn.	1	1
Dungeon Shade	{3}{B}		Creature	Shade,Spirit	Flying|{B}: Dungeon Shade gets +1/+1 until end of turn.	1	1
Elven Rite	{1}{G}		Sorcery		Distribute two +1/+1 counters among one or two target creatures.		
Endangered Armodon	{2}{G}{G}		Creature	Elephant	When you control a creature with toughness 2 or less, sacrifice Endangered Armodon.	4	5
Ensnaring Bridge	{3}		Artifact		Creatures with power greater than the number of cards in your hand can't attack.		
Evacuation	{3}{U}{U}		Instant		Return all creatures to their owners' hands.		
Fanning the Flames	{X}{R}{R}		Sorcery		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Fanning the Flames deals X damage to target creature or player.		
Flame Wave	{3}{R}{R}{R}{R}		Sorcery		Flame Wave deals 4 damage to target player and each creature he or she controls.		
Fling	{1}{R}		Instant		As an additional cost to cast Fling, sacrifice a creature.|Fling deals damage equal to the sacrificed creature's power to target creature or player.		
Flowstone Blade	{R}		Enchantment	Aura	Enchant creature|{R}: Enchanted creature gets +1/-1 until end of turn.		
Flowstone Hellion	{4}{R}		Creature	Hellion,Beast	Haste|{0}: Flowstone Hellion gets +1/-1 until end of turn.	3	3
Flowstone Mauler	{4}{R}{R}		Creature	Beast	Trample|{R}: Flowstone Mauler gets +1/-1 until end of turn.	4	5
Flowstone Shambler	{2}{R}		Creature	Beast	{R}: Flowstone Shambler gets +1/-1 until end of turn.	2	2
Foul Imp	{B}{B}		Creature	Imp	Flying|When Foul Imp enters the battlefield, you lose 2 life.	2	2
Furnace Spirit	{2}{R}		Creature	Spirit	Haste|{R}: Furnace Spirit gets +1/+0 until end of turn.	1	1
Gliding Licid	{2}{U}		Creature	Licid	{U}, {T}: Gliding Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.|Enchanted creature has flying.	2	2
Grave Pact	{1}{B}{B}{B}		Enchantment		Whenever a creature you control dies, each other player sacrifices a creature.		
Hammerhead Shark	{1}{U}		Creature	Fish	Hammerhead Shark can't attack unless defending player controls an Island.	2	3
Heartstone	{3}		Artifact		Activated abilities of creatures cost {1} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.		
Heat of Battle	{1}{R}		Enchantment		Whenever a creature blocks, Heat of Battle deals 1 damage to that creature's controller.		
Hermit Druid	{1}{G}		Creature	Human,Druid	{G}, {T}: Reveal cards from the top of your library until you reveal a basic land card. Put that card into your hand and all other cards revealed this way into your graveyard.	1	1
Hesitation	{1}{U}		Enchantment		When a player casts a spell, sacrifice Hesitation and counter that spell.		
Hibernation Sliver	{U}{B}		Creature	Sliver	All Slivers have 'Pay 2 life: Return this permanent to its owner's hand.'	2	2
Hidden Retreat	{2}{W}		Enchantment		Put a card from your hand on top of your library: Prevent all damage that would be dealt by target instant or sorcery spell this turn.		
Honor Guard	{W}		Creature	Human,Soldier	{W}: Honor Guard gets +0/+1 until end of turn.	1	1
Horn of Greed	{3}		Artifact		Whenever a player plays a land, that player draws a card.		
Hornet Cannon	{4}		Artifact		{3}, {T}: Put a 1/1 colorless Insect artifact creature token with flying and haste named Hornet onto the battlefield. Destroy it at the beginning of the next end step.		
Intruder Alarm	{2}{U}		Enchantment		Creatures don't untap during their controllers' untap steps.|Whenever a creature enters the battlefield, untap all creatures.		
Invasion Plans	{2}{R}		Enchantment		All creatures block each turn if able.|The attacking player chooses how each creature blocks each turn.		
Jinxed Ring	{2}		Artifact		Whenever a nontoken permanent is put into your graveyard from the battlefield, Jinxed Ring deals 1 damage to you.|Sacrifice a creature: Target opponent gains control of Jinxed Ring. (This effect lasts indefinitely.)		
Lab Rats	{B}		Sorcery		Buyback {4} (You may pay an additional {4} as you cast this spell. If you do, put this card into your hand as it resolves.)|Put a 1/1 black Rat creature token onto the battlefield.		
Lancers en-Kor	{3}{W}{W}		Creature	Kor,Soldier	Trample|{0}: The next 1 damage that would be dealt to Lancers en-Kor this turn is dealt to target creature you control instead.	3	3
Leap	{U}		Instant		Target creature gains flying until end of turn.||Draw a card.		
Lowland Basilisk	{2}{G}		Creature	Basilisk	Whenever Lowland Basilisk deals damage to a creature, destroy that creature at end of combat.	1	3
Mana Leak	{1}{U}		Instant		Counter target spell unless its controller pays {3}.		
Mask of the Mimic	{U}		Instant		As an additional cost to cast Mask of the Mimic, sacrifice a creature.|Search your library for a card with the same name as target nontoken creature and put that card onto the battlefield. Then shuffle your library.		
Megrim	{2}{B}		Enchantment		Whenever an opponent discards a card, Megrim deals 2 damage to that player.		
Mind Games	{U}		Instant		Buyback {2}{U} (You may pay an additional {2}{U} as you cast this spell. If you do, put this card into your hand as it resolves.)|Tap target artifact, creature, or land.		
Mind Peel	{B}		Sorcery		Buyback {2}{B}{B} (You may pay an additional {2}{B}{B} as you cast this spell. If you do, put this card into your hand as it resolves.)|Target player discards a card.		
Mindwarper	{2}{B}{B}		Creature	Spirit	Mindwarper enters the battlefield with three +1/+1 counters on it.|{2}{B}, Remove a +1/+1 counter from Mindwarper: Target player discards a card. Activate this ability only any time you could cast a sorcery.	0	0
Mob Justice	{1}{R}		Sorcery		Mob Justice deals damage to target player equal to the number of creatures you control.		
Mogg Bombers	{3}{R}		Creature	Goblin	When another creature enters the battlefield, sacrifice Mogg Bombers and it deals 3 damage to target player.	3	4
Mogg Flunkies	{1}{R}		Creature	Goblin	Mogg Flunkies can't attack or block alone.	3	3
Mogg Infestation	{3}{R}{R}		Sorcery		Destroy all creatures target player controls. For each creature that died this way, put two 1/1 red Goblin creature tokens onto the battlefield under that player's control.		
Mogg Maniac	{1}{R}		Creature	Goblin	Whenever Mogg Maniac is dealt damage, it deals that much damage to target opponent.	1	1
Morgue Thrull	{2}{B}		Creature	Thrull	Sacrifice Morgue Thrull: Put the top three cards of your library into your graveyard.	2	2
Mortuary	{3}{B}		Enchantment		Whenever a creature is put into your graveyard from the battlefield, put that card on top of your library.		
Mox Diamond	{0}		Artifact		If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.|{T}: Add one mana of any color to your mana pool.		
Mulch	{1}{G}		Sorcery		Reveal the top four cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.		
Nomads en-Kor	{W}		Creature	Kor,Nomad,Soldier	{0}: The next 1 damage that would be dealt to Nomads en-Kor this turn is dealt to target creature you control instead.	1	1
Overgrowth	{2}{G}		Enchantment	Aura	Enchant land (Target a land as you cast this. This card enters the battlefield attached to that land.)|Whenever enchanted land is tapped for mana, its controller adds {G}{G} to his or her mana pool (in addition to the mana the land produces).		
Portcullis	{4}		Artifact		Whenever a creature enters the battlefield, if there are two or more other creatures on the battlefield, exile that creature. Return that card to the battlefield under its owner's control when Portcullis leaves the battlefield.		
Primal Rage	{1}{G}		Enchantment		Creatures you control have trample. (If a creature you control would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)		
Provoke	{1}{G}		Instant		Untap target creature you don't control. That creature blocks this turn if able.||Draw a card.		
Pursuit of Knowledge	{3}{W}		Enchantment		If you would draw a card, you may put a study counter on Pursuit of Knowledge instead.||Remove three study counters from Pursuit of Knowledge, Sacrifice Pursuit of Knowledge: Draw seven cards.		
Rabid Rats	{1}{B}		Creature	Rat	{T}: Target blocking creature gets -1/-1 until end of turn.	1	1
Ransack	{3}{U}		Sorcery		Look at the top five cards of target player's library. Put any number of them on the bottom of that library in any order and the rest on top of the library in any order.		
Rebound	{1}{U}		Instant		Change the target of target spell that targets only a player. The new target must be a player.		
Reins of Power	{2}{U}{U}		Instant		Untap all creatures you control and all creatures target opponent controls. You and that opponent each gain control of all creatures the other controls until end of turn. Those creatures gain haste until end of turn.		
Revenant	{4}{B}		Creature	Spirit	Flying|Revenant's power and toughness are each equal to the number of creature cards in your graveyard.	*	*
Rolling Stones	{1}{W}		Enchantment		Wall creatures can attack as though they didn't have defender.		
Ruination	{3}{R}		Sorcery		Destroy all nonbasic lands.		
Sacred Ground	{1}{W}		Enchantment		Whenever a spell or ability an opponent controls causes a land to be put into your graveyard from the battlefield, return that card to the battlefield.		
Samite Blessing	{W}		Enchantment	Aura	Enchant creature|Enchanted creature has '{T}: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.'		
Scapegoat	{W}		Instant		As an additional cost to cast Scapegoat, sacrifice a creature.|Return any number of target creatures you control to their owner's hand.		
Seething Anger	{R}		Sorcery		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Target creature gets +3/+0 until end of turn.		
Serpent Warrior	{2}{B}		Creature	Snake,Warrior	When Serpent Warrior enters the battlefield, you lose 3 life.	3	3
Shaman en-Kor	{1}{W}		Creature	Kor,Cleric,Shaman	{0}: The next 1 damage that would be dealt to Shaman en-Kor this turn is dealt to target creature you control instead.|{1}{W}: The next time a source of your choice would deal damage to target creature this turn, that damage is dealt to Shaman en-Kor instead.	1	2
Shard Phoenix	{4}{R}		Creature	Phoenix	Flying (This creature can't be blocked except by creatures with flying or reach.)|Sacrifice Shard Phoenix: Shard Phoenix deals 2 damage to each creature without flying.|{R}{R}{R}: Return Shard Phoenix from your graveyard to your hand. Activate this ability only during your upkeep.	2	2
Shifting Wall	{X}		Artifact,Creature	Wall	Defender (This creature can't attack.)|Shifting Wall enters the battlefield with X +1/+1 counters on it.	0	0
Shock	{R}		Instant		Shock deals 2 damage to target creature or player.		
Sift	{3}{U}		Sorcery		Draw three cards, then discard a card.		
Silver Wyvern	{3}{U}{U}		Creature	Drake	Flying|{U}: Change the target of target spell or ability that targets only Silver Wyvern. The new target must be a creature.	4	3
Skeleton Scavengers	{2}{B}		Creature	Skeleton	Skeleton Scavengers enters the battlefield with a +1/+1 counter on it.|Pay {1} for each +1/+1 counter on Skeleton Scavengers: Regenerate Skeleton Scavengers. When it regenerates this way, put a +1/+1 counter on it.	0	0
Skyshroud Archer	{G}		Creature	Elf,Archer	{T}: Target creature with flying gets -1/-1 until end of turn.	1	1
Skyshroud Falcon	{1}{W}		Creature	Bird	Flying, vigilance	1	1
Skyshroud Troopers	{3}{G}		Creature	Elf,Druid,Warrior	{T}: Add {G} to your mana pool.	3	3
Sliver Queen	{W}{U}{B}{R}{G}	Legendary	Creature	Sliver	{2}: Put a 1/1 colorless Sliver creature token onto the battlefield.	7	7
Smite	{W}		Instant		Destroy target blocked creature.		
Soltari Champion	{2}{W}		Creature	Soltari,Soldier	Shadow (This creature can block or be blocked by only creatures with shadow.)|Whenever Soltari Champion attacks, all other creatures you control get +1/+1 until end of turn.	2	2
Spike Breeder	{3}{G}		Creature	Spike	Spike Breeder enters the battlefield with three +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Breeder: Put a +1/+1 counter on target creature.|{2}, Remove a +1/+1 counter from Spike Breeder: Put a 1/1 green Spike creature token onto the battlefield.	0	0
Spike Colony	{4}{G}		Creature	Spike	Spike Colony enters the battlefield with four +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Colony: Put a +1/+1 counter on target creature.	0	0
Spike Feeder	{1}{G}{G}		Creature	Spike	Spike Feeder enters the battlefield with two +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature.|Remove a +1/+1 counter from Spike Feeder: You gain 2 life.	0	0
Spike Soldier	{2}{G}{G}		Creature	Spike,Soldier	Spike Soldier enters the battlefield with three +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Soldier: Put a +1/+1 counter on target creature.|Remove a +1/+1 counter from Spike Soldier: Spike Soldier gets +2/+2 until end of turn.	0	0
Spike Worker	{2}{G}		Creature	Spike	Spike Worker enters the battlefield with two +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Worker: Put a +1/+1 counter on target creature.	0	0
Spindrift Drake	{U}		Creature	Drake	Flying|At the beginning of your upkeep, sacrifice Spindrift Drake unless you pay {U}.	2	1
Spined Sliver	{R}{G}		Creature	Sliver	Whenever a Sliver becomes blocked, that Sliver gets +1/+1 until end of turn for each creature blocking it.	2	2
Spined Wurm	{4}{G}		Creature	Wurm		5	4
Spirit en-Kor	{3}{W}		Creature	Kor,Spirit	Flying|{0}: The next 1 damage that would be dealt to Spirit en-Kor this turn is dealt to target creature you control instead.	2	2
Spitting Hydra	{3}{R}{R}		Creature	Hydra	Spitting Hydra enters the battlefield with four +1/+1 counters on it.|{1}{R}, Remove a +1/+1 counter from Spitting Hydra: Spitting Hydra deals 1 damage to target creature.	0	0
