Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abandon Hope	{X}{1}{B}		Sorcery		As an additional cost to cast Abandon Hope, discard X cards.|Look at target opponent's hand and choose X cards from it. That player discards those cards.		
Advance Scout	{1}{W}		Creature	Human,Soldier,Scout	First strike|{W}: Target creature gains first strike until end of turn.	1	1
Aftershock	{2}{R}{R}		Sorcery		Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.		
Altar Of Dementia (Altar of Dementia)	{2}		Artifact		Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.		
Aluren	{2}{G}{G}		Enchantment		Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.		
Ancient Runes	{2}{R}		Enchantment		At the beginning of each player's upkeep, Ancient Runes deals damage to that player equal to the number of artifacts he or she controls.		
Ancient Tomb			Land		{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.		
Angelic Protector	{3}{W}		Creature	Angel	Flying|Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.	2	2
Anoint	{W}		Instant		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Prevent the next 3 damage that would be dealt to target creature this turn.		
Apes of Rath	{2}{G}{G}		Creature	Ape	Whenever Apes of Rath attacks, it doesn't untap during its controller's next untap step.	5	4
Apocalypse	{2}{R}{R}{R}		Sorcery		Exile all permanents. You discard your hand.		
Armor Sliver	{2}{W}		Creature	Sliver	All Sliver creatures have '{2}: This creature gets +0/+1 until end of turn.'	2	2
Armored Pegasus	{1}{W}		Creature	Pegasus	Flying	1	2
Auratog	{1}{W}		Creature	Atog	Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.	1	2
Avenging Angel	{3}{W}{W}		Creature	Angel	Flying|When Avenging Angel dies, you may put it on top of its owner's library.	3	3
Barbed Sliver	{2}{R}		Creature	Sliver	All Sliver creatures have '{2}: This creature gets +1/+0 until end of turn.'	2	2
Bayou Dragonfly	{1}{G}		Creature	Insect	Flying, swampwalk	1	1
Bellowing Fiend	{4}{B}		Creature	Spirit	Flying||Whenever Bellowing Fiend deals damage to a creature, Bellowing Fiend deals 3 damage to that creature's controller and 3 damage to you.	3	3
Benthic Behemoth	{5}{U}{U}{U}		Creature	Serpent	Islandwalk	7	6
Blood Frenzy	{1}{R}		Instant		Cast Blood Frenzy only before the combat damage step.|Target attacking or blocking creature gets +4/+0 until end of turn. Destroy that creature at the beginning of the next end step.		
Blood Pet	{B}		Creature	Thrull	Sacrifice Blood Pet: Add {B} to your mana pool.	1	1
Boil	{3}{R}		Instant		Destroy all Islands.		
Booby Trap	{6}		Artifact		As Booby Trap enters the battlefield, name a card other than a basic land card and choose an opponent.|The chosen player reveals each card he or she draws.|When the chosen player draws the named card, sacrifice Booby Trap. If you do, Booby Trap deals 10 damage to that player.		
Bottle Gnomes	{3}		Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Bounty Hunter	{2}{B}{B}		Creature	Human,Archer,Minion	{T}: Put a bounty counter on target nonblack creature.|{T}: Destroy target creature with a bounty counter on it.	2	2
Broken Fall	{2}{G}		Enchantment		Return Broken Fall to its owner's hand: Regenerate target creature.		
Caldera Lake			Land		Caldera Lake enters the battlefield tapped.|{T}: Add {1} to your mana pool.|{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.		
Canopy Spider	{1}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)	1	3
Canyon Drake	{2}{R}{R}		Creature	Drake	Flying|{1}, Discard a card at random: Canyon Drake gets +2/+0 until end of turn.	1	2
Canyon Wildcat	{1}{R}		Creature	Cat	Mountainwalk	2	1
Capsize	{1}{U}{U}		Instant		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Return target permanent to its owner's hand.		
Carrionette	{1}{B}		Creature	Skeleton	{2}{B}{B}: Exile Carrionette and target creature unless that creature's controller pays {2}. Activate this ability only if Carrionette is in your graveyard.	1	1
Chaotic Goo	{2}{R}{R}		Creature	Ooze	Chaotic Goo enters the battlefield with three +1/+1 counters on it.|At the beginning of your upkeep, you may flip a coin. If you win the flip, put a +1/+1 counter on Chaotic Goo. If you lose the flip, remove a +1/+1 counter from Chaotic Goo.	0	0
Charging Rhino	{3}{G}{G}		Creature	Rhino	Charging Rhino can't be blocked by more than one creature.	4	4
Chill	{1}{U}		Enchantment		Red spells cost {2} more to cast.		
Choke	{2}{G}		Enchantment		Islands don't untap during their controllers' untap steps.		
Cinder Marsh			Land		{T}: Add {1} to your mana pool.|{T}: Add {B} or {R} to your mana pool. Cinder Marsh doesn't untap during your next untap step.		
Circle of Protection: Black	{1}{W}		Enchantment		{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Blue	{1}{W}		Enchantment		{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.		
