Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Sliver	{B}{R}	None	Creature	Sliver	All Slivers have '{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player.'	2	2
Aftershock	{2}{R}{R}	None	Sorcery	None	Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.		
Aluren	{2}{G}{G}	None	Enchantment	None	Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.		
Anarchist	{4}{R}	None	Creature	Human,Wizard	When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.	2	2
Angelic Blessing	{2}{W}	None	Sorcery	None	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Angelic Protector	{3}{W}	None	Creature	Angel	Flying|Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.	2	2
Anoint	{W}	None	Instant	None	Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Prevent the next 3 damage that would be dealt to target creature this turn.		
Armor Sliver	{2}{W}	None	Creature	Sliver	All Sliver creatures have '{2}: This creature gets +0/+1 until end of turn.'	2	2
Armored Pegasus	{1}{W}	None	Creature	Pegasus	Flying	1	2
Avenging Angel	{3}{W}{W}	None	Creature	Angel	Flying|When Avenging Angel dies, you may put it on top of its owner's library.	3	3
Bandage	{W}	None	Instant	None	Prevent the next 1 damage that would be dealt to target creature or player this turn.|Draw a card.		
Barbed Sliver	{2}{R}	None	Creature	Sliver	All Sliver creatures have '{2}: This creature gets +1/+0 until end of turn.'	2	2
Bottle Gnomes	{3}	None	Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Caldera Lake		None	Land	None	Caldera Lake enters the battlefield tapped.|{T}: Add {1} to your mana pool.|{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.		
Cannibalize	{1}{B}	None	Sorcery	None	Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.		
Canopy Spider	{1}{G}	None	Creature	Spider	Reach (This creature can block creatures with flying.)	1	3
Canyon Wildcat	{1}{R}	None	Creature	Cat	Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)	2	1
Capsize	{1}{U}{U}	None	Instant	None	Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Return target permanent to its owner's hand.		
Carnassid	{4}{G}{G}	None	Creature	Beast	Trample|{1}{G}: Regenerate Carnassid.	5	4
Carnophage	{B}	None	Creature	Zombie	At the beginning of your upkeep, tap Carnophage unless you pay 1 life.	2	2
Cataclysm	{2}{W}{W}	None	Sorcery	None	Each player chooses from among the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.		
Charging Paladin	{2}{W}	None	Creature	Human,Knight	Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.	2	2
Cinder Marsh		None	Land	None	{T}: Add {1} to your mana pool.|{T}: Add {B} or {R} to your mana pool. Cinder Marsh doesn't untap during your next untap step.		
City of Traitors		None	Land	None	When you play another land, sacrifice City of Traitors.|{T}: Add {2} to your mana pool.		
Clot Sliver	{1}{B}	None	Creature	Sliver	All Slivers have '{2}: Regenerate this permanent.'	1	1
Coat of Arms	{5}	None	Artifact	None	Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)		
Coercion	{2}{B}	None	Sorcery	None	Target opponent reveals his or her hand. You choose a card from it. That player discards that card.		
Coffin Queen	{2}{B}	None	Creature	Zombie,Wizard	You may choose not to untap Coffin Queen during your untap step.|{2}{B}, {T}: Put target creature card from a graveyard onto the battlefield under your control. When Coffin Queen becomes untapped or you lose control of Coffin Queen, exile that creature.	1	1
Coiled Tinviper	{3}	None	Artifact,Creature	Snake	First strike	2	1
Commander Greven il-Vec	{3}{B}{B}{B}	Legendary	Creature	Human,Warrior	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|When Commander Greven il-Vec enters the battlefield, sacrifice a creature.	7	5
Conviction	{1}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+3.|{W}: Return Conviction to its owner's hand.		
Corpse Dance	{2}{B}	None	Instant	None	Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)|Return the top creature card of your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step.		
Counterspell	{U}{U}	None	Instant	None	Counter target spell.		
Crashing Boars	{3}{G}{G}	None	Creature	Boar	Whenever Crashing Boars attacks, defending player chooses an untapped creature he or she controls. That creature blocks Crashing Boars this turn if able.	4	4
Craven Giant	{2}{R}	None	Creature	Giant	Craven Giant can't block.	4	1
Crovax the Cursed	{2}{B}{B}	Legendary	Creature	Vampire	Crovax the Cursed enters the battlefield with four +1/+1 counters on it.|At the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.|{B}: Crovax gains flying until end of turn.	0	0
Crystalline Sliver	{W}{U}	None	Creature	Sliver	All Slivers have shroud. (They can't be the targets of spells or abilities.)	2	2
Curiosity	{U}	None	Enchantment	Aura	Enchant creature|Whenever enchanted creature deals damage to an opponent, you may draw a card.		
Cursed Flesh	{B}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)		
Cursed Scroll	{1}	None	Artifact	None	{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.		
Dark Banishing	{2}{B}	None	Instant	None	Destroy target nonblack creature. It can't be regenerated.		
Dark Ritual	{B}	None	Instant	None	Add {B}{B}{B} to your mana pool.		
Dauthi Horror	{1}{B}	None	Creature	Dauthi,Horror	Shadow (This creature can block or be blocked by only creatures with shadow.)|Dauthi Horror can't be blocked by white creatures.	2	1
Dauthi Jackal	{2}{B}	None	Creature	Dauthi,Hound	Shadow (This creature can block or be blocked by only creatures with shadow.)|{B}{B}, Sacrifice Dauthi Jackal: Destroy target blocking creature.	2	1
Dauthi Marauder	{2}{B}	None	Creature	Dauthi,Minion	Shadow (This creature can block or be blocked by only creatures with shadow.)	3	1
Dauthi Slayer	{B}{B}	None	Creature	Dauthi,Soldier	Shadow (This creature can block or be blocked by only creatures with shadow.)|Dauthi Slayer attacks each turn if able.	2	2
Dauthi Warlord	{1}{B}	None	Creature	Dauthi,Soldier	Shadow (This creature can block or be blocked by only creatures with shadow.)|Dauthi Warlord's power is equal to the number of creatures with shadow on the battlefield.	*	1
Deadshot	{3}{R}	None	Sorcery	None	Tap target creature. It deals damage equal to its power to another target creature.		
Death Pits of Rath	{3}{B}{B}	None	Enchantment	None	Whenever a creature is dealt damage, destroy it. It can't be regenerated.		
Death Stroke	{B}{B}	None	Sorcery	None	Destroy target tapped creature.		
Death's Duet	{2}{B}	None	Sorcery	None	Return two target creature cards from your graveyard to your hand.		
Diabolic Edict	{1}{B}	None	Instant	None	Target player sacrifices a creature.		
Disenchant	{1}{W}	None	Instant	None	Destroy target artifact or enchantment.		
Dismiss	{2}{U}{U}	None	Instant	None	Counter target spell.|Draw a card.		
