Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abundance	{2}{G}{G}		Enchantment		If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.		
Academy Researchers	{1}{U}{U}		Creature	Human,Wizard	When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.	2	2
Adarkar Wastes			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.		
Afflict	{2}{B}		Instant		Target creature gets -1/-1 until end of turn.|Draw a card.		
Aggressive Urge	{1}{G}		Instant		Target creature gets +1/+1 until end of turn.|Draw a card.		
Agonizing Memories	{2}{B}{B}		Sorcery		Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.		
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Ambassador Laquatus	{1}{U}{U}	Legendary	Creature	Merfolk,Wizard	{3}: Target player puts the top three cards of his or her library into his or her graveyard.	1	3
Anaba Bodyguard	{3}{R}		Creature	Minotaur	First strike (This creature deals combat damage before creatures without first strike.)	2	3
Ancestor's Chosen	{5}{W}{W}		Creature	Human,Cleric	First strike (This creature deals combat damage before creatures without first strike.)|When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.	4	4
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Blessing	{2}{W}		Sorcery		Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Angelic Chorus	{3}{W}{W}		Enchantment		Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.		
Angelic Wall	{1}{W}		Creature	Wall	Defender (This creature can't attack.)|Flying	0	4
Angel's Feather	{2}		Artifact		Whenever a player casts a white spell, you may gain 1 life.		
Arcane Teachings	{2}{R}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +2/+2 and has '{T}: This creature deals 1 damage to target creature or player.'		
Arcanis the Omnipotent	{3}{U}{U}{U}	Legendary	Creature	Wizard	{T}: Draw three cards.|{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	3	4
Ascendant Evincar	{4}{B}{B}	Legendary	Creature	Vampire	Flying (This creature can't be blocked except by creatures with flying or reach.)|Other black creatures get +1/+1.|Nonblack creatures get -1/-1.	3	3
Assassinate	{2}{B}		Sorcery		Destroy target tapped creature.		
Aura Graft	{1}{U}		Instant		Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.		
Aura of Silence	{1}{W}{W}		Enchantment		Artifact and enchantment spells your opponents cast cost {2} more to cast.|Sacrifice Aura of Silence: Destroy target artifact or enchantment.		
Avatar of Might	{6}{G}{G}		Creature	Avatar	If an opponent controls at least four more creatures than you, Avatar of Might costs {6} less to cast.|Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	8	8
Aven Cloudchaser	{3}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Cloudchaser enters the battlefield, destroy target enchantment.	2	2
Aven Fisher	{3}{U}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Fisher dies, you may draw a card.	2	2
Aven Windreader	{3}{U}{U}		Creature	Bird,Soldier,Wizard	Flying (This creature can't be blocked except by creatures with flying or reach.)|{1}{U}: Target player reveals the top card of his or her library.	3	3
Ballista Squad	{3}{W}		Creature	Human,Rebel	{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.	2	2
Bandage	{W}		Instant		Prevent the next 1 damage that would be dealt to target creature or player this turn.|Draw a card.		
Battlefield Forge			Land		{T}: Add {1} to your mana pool.|{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.		
Beacon of Destruction	{3}{R}{R}		Instant		Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.		
Beacon of Immortality	{5}{W}		Instant		Double target player's life total. Shuffle Beacon of Immortality into its owner's library.		
Beacon of Unrest	{3}{B}{B}		Sorcery		Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.		
Benalish Knight	{2}{W}		Creature	Human,Knight	Flash (You may cast this spell any time you could cast an instant.)|First strike (This creature deals combat damage before creatures without first strike.)	2	2
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blanchwood Armor	{2}{G}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +1/+1 for each Forest you control.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Bloodfire Colossus	{6}{R}{R}		Creature	Giant	{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.	6	6
Bloodrock Cyclops	{2}{R}		Creature	Cyclops	Bloodrock Cyclops attacks each turn if able.	3	3
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Bogardan Firefiend	{2}{R}		Creature	Elemental,Spirit	When Bogardan Firefiend dies, it deals 2 damage to target creature.	2	1
Boomerang	{U}{U}		Instant		Return target permanent to its owner's hand.		
Bottle Gnomes	{3}		Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Brushland			Land		{T}: Add {1} to your mana pool.|{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.		
Cancel	{1}{U}{U}		Instant		Counter target spell.		
Canopy Spider	{1}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)	1	3
Caves of Koilos			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.		
Cephalid Constable	{1}{U}{U}		Creature	Cephalid,Wizard	Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands.	1	1
Chimeric Staff	{4}		Artifact		{X}: Chimeric Staff becomes an X/X Construct artifact creature until end of turn.		
Cho-Manno, Revolutionary	{2}{W}{W}	Legendary	Creature	Human,Rebel	Prevent all damage that would be dealt to Cho-Manno, Revolutionary.	2	2
Chromatic Star	{1}		Artifact		{1}, {T}, Sacrifice Chromatic Star: Add one mana of any color to your mana pool.|When Chromatic Star is put into a graveyard from the battlefield, draw a card.		
