Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Amnesia	{3}{U}{U}{U}		Sorcery		Target player reveals his or her hand and discards all nonland cards.		
Angry Mob	{2}{W}{W}		Creature	Human	Trample|As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.		
Apprentice Wizard	{1}{U}{U}		Creature	Human,Wizard	{U}, {T}: Add {3} to your mana pool.	0	1
Ashes to Ashes	{1}{B}{B}		Sorcery		Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.		
Ball Lightning	{R}{R}{R}		Creature	Elemental	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)|Haste (This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Ball Lightning.	6	1
Banshee	{2}{B}{B}		Creature	Spirit	{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.	0	1
Barl's Cage	{4}		Artifact		{3}: Target creature doesn't untap during its controller's next untap step.		
Blood Moon	{2}{R}		Enchantment		Nonbasic lands are Mountains.		
Blood of the Martyr	{W}{W}{W}		Instant		Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.		
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Bog Rats	{B}		Creature	Rat	Bog Rats can't be blocked by Walls.	1	1
Bone Flute	{3}		Artifact		{2}, {T}: All creatures get -1/-0 until end of turn.		
Book of Rass	{6}		Artifact		{2}, Pay 2 life: Draw a card.		
Brainwash	{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack unless its controller pays {3}.		
Brothers of Fire	{1}{R}{R}		Creature	Human,Shaman	{1}{R}{R}: Brothers of Fire deals 1 damage to target creature or player and 1 damage to you.	2	2
Carnivorous Plant	{3}{G}		Creature	Plant,Wall	Defender	4	5
Cave People	{1}{R}{R}		Creature	Human	Whenever Cave People attacks, it gets +1/-2 until end of turn.|{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn.	1	4
City of Shadows			Land		{T}, Exile a creature you control: Put a storage counter on City of Shadows.|{T}: Add {X} to your mana pool, where X is the number of storage counters on City of Shadows.		
Cleansing	{W}{W}{W}		Sorcery		For each land, destroy that land unless any player pays 1 life.		
Coal Golem	{5}		Artifact,Creature	Golem	{3}, Sacrifice Coal Golem: Add {R}{R}{R} to your mana pool.	3	3
Curse Artifact	{2}{B}{B}		Enchantment	Aura	Enchant artifact|At the beginning of the upkeep of enchanted artifact's controller, Curse Artifact deals 2 damage to that player unless he or she sacrifices that artifact.		
Dance of Many	{U}{U}		Enchantment		When Dance of Many enters the battlefield, put a token that's a copy of target nontoken creature onto the battlefield.|When Dance of Many leaves the battlefield, exile the token.|When the token leaves the battlefield, sacrifice Dance of Many.|At the beginning of your upkeep, sacrifice Dance of Many unless you pay {U}{U}.		
Dark Heart of the Wood	{B}{G}		Enchantment		Sacrifice a Forest: You gain 3 life.		
Dark Sphere	{0}		Artifact		{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, prevent half that damage, rounded down.		
Deep Water	{U}{U}		Enchantment		{U}: Until end of turn, if you tap a land you control for mana, it produces {U} instead of any other type.		
Diabolic Machine	{7}		Artifact,Creature	Construct	{3}: Regenerate Diabolic Machine.	4	4
Drowned	{1}{U}		Creature	Zombie	{B}: Regenerate Drowned.	1	1
Dust to Dust	{1}{W}{W}		Sorcery		Exile two target artifacts.		
Eater of the Dead	{4}{B}		Creature	Horror	{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.	3	4
Electric Eel	{U}		Creature	Fish	When Electric Eel enters the battlefield, it deals 1 damage to you.|{R}{R}: Electric Eel gets +2/+0 until end of turn and deals 1 damage to you.	1	1
Elves of Deep Shadow	{G}		Creature	Elf,Druid	{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.	1	1
Erosion	{U}{U}{U}		Enchantment	Aura	Enchant land|At the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life.		
Eternal Flame	{2}{R}{R}		Sorcery		Eternal Flame deals X damage to target opponent, where X is the number of Mountains you control. It deals half X damage, rounded up, to you.		
Exorcist	{W}{W}		Creature	Human,Cleric	{1}{W}, {T}: Destroy target black creature.	1	1
Fasting	{W}		Enchantment		At the beginning of your upkeep, put a hunger counter on Fasting. Then destroy Fasting if it has five or more hunger counters on it.|If you would begin your draw step, you may skip that step instead. If you do, you gain 2 life.|When you draw a card, destroy Fasting.		
Fellwar Stone	{2}		Artifact		{T}: Add to your mana pool one mana of any color that a land an opponent controls could produce.		
Festival	{W}		Instant		Cast Festival only during an opponent's upkeep.|Creatures can't attack this turn.		
Fire and Brimstone	{3}{W}{W}		Instant		Fire and Brimstone deals 4 damage to target player who declared an attacking creature this turn and 4 damage to you.		
Fire Drake	{1}{R}{R}		Creature	Drake	Flying|{R}: Fire Drake gets +1/+0 until end of turn. Activate this ability only once each turn.	1	2
Fissure	{3}{R}{R}		Instant		Destroy target creature or land. It can't be regenerated.		
Flood	{U}		Enchantment		{U}{U}: Tap target creature without flying.		
Fountain of Youth	{0}		Artifact		{2}, {T}: You gain 1 life.		
Frankenstein's Monster	{X}{B}{B}		Creature	Zombie	As Frankenstein's Monster enters the battlefield, exile X creature cards from your graveyard. If you can't, put Frankenstein's Monster into its owner's graveyard instead of onto the battlefield. For each creature card exiled this way, Frankenstein's Monster enters the battlefield with a +2/+0, +1/+1, or +0/+2 counter on it.	0	1
Gaea's Touch	{G}{G}		Enchantment		{0}: You may put a basic Forest card from your hand onto the battlefield. Activate this ability only any time you could cast a sorcery and only once each turn.|Sacrifice Gaea's Touch: Add {G}{G} to your mana pool.		
Ghost Ship	{2}{U}{U}		Creature	Spirit	Flying|{U}{U}{U}: Regenerate Ghost Ship.	2	4
Giant Shark	{5}{U}		Creature	Fish	Giant Shark can't attack unless defending player controls an Island.|Whenever Giant Shark blocks or becomes blocked by a creature that has been dealt damage this turn, Giant Shark gets +2/+0 and gains trample until end of turn.|When you control no Islands, sacrifice Giant Shark.	4	4
Goblin Caves	{1}{R}{R}		Enchantment	Aura	Enchant land|As long as enchanted land is a basic Mountain, Goblin creatures get +0/+2.		
Goblin Digging Team	{R}		Creature	Goblin	{T}, Sacrifice Goblin Digging Team: Destroy target Wall.	1	1
Goblin Hero	{2}{R}		Creature	Goblin		2	2
Goblin Rock Sled	{1}{R}		Creature	Goblin	Trample|Goblin Rock Sled doesn't untap during your untap step if it attacked during your last turn.|Goblin Rock Sled can't attack unless defending player controls a Mountain.	3	1
Goblin Shrine	{1}{R}{R}		Enchantment	Aura	Enchant land|As long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.|When Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature.		
Goblin Wizard	{2}{R}{R}		Creature	Goblin,Wizard	{T}: You may put a Goblin permanent card from your hand onto the battlefield.|{R}: Target Goblin gains protection from white until end of turn.	1	1
Goblins of the Flarg	{R}		Creature	Goblin,Warrior	Mountainwalk|When you control a Dwarf, sacrifice Goblins of the Flarg.	1	1
Grave Robbers	{1}{B}{B}		Creature	Human,Rogue	{B}, {T}: Exile target artifact card from a graveyard. You gain 2 life.	1	1
Hidden Path	{2}{G}{G}{G}{G}		Enchantment		Green creatures have forestwalk.		
Holy Light	{2}{W}		Instant		Nonwhite creatures get -1/-1 until end of turn.		
Inferno	{5}{R}{R}		Instant		Inferno deals 6 damage to each creature and each player.		
Inquisition	{2}{B}		Sorcery		Target player reveals his or her hand. Inquisition deals damage to that player equal to the number of white cards in his or her hand.		
Knights of Thorn	{3}{W}		Creature	Human,Knight	Protection from red; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	2	2
Land Leeches	{1}{G}{G}		Creature	Leech	First strike	2	2
Leviathan	{5}{U}{U}{U}{U}		Creature	Leviathan	Trample|Leviathan enters the battlefield tapped and doesn't untap during your untap step.|At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan.|Leviathan can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)	10	10
Living Armor	{4}		Artifact		{T}, Sacrifice Living Armor: Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.		
Lurker	{2}{G}		Creature	Beast	Lurker can't be the target of spells unless it attacked or blocked this turn.	2	3
Mana Clash	{R}		Sorcery		You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.		
