Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akroma, Angel of Wrath	{5}{W}{W}{W}	Legendary	Creature	Angel	Flying, first strike, vigilance, trample, haste, protection from black and from red	6	6
Arena			Land		{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. (Each deals damage equal to its power to the other.)		
Assault // Battery (Assault)	{R}		Sorcery		Assault deals 2 damage to target creature or player.|		
Auratog	{1}{W}		Creature	Atog	Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.	1	2
Avalanche Riders	{3}{R}		Creature	Human,Nomad	Haste|Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Avalanche Riders enters the battlefield, destroy target land.	2	2
Avatar of Woe	{6}{B}{B}		Creature	Avatar	If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.|Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|{T}: Destroy target creature. It can't be regenerated.	6	5
Avoid Fate	{G}		Instant		Counter target instant or Aura spell that targets a permanent you control.		
Bad Moon	{1}{B}		Enchantment		Black creatures get +1/+1.		
Assault // Battery (Battery)	{3}{G}		Sorcery		Put a 3/3 green Elephant creature token onto the battlefield.		
Browbeat	{2}{R}		Sorcery		Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.		
XXCall of the Herd (Call of the Herd)	{2}{G}		Sorcery		Put a 3/3 green Elephant creature token onto the battlefield.|Flashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Celestial Dawn	{1}{W}{W}		Enchantment		Lands you control are Plains.|Nonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.|You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.		
Claws of Gix	{0}		Artifact		{1}, Sacrifice a permanent: You gain 1 life.		
Coalition Victory	{3}{W}{U}{B}{R}{G}		Sorcery		You win the game if you control a land of each basic land type and a creature of each color.		
Cockatrice	{3}{G}{G}		Creature	Cockatrice	Flying|Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.	2	4
Consecrate Land	{W}		Enchantment	Aura	Enchant land|Enchanted land has indestructible and can't be enchanted by other Auras.		
Conspiracy	{3}{B}{B}		Enchantment		As Conspiracy enters the battlefield, choose a creature type.|Creature cards you own that aren't on the battlefield, creature spells you control, and creatures you control are the chosen type.		
Craw Giant	{3}{G}{G}{G}{G}		Creature	Giant	Trample|Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)	6	4
Dandân	{U}{U}		Creature	Fish	Dandân can't attack unless defending player controls an Island.|When you control no Islands, sacrifice Dandân.	4	1
Darkness	{B}		Instant		Prevent all combat damage that would be dealt this turn.		
Dauthi Slayer	{B}{B}		Creature	Dauthi,Soldier	Shadow (This creature can block or be blocked by only creatures with shadow.)|Dauthi Slayer attacks each turn if able.	2	2
Defiant Vanguard	{2}{W}		Creature	Human,Rebel	When Defiant Vanguard blocks, at end of combat, destroy it and all creatures it blocked this turn.|{5}, {T}: Search your library for a Rebel permanent card with converted mana cost 4 or less and put it onto the battlefield. Then shuffle your library.	2	2
Desert			Land	Desert	{T}: Add {1} to your mana pool.|{T}: Desert deals 1 damage to target attacking creature. Activate this ability only during the end of combat step.		
Desolation Giant	{2}{R}{R}		Creature	Giant	Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)|When Desolation Giant enters the battlefield, destroy all other creatures you control. If it was kicked, destroy all other creatures instead.	3	3
Disenchant	{1}{W}		Instant		Destroy target artifact or enchantment.		
Disintegrate	{X}{R}		Sorcery		Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.		
Dodecapod	{4}		Artifact,Creature	Golem	If a spell or ability an opponent controls causes you to discard Dodecapod, put it onto the battlefield with two +1/+1 counters on it instead of putting it into your graveyard.	3	3
