Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accelerate	{1}{R}		Instant		Target creature gains haste until end of turn.|Draw a card.		
Acorn Harvest	{3}{G}		Sorcery		Put two 1/1 green Squirrel creature tokens onto the battlefield.|Flashback-{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Alter Reality	{1}{U}		Instant		Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.)|Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Ambassador Laquatus	{1}{U}{U}	Legendary	Creature	Merfolk,Wizard	{3}: Target player puts the top three cards of his or her library into his or her graveyard.	1	3
Angel of Retribution	{6}{W}		Creature	Angel	Flying, first strike	5	5
Anurid Scavenger	{2}{G}		Creature	Frog,Beast	Protection from black|At the beginning of your upkeep, sacrifice Anurid Scavenger unless you put a card from your graveyard on the bottom of your library.	3	3
Aquamoeba	{1}{U}		Creature	Elemental,Beast	Discard a card: Switch Aquamoeba's power and toughness until end of turn.	1	3
Arrogant Wurm	{3}{G}{G}		Creature	Wurm	Trample|Madness {2}{G} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	4	4
Aven Trooper	{3}{W}		Creature	Bird,Soldier	Flying|{2}{W}, Discard a card: Aven Trooper gets +1/+2 until end of turn.	1	1
Balshan Collaborator	{3}{U}		Creature	Bird,Soldier	Flying|{B}: Balshan Collaborator gets +1/+1 until end of turn.	2	2
Balthor the Stout	{1}{R}{R}	Legendary	Creature	Dwarf,Barbarian	Other Barbarian creatures get +1/+1.|{R}: Another target Barbarian creature gets +1/+0 until end of turn.	2	2
Barbarian Outcast	{1}{R}		Creature	Human,Barbarian,Beast	When you control no Swamps, sacrifice Barbarian Outcast.	2	2
Basking Rootwalla	{G}		Creature	Lizard	{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.|Madness {0} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	1	1
Boneshard Slasher	{1}{B}		Creature	Horror	Flying|Threshold - As long as seven or more cards are in your graveyard, Boneshard Slasher gets +2/+2 and has 'When Boneshard Slasher becomes the target of a spell or ability, sacrifice it.'	1	1
Breakthrough	{X}{U}		Sorcery		Draw four cards, then choose X cards in your hand and discard the rest.		
Cabal Coffers			Land		{2}, {T}: Add {B} to your mana pool for each Swamp you control.		
Cabal Ritual	{1}{B}		Instant		Add {B}{B}{B} to your mana pool.|Threshold - Add {B}{B}{B}{B}{B} to your mana pool instead if seven or more cards are in your graveyard.		
Cabal Surgeon	{2}{B}{B}		Creature	Human,Minion	{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.	2	1
Cabal Torturer	{1}{B}{B}		Creature	Human,Minion	{B}, {T}: Target creature gets -1/-1 until end of turn.|Threshold - {3}{B}{B}, {T}: Target creature gets -2/-2 until end of turn. Activate this ability only if seven or more cards are in your graveyard.	1	1
Carrion Rats	{B}		Creature	Rat	Whenever Carrion Rats attacks or blocks, any player may exile a card from his or her graveyard. If a player does, Carrion Rats assigns no combat damage this turn.	2	1
Carrion Wurm	{3}{B}{B}		Creature	Zombie,Wurm	Whenever Carrion Wurm attacks or blocks, any player may exile three cards from his or her graveyard. If a player does, Carrion Wurm assigns no combat damage this turn.	6	5
Centaur Chieftain	{3}{G}		Creature	Centaur	Haste|Threshold - As long as seven or more cards are in your graveyard, Centaur Chieftain has 'When Centaur Chieftain enters the battlefield, creatures you control get +1/+1 and gain trample until end of turn.'	3	3
Centaur Veteran	{5}{G}		Creature	Centaur	Trample|{G}, Discard a card: Regenerate Centaur Veteran.	3	3
Cephalid Aristocrat	{4}{U}		Creature	Cephalid	Whenever Cephalid Aristocrat becomes the target of a spell or ability, put the top two cards of your library into your graveyard.	3	3
