Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ainok Tracker	{5}{R}	None	Creature	Hound,Scout	First strike|Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	3
Altar of the Brood	{1}	None	Artifact	None	Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.		
Arashin War Beast	{5}{G}{G}	None	Creature	Beast	Whenever Arashin War Beast deals combat damage to one or more blocking creatures, manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)	6	6
Arc Lightning	{2}{R}	None	Sorcery	None	Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.		
Briber's Purse	{X}	None	Artifact	None	Briber's Purse enters the battlefield with X gem counters on it.|{1}, {T}, Remove a gem counter from Briber's Purse: Target creature can't attack or block this turn.		
Debilitating Injury	{1}{B}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets -2/-2.		
Dragonscale Boon	{3}{G}	None	Instant	None	Put two +1/+1 counters on target creature and untap it.		
Fierce Invocation	{4}{R}	None	Sorcery	None	Manifest the top card of your library, then put two +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
Formless Nurturing	{3}{G}	None	Sorcery	None	Manifest the top card of your library, then put a +1/+1 counter on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
Ghostfire Blade	{1}	None	Artifact	Equipment	Equipped creature gets +2/+2.|Equip {3}|Ghostfire Blade's equip ability costs {2} less to activate if it targets a colorless creature.		
Grim Haruspex	{2}{B}	None	Creature	Human,Wizard	Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|Whenever another nontoken creature you control dies, draw a card.	3	2
Hewed Stone Retainers	{3}	None	Artifact,Creature	Golem	Cast Hewed Stone Retainers only if you've cast another spell this turn.	4	4
Jeering Instigator	{1}{R}	None	Creature	Goblin,Rogue	Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Jeering Instigator is turned face up, if it's your turn, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.	2	1
Jeskai Infiltrator	{2}{U}	None	Creature	Human,Monk	Jeskai Infiltrator can't be blocked as long as you control no other creatures.|When Jeskai Infiltrator deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)	2	3
Mastery of the Unseen	{1}{W}	None	Enchantment	None	Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.|{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
Mystic of the Hidden Way	{4}{U}	None	Creature	Human,Monk	Mystic of the Hidden Way can't be blocked.|Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	2
Reality Shift	{1}{U}	None	Instant	None	Exile target creature. Its controller manifests the top card of his or her library. (That player puts the top card of his or her library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.)		
Ruthless Ripper	{B}	None	Creature	Human,Assassin	Deathtouch|Morph-Reveal a black card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Ruthless Ripper is turned face up, target player loses 2 life.	1	1
Smite the Monstrous	{3}{W}	None	Instant	None	Destroy target creature with power 4 or greater.		
Soul Summons	{1}{W}	None	Sorcery	None	Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
Sultai Emissary	{1}{B}	None	Creature	Zombie,Warrior	When Sultai Emissary dies, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)	1	1
Ugin, the Spirit Dragon	{8}	None	Planeswalker	Ugin	+2: Ugin, the Spirit Dragon deals 3 damage to target creature or player.|−X: Exile each permanent with converted mana cost X or less that's one or more colors.|−10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.		
Ugin's Construct	{4}	None	Artifact,Creature	Construct	When Ugin's Construct enters the battlefield, sacrifice a permanent that's one or more colors.	4	5
Watcher of the Roost	{2}{W}	None	Creature	Bird,Soldier	Flying|Morph-Reveal a white card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Watcher of the Roost is turned face up, you gain 2 life.	2	1
Wildcall	{X}{G}{G}	None	Sorcery	None	Manifest the top card of your library, then put X +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
Write into Being	{2}{U}	None	Sorcery	None	Look at the top two cards of your library. Manifest one of those cards, then put the other on the top or bottom of your library. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)		
