Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Academy Rector	{3}{W}		Creature	Human,Cleric	When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.	1	2
Æther Sting	{3}{R}		Enchantment		Whenever an opponent casts a creature spell, Æther Sting deals 1 damage to that player.		
Ancient Silverback	{4}{G}{G}		Creature	Ape	{G}: Regenerate Ancient Silverback. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	6	5
Apprentice Necromancer	{1}{B}		Creature	Zombie,Wizard	{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.	1	1
Archery Training	{W}		Enchantment	Aura	Enchant creature|At the beginning of your upkeep, you may put an arrow counter on Archery Training.|Enchanted creature has '{T}: This creature deals X damage to target attacking or blocking creature, where X is the number of arrow counters on Archery Training.'		
Attrition	{1}{B}{B}		Enchantment		{B}, Sacrifice a creature: Destroy target nonblack creature.		
Aura Thief	{3}{U}		Creature	Illusion	Flying|When Aura Thief dies, you gain control of all enchantments. (You don't get to move Auras.)	2	2
Blizzard Elemental	{5}{U}{U}		Creature	Elemental	Flying|{3}{U}: Untap Blizzard Elemental.	5	5
Bloodshot Cyclops	{5}{R}		Creature	Cyclops,Giant	{T}, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to target creature or player.	4	4
Body Snatcher	{2}{B}{B}		Creature	Minion	When Body Snatcher enters the battlefield, exile it unless you discard a creature card.|When Body Snatcher dies, exile Body Snatcher and return target creature card from your graveyard to the battlefield.	2	2
Braidwood Cup	{3}		Artifact		{T}: You gain 1 life.		
Braidwood Sextant	{1}		Artifact		{2}, {T}, Sacrifice Braidwood Sextant: Search your library for a basic land card, reveal that card, and put it into your hand. Then shuffle your library.		
Brass Secretary	{3}		Artifact,Creature	Construct	{2}, Sacrifice Brass Secretary: Draw a card.	2	1
Brine Seer	{3}{U}		Creature	Human,Wizard	{2}{U}, {T}: Reveal any number of blue cards in your hand. Counter target spell unless its controller pays {1} for each card revealed this way.	1	1
Bubbling Beebles	{4}{U}		Creature	Beeble	Bubbling Beebles can't be blocked as long as defending player controls an enchantment.	3	3
Bubbling Muck	{B}		Sorcery		Until end of turn, whenever a player taps a Swamp for mana, that player adds {B} to his or her mana pool (in addition to the mana the land produces).		
Caltrops	{3}		Artifact		Whenever a creature attacks, Caltrops deals 1 damage to it.		
Capashen Knight	{1}{W}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|{1}{W}: Capashen Knight gets +1/+0 until end of turn.	1	1
Capashen Standard	{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1.|{2}, Sacrifice Capashen Standard: Draw a card.		
Capashen Templar	{2}{W}		Creature	Human,Knight	{W}: Capashen Templar gets +0/+1 until end of turn.	2	2
Carnival of Souls	{1}{B}		Enchantment		Whenever a creature enters the battlefield, you lose 1 life and add {B} to your mana pool.		
Chime of Night	{1}{B}		Enchantment	Aura	Enchant creature|When Chime of Night is put into a graveyard from the battlefield, destroy target nonblack creature.		
Cinder Seer	{3}{R}		Creature	Human,Wizard	{2}{R}, {T}: Reveal any number of red cards in your hand. Cinder Seer deals X damage to target creature or player, where X is the number of cards revealed this way.	1	1
Colos Yearling	{2}{R}		Creature	Goat,Beast	Mountainwalk|{R}: Colos Yearling gets +1/+0 until end of turn.	1	1
Compost	{1}{G}		Enchantment		Whenever a black card is put into an opponent's graveyard from anywhere, you may draw a card.		
Covetous Dragon	{4}{R}		Creature	Dragon	Flying|When you control no artifacts, sacrifice Covetous Dragon.	6	5
Disappear	{2}{U}{U}		Enchantment	Aura	Enchant creature|{U}: Return enchanted creature and Disappear to their owners' hands.		
Disease Carriers	{2}{B}{B}		Creature	Rat	When Disease Carriers dies, target creature gets -2/-2 until end of turn.	2	2
Donate	{2}{U}		Sorcery		Target player gains control of target permanent you control.		
Dying Wail	{1}{B}		Enchantment	Aura	Enchant creature|When enchanted creature dies, target player discards two cards.		
Elvish Lookout	{G}		Creature	Elf	Shroud (This permanent can't be the target of spells or abilities.)	1	1
Elvish Piper	{3}{G}		Creature	Elf,Shaman	{G}, {T}: You may put a creature card from your hand onto the battlefield.	1	1
Emperor Crocodile	{3}{G}		Creature	Crocodile	When you control no other creatures, sacrifice Emperor Crocodile.	5	5
Encroach	{B}		Sorcery		Target player reveals his or her hand. You choose a nonbasic land card from it. That player discards that card.		
Eradicate	{2}{B}{B}		Sorcery		Exile target nonblack creature. Search its controller's graveyard, hand, and library for all cards with the same name as that creature and exile them. Then that player shuffles his or her library.		
Extruder	{4}		Artifact,Creature	Juggernaut	Echo {4} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|Sacrifice an artifact: Put a +1/+1 counter on target creature.	4	3
False Prophet	{2}{W}{W}		Creature	Human,Cleric	When False Prophet dies, exile all creatures.	2	2
Fatigue	{1}{U}		Sorcery		Target player skips his or her next draw step.		
Fend Off	{1}{W}		Instant		Prevent all combat damage that would be dealt by target creature this turn.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Festering Wound	{1}{B}		Enchantment	Aura	Enchant creature|At the beginning of your upkeep, you may put an infection counter on Festering Wound.|At the beginning of the upkeep of enchanted creature's controller, Festering Wound deals X damage to that player, where X is the number of infection counters on Festering Wound.		
Field Surgeon	{1}{W}		Creature	Human,Cleric	Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature this turn.	1	1
Flame Jet	{1}{R}		Sorcery		Flame Jet deals 3 damage to target player.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Fledgling Osprey	{U}		Creature	Bird	Fledgling Osprey has flying as long as it's enchanted.	1	1
Flicker	{1}{W}		Sorcery		Exile target nontoken permanent, then return it to the battlefield under its owner's control.		
Fodder Cannon	{4}		Artifact		{4}, {T}, Sacrifice a creature: Fodder Cannon deals 4 damage to target creature.		
Gamekeeper	{3}{G}		Creature	Elf	When Gamekeeper dies, you may exile it. If you do, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and put all other cards revealed this way into your graveyard.	2	2
Goblin Berserker	{3}{R}		Creature	Goblin,Berserker	First strike, haste	2	2
Goblin Festival	{1}{R}		Enchantment		{2}: Goblin Festival deals 1 damage to target creature or player. Flip a coin. If you lose the flip, choose one of your opponents. That player gains control of Goblin Festival.		
Goblin Gardener	{3}{R}		Creature	Goblin	When Goblin Gardener dies, destroy target land.	2	1
Goblin Marshal	{4}{R}{R}		Creature	Goblin,Warrior	Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Goblin Marshal enters the battlefield or dies, put two 1/1 red Goblin creature tokens onto the battlefield.	3	3
Goblin Masons	{1}{R}		Creature	Goblin	When Goblin Masons dies, destroy target Wall.	2	1
Goliath Beetle	{2}{G}		Creature	Insect	Trample	3	1
Heart Warden	{1}{G}		Creature	Elf,Druid	{T}: Add {G} to your mana pool.|{2}, Sacrifice Heart Warden: Draw a card.	1	1
Hulking Ogre	{2}{R}		Creature	Ogre	Hulking Ogre can't block.	3	3
Hunting Moa	{2}{G}		Creature	Bird,Beast	Echo {2}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Hunting Moa enters the battlefield or dies, put a +1/+1 counter on target creature.	3	2
Illuminated Wings	{1}{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.|{2}, Sacrifice Illuminated Wings: Draw a card.		
Impatience	{2}{R}		Enchantment		At the beginning of each player's end step, if that player didn't cast a spell this turn, Impatience deals 2 damage to him or her.		
Incendiary	{R}		Enchantment	Aura	Enchant creature|At the beginning of your upkeep, you may put a fuse counter on Incendiary.|When enchanted creature dies, Incendiary deals X damage to target creature or player, where X is the number of fuse counters on Incendiary.		
Iridescent Drake	{3}{U}		Creature	Drake	Flying|When Iridescent Drake enters the battlefield, put target Aura card from a graveyard onto the battlefield under your control attached to Iridescent Drake.	2	2
Ivy Seer	{3}{G}		Creature	Elf,Wizard	{2}{G}, {T}: Reveal any number of green cards in your hand. Target creature gets +X/+X until end of turn, where X is the number of cards revealed this way.	1	1
Jasmine Seer	{3}{W}		Creature	Human,Wizard	{2}{W}, {T}: Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.	1	1
Junk Diver	{3}		Artifact,Creature	Bird	Flying|When Junk Diver dies, return another target artifact card from your graveyard to your hand.	1	1
Keldon Champion	{2}{R}{R}		Creature	Human,Barbarian	Haste|Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Keldon Champion enters the battlefield, it deals 3 damage to target player.	3	2
Keldon Vandals	{2}{R}		Creature	Human,Rogue	Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Keldon Vandals enters the battlefield, destroy target artifact.	4	1
Kingfisher	{3}{U}		Creature	Bird	Flying|When Kingfisher dies, draw a card.	2	2
Landslide	{R}		Sorcery		Sacrifice any number of Mountains. Landslide deals that much damage to target player.		
Lurking Jackals	{B}		Enchantment		When an opponent has 10 or less life, if Lurking Jackals is an enchantment, it becomes a 3/2 Hound creature.		
Magnify	{G}		Instant		All creatures get +1/+1 until end of turn.		
Mantis Engine	{5}		Artifact,Creature	Insect	{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)|{2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)	3	3
