Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
About Face	{R}		Instant		Switch target creature's power and toughness until end of turn.		
Angelic Curator	{1}{W}		Creature	Angel,Spirit	Flying, protection from artifacts	1	1
Angel's Trumpet	{3}		Artifact		All creatures have vigilance.|At the beginning of each player's end step, tap all untapped creatures that player controls that didn't attack this turn. Angel's Trumpet deals damage to the player equal to the number of creatures tapped this way.		
Anthroplasm	{2}{U}{U}		Creature	Shapeshifter	Anthroplasm enters the battlefield with two +1/+1 counters on it.|{X}, {T}: Remove all +1/+1 counters from Anthroplasm and put X +1/+1 counters on it.	0	0
Archivist	{2}{U}{U}		Creature	Human,Wizard	{T}: Draw a card.	1	1
Aura Flux	{2}{U}		Enchantment		Other enchantments have 'At the beginning of your upkeep, sacrifice this enchantment unless you pay {2}.'		
Avalanche Riders	{3}{R}		Creature	Human,Nomad	Haste|Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Avalanche Riders enters the battlefield, destroy target land.	2	2
Beast of Burden	{6}		Artifact,Creature	Golem	Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.	*	*
Blessed Reversal	{1}{W}		Instant		You gain 3 life for each creature attacking you.		
Bloated Toad	{2}{G}		Creature	Frog	Protection from blue|Cycling {2} ({2}, Discard this card: Draw a card.)	2	2
Bone Shredder	{2}{B}		Creature	Minion	Flying|Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.	1	1
Bouncing Beebles	{2}{U}		Creature	Beeble	Bouncing Beebles can't be blocked as long as defending player controls an artifact.	2	2
Brink of Madness	{2}{B}{B}		Enchantment		At the beginning of your upkeep, if you have no cards in hand, sacrifice Brink of Madness and target opponent discards his or her hand.		
Burst of Energy	{W}		Instant		Untap target permanent.		
Cessation	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack.|When Cessation is put into a graveyard from the battlefield, return Cessation to its owner's hand.		
