Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absolute Grace	{1}{W}		Enchantment		All creatures have protection from black.		
Absolute Law	{1}{W}		Enchantment		All creatures have protection from red.		
Abundance	{2}{G}{G}		Enchantment		If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.		
Abyssal Horror	{4}{B}{B}		Creature	Horror	Flying|When Abyssal Horror enters the battlefield, target player discards two cards.	2	2
Academy Researchers	{1}{U}{U}		Creature	Human,Wizard	When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.	2	2
Acidic Soil	{2}{R}		Sorcery		Acidic Soil deals damage to each player equal to the number of lands he or she controls.		
Acridian	{1}{G}		Creature	Insect	Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	2	4
Albino Troll	{1}{G}		Creature	Troll	Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|{1}{G}: Regenerate Albino Troll.	3	3
Anaconda	{3}{G}		Creature	Snake	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Angelic Chorus	{3}{W}{W}		Enchantment		Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.		
Angelic Page	{1}{W}		Creature	Angel,Spirit	Flying|{T}: Target attacking or blocking creature gets +1/+1 until end of turn.	1	1
Annul	{U}		Instant		Counter target artifact or enchantment spell.		
Antagonism	{3}{R}		Enchantment		At the beginning of each player's end step, Antagonism deals 2 damage to that player unless one of his or her opponents was dealt damage this turn.		
Arc Lightning	{2}{R}		Sorcery		Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.		
Arcane Laboratory	{2}{U}		Enchantment		Each player can't cast more than one spell each turn.		
Argothian Elder	{3}{G}		Creature	Elf,Druid	{T}: Untap two target lands.	2	2
Argothian Enchantress	{1}{G}		Creature	Human,Druid	Shroud (This permanent can't be the target of spells or abilities.)|Whenever you cast an enchantment spell, draw a card.	0	1
Argothian Swine	{3}{G}		Creature	Boar	Trample	3	3
Argothian Wurm	{3}{G}		Creature	Wurm	Trample|When Argothian Wurm enters the battlefield, any player may sacrifice a land. If a player does, put Argothian Wurm on top of its owner's library.	6	6
Attunement	{2}{U}		Enchantment		Return Attunement to its owner's hand: Draw three cards, then discard four cards.		
