Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Academy Elite	{3}{U}	None	Creature	Human,Wizard	Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.|{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.	0	0
Addle	{1}{B}	None	Sorcery	None	Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.		
Æther Mutation	{3}{G}{U}	None	Sorcery	None	Return target creature to its owner's hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.		
Afterlife	{2}{W}	None	Instant	None	Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.		
Aftershock	{2}{R}{R}	None	Sorcery	None	Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.		
Akroma's Blessing	{2}{W}	None	Instant	None	Choose a color. Creatures you control gain protection from the chosen color until end of turn.|Cycling {W} ({W}, Discard this card: Draw a card.)		
Ancestral Recall	{U}	None	Instant	None	Target player draws three cards.		
Ancient Tomb		None	Land	None	{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.		
Animate Dead	{1}{B}	None	Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Ankh of Mishra	{2}	None	Artifact	None	Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Aquamoeba	{1}{U}	None	Creature	Elemental,Beast	Discard a card: Switch Aquamoeba's power and toughness until end of turn.	1	3
Armadillo Cloak	{1}{G}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has trample.|Whenever enchanted creature deals damage, you gain that much life.		
Armageddon	{3}{W}	None	Sorcery	None	Destroy all lands.		
Armor of Thorns	{1}{G}	None	Enchantment	Aura	You may cast Armor of Thorns as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.|Enchant nonblack creature|Enchanted creature gets +2/+2.		
Arrogant Wurm	{3}{G}{G}	None	Creature	Wurm	Trample|Madness {2}{G} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	4	4
Astral Slide	{2}{W}	None	Enchantment	None	Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.		
Bad River		None	Land	None	Bad River enters the battlefield tapped.|{T}, Sacrifice Bad River: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.		
Badlands		None	Land	Swamp,Mountain	({T}: Add {B} or {R} to your mana pool.)		
Balance	{1}{W}	None	Sorcery	None	Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Baleful Force	{5}{B}{B}{B}	None	Creature	Elemental	At the beginning of each upkeep, you draw a card and you lose 1 life.	7	7
Baleful Strix	{U}{B}	None	Artifact,Creature	Bird	Flying, deathtouch|When Baleful Strix enters the battlefield, draw a card.	1	1
Barren Moor		None	Land	None	Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Basandra, Battle Seraph	{3}{R}{W}	Legendary	Creature	Angel	Flying|Players can't cast spells during combat.|{R}: Target creature attacks this turn if able.	4	4
Basking Rootwalla	{G}	None	Creature	Lizard	{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.|Madness {0} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	1	1
Battle Screech	{2}{W}{W}	None	Sorcery	None	Put two 1/1 white Bird creature tokens with flying onto the battlefield.|Flashback-Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Bayou		None	Land	Swamp,Forest	({T}: Add {B} or {G} to your mana pool.)		
Bazaar of Baghdad		None	Land	None	{T}: Draw two cards, then discard three cards.		
Beetleback Chief	{2}{R}{R}	None	Creature	Goblin,Warrior	When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.	2	2
Benalish Trapper	{1}{W}	None	Creature	Human,Soldier	{W}, {T}: Tap target creature.	1	2
Benevolent Bodyguard	{W}	None	Creature	Human,Cleric	Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.	1	1
Berserk	{G}	None	Instant	None	Cast Berserk only before the combat damage step.|Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.		
Black Lotus	{0}	None	Artifact	None	{T}, Sacrifice Black Lotus: Add three mana of any one color to your mana pool.		
Blastoderm	{2}{G}{G}	None	Creature	Beast	Shroud (This creature can't be the target of spells or abilities.)|Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)	5	5
Blazing Specter	{2}{B}{R}	None	Creature	Specter	Flying, haste|Whenever Blazing Specter deals combat damage to a player, that player discards a card.	2	2
Brago, King Eternal	{2}{W}{U}	Legendary	Creature	Spirit	Flying|Whenever Brago, King Eternal deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control.	2	4
Brain Freeze	{1}{U}	None	Instant	None	Target player puts the top three cards of his or her library into his or her graveyard.|Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)		
Brainstorm	{U}	None	Instant	None	Draw three cards, then put two cards from your hand on top of your library in any order.		
Breath of Life	{3}{W}	None	Sorcery	None	Return target creature card from your graveyard to the battlefield.		
Brilliant Halo	{1}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+2.|When Brilliant Halo is put into a graveyard from the battlefield, return Brilliant Halo to its owner's hand.		
Brindle Shoat	{1}{G}	None	Creature	Boar	When Brindle Shoat dies, put a 3/3 green Boar creature token onto the battlefield.	1	1
Burning of Xinye	{4}{R}{R}	None	Sorcery	None	You destroy four lands you control, then target opponent destroys four lands he or she controls. Then Burning of Xinye deals 4 damage to each creature.		
Burning Wish	{1}{R}	None	Sorcery	None	You may choose a sorcery card you own from outside the game, reveal that card, and put it into your hand. Exile Burning Wish.		
Cabal Ritual	{1}{B}	None	Instant	None	Add {B}{B}{B} to your mana pool.|Threshold - Add {B}{B}{B}{B}{B} to your mana pool instead if seven or more cards are in your graveyard.		
Caldera Lake		None	Land	None	Caldera Lake enters the battlefield tapped.|{T}: Add {1} to your mana pool.|{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.		
Carnophage	{B}	None	Creature	Zombie	At the beginning of your upkeep, tap Carnophage unless you pay 1 life.	2	2
Chain Lightning	{R}	None	Sorcery	None	Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Chainer's Edict	{1}{B}	None	Sorcery	None	Target player sacrifices a creature.|Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Channel	{G}{G}	None	Sorcery	None	Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.		
Chaos Warp	{2}{R}	None	Instant	None	The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it's a permanent card, he or she puts it onto the battlefield.		
Chartooth Cougar	{5}{R}	None	Creature	Cat,Beast	{R}: Chartooth Cougar gets +1/+0 until end of turn.|Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)	4	4
Chimeric Idol	{3}	None	Artifact	None	{0}: Tap all lands you control. Chimeric Idol becomes a 3/3 Turtle artifact creature until end of turn.		
Choking Sands	{1}{B}{B}	None	Sorcery	None	Destroy target non-Swamp land. If that land was nonbasic, Choking Sands deals 2 damage to the land's controller.		
Choking Tethers	{3}{U}	None	Instant	None	Tap up to four target creatures.|Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)|When you cycle Choking Tethers, you may tap target creature.		
Circular Logic	{2}{U}	None	Instant	None	Counter target spell unless its controller pays {1} for each card in your graveyard.|Madness {U} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)		
City in a Bottle	{2}	None	Artifact	None	Whenever a nontoken permanent originally printed in the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it.|Players can't play cards originally printed in the Arabian Nights expansion.		
Claws of Wirewood	{3}{G}	None	Sorcery	None	Claws of Wirewood deals 3 damage to each creature with flying and each player.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Clickslither	{1}{R}{R}{R}	None	Creature	Insect	Haste|Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.	3	3
Cloud Djinn	{5}{U}	None	Creature	Djinn	Flying|Cloud Djinn can block only creatures with flying.	5	4
Cloud of Faeries	{1}{U}	None	Creature	Faerie	Flying|When Cloud of Faeries enters the battlefield, untap up to two lands.|Cycling {2} ({2}, Discard this card: Draw a card.)	1	1
Coercive Portal	{4}	None	Artifact	None	Will of the council - At the beginning of your upkeep, starting with you, each player votes for carnage or homage. If carnage gets more votes, sacrifice Coercive Portal and destroy all nonland permanents. If homage gets more votes or the vote is tied, draw a card.		
Control Magic	{2}{U}{U}	None	Enchantment	Aura	Enchant creature|You control enchanted creature.		
Council's Judgment	{1}{W}{W}	None	Sorcery	None	Will of the council - Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.		
Counterspell	{U}{U}	None	Instant	None	Counter target spell.		
Crater Hellion	{4}{R}{R}	None	Creature	Hellion,Beast	Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Crater Hellion enters the battlefield, it deals 4 damage to each other creature.	6	6
Crescendo of War	{3}{W}	None	Enchantment	None	At the beginning of each upkeep, put a strife counter on Crescendo of War.|Attacking creatures get +1/+0 for each strife counter on Crescendo of War.|Blocking creatures you control get +1/+0 for each strife counter on Crescendo of War.		
Crovax the Cursed	{2}{B}{B}	Legendary	Creature	Vampire	Crovax the Cursed enters the battlefield with four +1/+1 counters on it.|At the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.|{B}: Crovax gains flying until end of turn.	0	0
Cruel Bargain	{B}{B}{B}	None	Sorcery	None	Draw four cards. You lose half your life, rounded up.		
Cursed Scroll	{1}	None	Artifact	None	{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.		
Dack Fayden	{1}{U}{R}	None	Planeswalker	Dack	+1: Target player draws two cards, then discards two cards.|−2: Gain control of target artifact.|−6: You get an emblem with 'Whenever you cast a spell that targets one or more permanents, gain control of those permanents.'		
