Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aku Djinn	{3}{B}{B}		Creature	Djinn	Trample|At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.	5	6
Anvil of Bogardan	{2}		Artifact		Players have no maximum hand size.|At the beginning of each player's draw step, that player draws an additional card, then discards a card.		
Archangel	{5}{W}{W}		Creature	Angel	Flying, vigilance	5	5
Army Ants	{1}{B}{R}		Creature	Insect	{T}, Sacrifice a land: Destroy target land.	1	1
Betrayal	{U}		Enchantment	Aura	Enchant creature an opponent controls|Whenever enchanted creature becomes tapped, you draw a card.		
Blanket of Night	{1}{B}{B}		Enchantment		Each land is a Swamp in addition to its other land types.		
Bogardan Phoenix	{2}{R}{R}{R}		Creature	Phoenix	Flying|When Bogardan Phoenix dies, exile it if it had a death counter on it. Otherwise, return it to the battlefield under your control and put a death counter on it.	3	3
Brass-Talon Chimera	{4}		Artifact,Creature	Chimera	First strike|Sacrifice Brass-Talon Chimera: Put a +2/+2 counter on target Chimera creature. It gains first strike. (This effect lasts indefinitely.)	2	2
Breathstealer's Crypt	{2}{U}{B}		Enchantment		If a player would draw a card, instead he or she draws a card and reveals it. If it's a creature card, that player discards it unless he or she pays 3 life.		
Breezekeeper	{3}{U}		Creature	Djinn	Flying|Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)	4	4
Brood of Cockroaches	{1}{B}		Creature	Insect	When Brood of Cockroaches is put into your graveyard from the battlefield, at the beginning of the next end step, you lose 1 life and return Brood of Cockroaches to your hand.	1	1
Bull Elephant	{3}{G}		Creature	Elephant	When Bull Elephant enters the battlefield, sacrifice it unless you return two Forests you control to their owner's hand.	4	4
Chronatog	{1}{U}		Creature	Atog	{0}: Chronatog gets +3/+3 until end of turn. You skip your next turn. Activate this ability only once each turn.	1	2
City of Solitude	{2}{G}		Enchantment		Players can cast spells and activate abilities only during their own turns.		
Cloud Elemental	{2}{U}		Creature	Elemental	Flying|Cloud Elemental can block only creatures with flying.	2	3
Coercion	{2}{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it. That player discards that card.		
Coral Atoll			Land		Coral Atoll enters the battlefield tapped.|When Coral Atoll enters the battlefield, sacrifice it unless you return an untapped Island you control to its owner's hand.|{T}: Add {1}{U} to your mana pool.		
Corrosion	{1}{B}{R}		Enchantment		Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|At the beginning of your upkeep, put a rust counter on each artifact target opponent controls. Then destroy each artifact with converted mana cost less than or equal to the number of rust counters on it. Artifacts destroyed this way can't be regenerated.|When Corrosion leaves the battlefield, remove all rust counters from all permanents.		
Creeping Mold	{2}{G}{G}		Sorcery		Destroy target artifact, enchantment, or land.		
Crypt Rats	{2}{B}		Creature	Rat	{X}: Crypt Rats deals X damage to each creature and each player. Spend only black mana this way.	1	1
Daraja Griffin	{3}{W}		Creature	Griffin	Flying|Sacrifice Daraja Griffin: Destroy target black creature.	2	2
Dark Privilege	{1}{B}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1.|Sacrifice a creature: Regenerate enchanted creature.		
Death Watch	{B}		Enchantment	Aura	Enchant creature|When enchanted creature dies, its controller loses life equal to its power and you gain life equal to its toughness.		
Desertion	{3}{U}{U}		Instant		Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.		
Desolation	{1}{B}{B}		Enchantment		At the beginning of each end step, each player who tapped a land for mana this turn sacrifices a land. Desolation deals 2 damage to each player who sacrificed a Plains this way.		
Diamond Kaleidoscope	{4}		Artifact		{3}, {T}: Put a 0/1 colorless Prism artifact creature token onto the battlefield.|Sacrifice a Prism token: Add one mana of any color to your mana pool.		
