Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abduction	{2}{U}{U}		Enchantment	Aura	Enchant creature|When Abduction enters the battlefield, untap enchanted creature.|You control enchanted creature.|When enchanted creature dies, return that card to the battlefield under its owner's control.		
Abeyance	{1}{W}		Instant		Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.|Draw a card.		
Abjure	{U}		Instant		As an additional cost to cast Abjure, sacrifice a blue permanent.|Counter target spell.		
Aboroth	{4}{G}{G}		Creature	Elemental	Cumulative upkeep-Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)	9	9
Abyssal Gatekeeper	{1}{B}		Creature	Horror	When Abyssal Gatekeeper dies, each player sacrifices a creature.	1	1
Æther Flash	{2}{R}{R}		Enchantment		Whenever a creature enters the battlefield, Æther Flash deals 2 damage to it.		
Agonizing Memories	{2}{B}{B}		Sorcery		Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.		
Alabaster Dragon	{4}{W}{W}		Creature	Dragon	Flying|When Alabaster Dragon dies, shuffle it into its owner's library.	4	4
Alms	{W}		Enchantment		{1}, Exile the top card of your graveyard: Prevent the next 1 damage that would be dealt to target creature this turn.		
Ancestral Knowledge	{1}{U}		Enchantment		Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|When Ancestral Knowledge enters the battlefield, look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order.|When Ancestral Knowledge leaves the battlefield, shuffle your library.		
Angelic Renewal	{1}{W}		Enchantment		Whenever a creature is put into your graveyard from the battlefield, you may sacrifice Angelic Renewal. If you do, return that card to the battlefield.		
Apathy	{U}		Enchantment	Aura	Enchant creature|Enchanted creature doesn't untap during its controller's untap step.|At the beginning of the upkeep of enchanted creature's controller, that player may discard a card at random. If he or she does, untap that creature.		
Arctic Wolves	{3}{G}{G}		Creature	Wolf	Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|When Arctic Wolves enters the battlefield, draw a card.	4	5
Ardent Militia	{4}{W}		Creature	Human,Soldier	Vigilance	2	5
Argivian Find	{W}		Instant		Return target artifact or enchantment card from your graveyard to your hand.		
Argivian Restoration	{2}{U}{U}		Sorcery		Return target artifact card from your graveyard to the battlefield.		
Aura of Silence	{1}{W}{W}		Enchantment		Artifact and enchantment spells your opponents cast cost {2} more to cast.|Sacrifice Aura of Silence: Destroy target artifact or enchantment.		
Avizoa	{3}{U}		Creature	Jellyfish	Flying|{0}: Avizoa gets +2/+2 until end of turn. You skip your next untap step. Activate this ability only once each turn.	2	2
Barishi	{2}{G}{G}		Creature	Elemental	When Barishi dies, exile Barishi, then shuffle all creature cards from your graveyard into your library.	4	3
Barrow Ghoul	{1}{B}		Creature	Zombie	At the beginning of your upkeep, sacrifice Barrow Ghoul unless you exile the top creature card of your graveyard.	4	4
Benalish Infantry	{2}{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	3
Benalish Knight	{2}{W}		Creature	Human,Knight	Flash (You may cast this spell any time you could cast an instant.)|First strike (This creature deals combat damage before creatures without first strike.)	2	2
Benalish Missionary	{W}		Creature	Human,Cleric	{1}{W}, {T}: Prevent all combat damage that would be dealt by target blocked creature this turn.	1	1
Betrothed of Fire	{1}{R}		Enchantment	Aura	Enchant creature|Sacrifice an untapped creature: Enchanted creature gets +2/+0 until end of turn.|Sacrifice enchanted creature: Creatures you control get +2/+0 until end of turn.		
Bloodrock Cyclops	{2}{R}		Creature	Cyclops	Bloodrock Cyclops attacks each turn if able.	3	3
Blossoming Wreath	{G}		Instant		You gain life equal to the number of creature cards in your graveyard.		
Bogardan Firefiend	{2}{R}		Creature	Elemental,Spirit	When Bogardan Firefiend dies, it deals 2 damage to target creature.	2	1
Boiling Blood	{2}{R}		Instant		Target creature attacks this turn if able.|Draw a card.		
Bone Dancer	{1}{B}{B}		Creature	Zombie	Whenever Bone Dancer attacks and isn't blocked, you may put the top creature card of defending player's graveyard onto the battlefield under your control. If you do, Bone Dancer assigns no combat damage this turn.	2	2
Bösium Strip	{3}		Artifact		{3}, {T}: Until end of turn, if the top card of your graveyard is an instant or sorcery card, you may cast that card. If a card cast this way would be put into a graveyard this turn, exile it instead.		
Briar Shield	{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1.|Sacrifice Briar Shield: Enchanted creature gets +3/+3 until end of turn.		
Bubble Matrix	{4}		Artifact		Prevent all damage that would be dealt to creatures.		
Buried Alive	{2}{B}		Sorcery		Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.		
Call of the Wild	{2}{G}{G}		Enchantment		{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.		
Chimeric Sphere	{3}		Artifact		{2}: Until end of turn, Chimeric Sphere becomes a 2/1 Construct artifact creature with flying.|{2}: Until end of turn, Chimeric Sphere becomes a 3/2 Construct artifact creature without flying.		
Choking Vines	{X}{G}		Instant		Cast Choking Vines only during the declare blockers step.|X target attacking creatures become blocked. Choking Vines deals 1 damage to each of those creatures. (This spell works on creatures that can't be blocked.)		
Cinder Giant	{3}{R}		Creature	Giant	At the beginning of your upkeep, Cinder Giant deals 2 damage to each other creature you control.	5	3
Cinder Wall	{R}		Creature	Wall	Defender (This creature can't attack.)|When Cinder Wall blocks, destroy it at end of combat.	3	3
Circling Vultures	{B}		Creature	Bird	Flying|You may discard Circling Vultures any time you could cast an instant.|At the beginning of your upkeep, sacrifice Circling Vultures unless you exile the top creature card of your graveyard.	3	2
Cloud Djinn	{5}{U}		Creature	Djinn	Flying|Cloud Djinn can block only creatures with flying.	5	4
Coils of the Medusa	{1}{B}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/-1.|Sacrifice Coils of the Medusa: Destroy all non-Wall creatures blocking enchanted creature.		
Cone of Flame	{3}{R}{R}		Sorcery		Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.		
Debt of Loyalty	{1}{W}{W}		Instant		Regenerate target creature. You gain control of that creature if it regenerates this way.		
Dense Foliage	{2}{G}		Enchantment		Creatures can't be the targets of spells.		
Desperate Gambit	{R}		Instant		Choose a source you control and flip a coin. If you win the flip, the next time that source would deal damage this turn, it deals double that damage instead. If you lose the flip, the next time it would deal damage this turn, prevent that damage.		
Dingus Staff	{4}		Artifact		Whenever a creature dies, Dingus Staff deals 2 damage to that creature's controller.		
Disrupt	{U}		Instant		Counter target instant or sorcery spell unless its controller pays {1}.||Draw a card.		
Doomsday	{B}{B}{B}		Sorcery		Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up.		
Downdraft	{2}{G}		Enchantment		{G}: Target creature loses flying until end of turn.||Sacrifice Downdraft: Downdraft deals 2 damage to each creature with flying.		
Duskrider Falcon	{1}{W}		Creature	Bird	Flying, protection from black	1	1
Dwarven Berserker	{1}{R}		Creature	Dwarf,Berserker	Whenever Dwarven Berserker becomes blocked, it gets +3/+0 and gains trample until end of turn.	1	1
Dwarven Thaumaturgist	{2}{R}		Creature	Dwarf,Shaman	{T}: Switch target creature's power and toughness until end of turn.	1	2
Empyrial Armor	{1}{W}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1 for each card in your hand.		
Ertai's Familiar	{1}{U}		Creature	Illusion	Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)|When Ertai's Familiar phases out or leaves the battlefield, put the top three cards of your library into your graveyard.|{U}: Until your next upkeep, Ertai's Familiar can't phase out.	2	2
Fallow Wurm	{2}{G}		Creature	Wurm	When Fallow Wurm enters the battlefield, sacrifice it unless you discard a land card.	4	4
Familiar Ground	{2}{G}		Enchantment		Each creature you control can't be blocked by more than one creature.		
Fatal Blow	{B}		Instant		Destroy target creature that was dealt damage this turn. It can't be regenerated.		
Fervor	{2}{R}		Enchantment		Creatures you control have haste. (They can attack and {T} as soon as they come under your control.)		
Festering Evil	{3}{B}{B}		Enchantment		At the beginning of your upkeep, Festering Evil deals 1 damage to each creature and each player.||{B}{B}, Sacrifice Festering Evil: Festering Evil deals 3 damage to each creature and each player.		
Fire Whip	{1}{R}		Enchantment	Aura	Enchant creature you control|Enchanted creature has '{T}: This creature deals 1 damage to target creature or player.'|Sacrifice Fire Whip: Fire Whip deals 1 damage to target creature or player.		
Firestorm	{R}		Instant		As an additional cost to cast Firestorm, discard X cards.|Firestorm deals X damage to each of X target creatures and/or players.		
Fit of Rage	{1}{R}		Sorcery		Target creature gets +3/+3 and gains first strike until end of turn.		
Fledgling Djinn	{1}{B}		Creature	Djinn	Flying|At the beginning of your upkeep, Fledgling Djinn deals 1 damage to you.	2	2
Flux	{2}{U}		Sorcery		Each player discards any number of cards, then draws that many cards.|Draw a card.		
Fog Elemental	{2}{U}		Creature	Elemental	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Fog Elemental attacks or blocks, sacrifice it at end of combat.	4	4
Foriysian Brigade	{3}{W}		Creature	Human,Soldier	Foriysian Brigade can block an additional creature.	2	4
Fungus Elemental	{3}{G}		Creature	Fungus,Elemental	{G}, Sacrifice a Forest: Put a +2/+2 counter on Fungus Elemental. Activate this ability only if Fungus Elemental entered the battlefield this turn.	3	3
Gaea's Blessing	{1}{G}		Sorcery		Target player shuffles up to three target cards from his or her graveyard into his or her library.|Draw a card.|When Gaea's Blessing is put into your graveyard from your library, shuffle your graveyard into your library.		
Gallowbraid	{3}{B}{B}	Legendary	Creature	Horror	Trample|Cumulative upkeep-Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)	5	5
