Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Persecutor	{2}{B}{B}		Creature	Demon	Flying, trample|You can't win the game and your opponents can't lose the game.	6	6
Admonition Angel	{3}{W}{W}{W}		Creature	Angel	Flying|Landfall - Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.|When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.	6	6
Æther Tradewinds	{2}{U}		Instant		Return target permanent you control and target permanent you don't control to their owners' hands.		
Agadeem Occultist	{2}{B}		Creature	Human,Shaman,Ally	{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.	0	2
Akoum Battlesinger	{1}{R}		Creature	Human,Berserker,Ally	Haste|Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1/+0 until end of turn.	1	1
Amulet of Vigor	{1}		Artifact		Whenever a permanent enters the battlefield tapped and under your control, untap it.		
Anowon, the Ruin Sage	{3}{B}{B}	Legendary	Creature	Vampire,Shaman	At the beginning of your upkeep, each player sacrifices a non-Vampire creature.	4	3
Apex Hawks	{2}{W}		Creature	Bird	Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.)|Flying|Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.	2	2
Arbor Elf	{G}		Creature	Elf,Druid	{T}: Untap target Forest.	1	1
Archon of Redemption	{3}{W}{W}		Creature	Archon	Flying|Whenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.	3	4
Avenger of Zendikar	{5}{G}{G}		Creature	Elemental	When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.|Landfall - Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.	5	5
Basilisk Collar	{1}		Artifact	Equipment	Equipped creature has deathtouch and lifelink.|Equip {2}		
Battle Hurda	{4}{W}		Creature	Giant	First strike	3	3
Bazaar Trader	{1}{R}		Creature	Goblin	{T}: Target player gains control of target artifact, creature, or land you control.	1	1
Bestial Menace	{3}{G}{G}		Sorcery		Put a 1/1 green Snake creature token, a 2/2 green Wolf creature token, and a 3/3 green Elephant creature token onto the battlefield.		
Bloodhusk Ritualist	{2}{B}		Creature	Vampire,Shaman	Multikicker {B} (You may pay an additional {B} any number of times as you cast this spell.)|When Bloodhusk Ritualist enters the battlefield, target opponent discards a card for each time it was kicked.	2	2
Bojuka Bog			Land		Bojuka Bog enters the battlefield tapped.|When Bojuka Bog enters the battlefield, exile all cards from target player's graveyard.|{T}: Add {B} to your mana pool.		
Bojuka Brigand	{1}{B}		Creature	Human,Warrior,Ally	Bojuka Brigand can't block.|Whenever Bojuka Brigand or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Bojuka Brigand.	1	1
Brink of Disaster	{2}{B}{B}		Enchantment	Aura	Enchant creature or land|When enchanted permanent becomes tapped, destroy it.		
Bull Rush	{R}		Instant		Target creature gets +2/+0 until end of turn.		
Butcher of Malakir	{5}{B}{B}		Creature	Vampire,Warrior	Flying|Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.	5	4
Calcite Snapper	{1}{U}{U}		Creature	Turtle	Shroud (This creature can't be the target of spells or abilities.)|Landfall - Whenever a land enters the battlefield under your control, you may switch Calcite Snapper's power and toughness until end of turn.	1	4
Canopy Cover	{1}{G}		Enchantment	Aura	Enchant creature|Enchanted creature can't be blocked except by creatures with flying or reach.|Enchanted creature can't be the target of spells or abilities your opponents control.		
Caustic Crawler	{3}{B}{B}		Creature	Insect	Landfall - Whenever a land enters the battlefield under your control, you may have target creature get -1/-1 until end of turn.	4	3
Celestial Colonnade			Land		Celestial Colonnade enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.|{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.		
Chain Reaction	{2}{R}{R}		Sorcery		Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield.		
Claws of Valakut	{1}{R}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+0 for each Mountain you control and has first strike.		
Comet Storm	{X}{R}{R}		Instant		Multikicker {1} (You may pay an additional {1} any number of times as you cast this spell.)|Choose target creature or player, then choose another target creature or player for each time Comet Storm was kicked. Comet Storm deals X damage to each of them.		
Corrupted Zendikon	{1}{B}		Enchantment	Aura	Enchant land|Enchanted land is a 3/3 black Ooze creature. It's still a land.|When enchanted land dies, return that card to its owner's hand.		
Cosi's Ravager	{3}{R}		Creature	Elemental	Landfall - Whenever a land enters the battlefield under your control, you may have Cosi's Ravager deal 1 damage to target player.	2	2
