Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adventuring Gear	{1}		Artifact	Equipment	Landfall - Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.|Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)		
Æther Figment	{1}{U}		Creature	Illusion	Kicker {3} (You may pay an additional {3} as you cast this spell.)|Æther Figment can't be blocked.|If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.	1	1
Akoum Refuge			Land		Akoum Refuge enters the battlefield tapped.|When Akoum Refuge enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Archive Trap	{3}{U}{U}		Instant	Trap	If an opponent searched his or her library this turn, you may pay {0} rather than pay Archive Trap's mana cost.|Target opponent puts the top thirteen cards of his or her library into his or her graveyard.		
Archmage Ascension	{2}{U}		Enchantment		At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.|As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.		
Arid Mesa			Land		{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.		
Armament Master	{W}{W}		Creature	Kor,Soldier	Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.	2	2
Arrow Volley Trap	{3}{W}{W}		Instant	Trap	If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.|Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.		
Bala Ged Thief	{3}{B}		Creature	Human,Rogue,Ally	Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from his or her hand equal to the number of Allies you control. You choose one of them. That player discards that card.	2	2
Baloth Cage Trap	{3}{G}{G}		Instant	Trap	If an opponent had an artifact enter the battlefield under his or her control this turn, you may pay {1}{G} rather than pay Baloth Cage Trap's mana cost.|Put a 4/4 green Beast creature token onto the battlefield.		
Baloth Woodcrasher	{4}{G}{G}		Creature	Beast	Landfall - Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.	4	4
Beast Hunt	{3}{G}		Sorcery		Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.		
Beastmaster Ascension	{2}{G}		Enchantment		Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.|As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.		
Blade of the Bloodchief	{1}		Artifact	Equipment	Whenever a creature dies, put a +1/+1 counter on equipped creature. If equipped creature is a Vampire, put two +1/+1 counters on it instead.|Equip {1}		
Bladetusk Boar	{3}{R}		Creature	Boar	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	3	2
Blazing Torch	{1}		Artifact	Equipment	Equipped creature can't be blocked by Vampires or Zombies.|Equipped creature has '{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to target creature or player.'|Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)		
Blood Seeker	{1}{B}		Creature	Vampire,Shaman	Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.	1	1
Blood Tribute	{4}{B}{B}		Sorcery		Kicker-Tap an untapped Vampire you control. (You may tap a Vampire you control in addition to any other costs as you cast this spell.)|Target opponent loses half his or her life, rounded up. If Blood Tribute was kicked, you gain life equal to the life lost this way.		
Bloodchief Ascension	{B}		Enchantment		At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on Bloodchief Ascension. (Damage causes loss of life.)|Whenever a card is put into an opponent's graveyard from anywhere, if Bloodchief Ascension has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life.		
Bloodghast	{B}{B}		Creature	Vampire,Spirit	Bloodghast can't block.|Bloodghast has haste as long as an opponent has 10 or less life.|Landfall - Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield.	2	1
Bog Tatters	{4}{B}		Creature	Wraith	Swampwalk	4	2
Bold Defense	{2}{W}		Instant		Kicker {3}{W} (You may pay an additional {3}{W} as you cast this spell.)|Creatures you control get +1/+1 until end of turn. If Bold Defense was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.		
Brave the Elements	{W}		Instant		Choose a color. White creatures you control gain protection from the chosen color until end of turn. (They can't be blocked, targeted, dealt damage, or enchanted by anything of that color.)		
Burst Lightning	{R}		Instant		Kicker {4} (You may pay an additional {4} as you cast this spell.)|Burst Lightning deals 2 damage to target creature or player. If Burst Lightning was kicked, it deals 4 damage to that creature or player instead.		
Caller of Gales	{U}		Creature	Merfolk,Wizard	{1}{U}, {T}: Target creature gains flying until end of turn.	1	1
Cancel	{1}{U}{U}		Instant		Counter target spell.		
Caravan Hurda	{4}{W}		Creature	Giant	Lifelink (Damage dealt by this creature also causes you to gain that much life.)	1	5
