Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Arid Mesa		None	Land	None	{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.		
Blood Crypt		None	Land	Swamp,Mountain	({T}: Add {B} or {R} to your mana pool.)|As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.		
Bloodstained Mire		None	Land	None	{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.		
Breeding Pool		None	Land	Forest,Island	({T}: Add {G} or {U} to your mana pool.)|As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.		
Canopy Vista		None	Land	Forest,Plains	({T}: Add {G} or {W} to your mana pool.)|Canopy Vista enters the battlefield tapped unless you control two or more basic lands.		
Cinder Glade		None	Land	Mountain,Forest	({T}: Add {R} or {G} to your mana pool.)|Cinder Glade enters the battlefield tapped unless you control two or more basic lands.		
Flooded Strand		None	Land	None	{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.		
Godless Shrine		None	Land	Plains,Swamp	({T}: Add {W} or {B} to your mana pool.)|As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.		
Hallowed Fountain		None	Land	Plains,Island	({T}: Add {W} or {U} to your mana pool.)|As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.		
Marsh Flats		None	Land	None	{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card and put it onto the battlefield. Then shuffle your library.		
Misty Rainforest		None	Land	None	{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card and put it onto the battlefield. Then shuffle your library.		
Overgrown Tomb		None	Land	Swamp,Forest	({T}: Add {B} or {G} to your mana pool.)|As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, Overgrown Tomb enters the battlefield tapped.		
Polluted Delta		None	Land	None	{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.		
Prairie Stream		None	Land	Plains,Island	({T}: Add {W} or {U} to your mana pool.)|Prairie Stream enters the battlefield tapped unless you control two or more basic lands.		
Sacred Foundry		None	Land	Mountain,Plains	({T}: Add {R} or {W} to your mana pool.)|As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, Sacred Foundry enters the battlefield tapped.		
Scalding Tarn		None	Land	None	{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card and put it onto the battlefield. Then shuffle your library.		
Smoldering Marsh		None	Land	Swamp,Mountain	({T}: Add {B} or {R} to your mana pool.)|Smoldering Marsh enters the battlefield tapped unless you control two or more basic lands.		
Steam Vents		None	Land	Island,Mountain	({T}: Add {U} or {R} to your mana pool.)|As Steam Vents enters the battlefield, you may pay 2 life. If you don't, Steam Vents enters the battlefield tapped.		
Stomping Ground		None	Land	Mountain,Forest	({T}: Add {R} or {G} to your mana pool.)|As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, Stomping Ground enters the battlefield tapped.		
Sunken Hollow		None	Land	Island,Swamp	({T}: Add {U} or {B} to your mana pool.)|Sunken Hollow enters the battlefield tapped unless you control two or more basic lands.		
Temple Garden		None	Land	Forest,Plains	({T}: Add {G} or {W} to your mana pool.)|As Temple Garden enters the battlefield, you may pay 2 life. If you don't, Temple Garden enters the battlefield tapped.		
Verdant Catacombs		None	Land	None	{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card and put it onto the battlefield. Then shuffle your library.		
Watery Grave		None	Land	Island,Swamp	({T}: Add {U} or {B} to your mana pool.)|As Watery Grave enters the battlefield, you may pay 2 life. If you don't, Watery Grave enters the battlefield tapped.		
Windswept Heath		None	Land	None	{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card and put it onto the battlefield. Then shuffle your library.		
Wooded Foothills		None	Land	None	{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card and put it onto the battlefield. Then shuffle your library.		
